ID,Drug Name,Targets,Z Score,Count
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-1.6380349402280694","282"
"1804","Acetalax","","-1.6138394103219942","282"
"1803","Acetalax","","-1.4987187454005471","282"
"1586","BDILV000379a","BAZ2A, BAZ2B","-1.1440424189996186","282"
"1635","Picolinici-acid","Inflammatory related","-1.1240588912555112","282"
"1578","Leflunomide","Pyrimidine synthesis inhibitor","-1.1075818121729142","282"
"2003","N29087-69-1","","-1.0817555070113498","282"
"1026","Tanespimycin","HSP90","-1.0396577683352417","282"
"1617","AZD5582","XIAP, cIAP","-1.0034608398981482","282"
"1018","Veliparib","PARP1, PARP2","-.95582284078671464","282"
"1576","IWP-2","PORCN","-.93199057314117784","282"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","-.91102533236609062","282"
"1557","LCL161","XIAP, IAP1, IAP2","-.90495327167743134","282"
"1853","OF-1","BRPF1B, BRPF2","-.89572946702185074","282"
"1618","GSK2606414","PERK","-.87917044749441486","282"
"2047","Ulixertinib","ERK1, ERK2","-.87607965590111581","282"
"2039","AGK2","BAZ2A, BAZ2B","-.8503862856963933","282"
"1268","XAV939","TNKS1, TNKS2","-.84322531981692173","282"
"1580","GSK2801","","-.83213063417453392","282"
"1634","AGI-6780","IDH2 R140Q mutant","-.83118844219500376","282"
"1629","ML323","USP1, UAF1","-.81007800463304047","282"
"2000","N27922-53-1","","-.80608134597540282","282"
"1249","BMS-345541","IKK-1, IKK-2","-.77236456733276193","282"
"1401","AZD5438","CDK2","-.76236603484117005","282"
"1915","AZD3759","EGFR","-.76075138468730863","282"
"1622","Wnt-C59","PORCN","-.75712378876804021","282"
"2177","SGC0946","DOT1L","-.73693634305656608","282"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-.72492392179291243","282"
"1175","Rucaparib","PARP1, PARP2","-.72252275943153998","282"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9","-.71189417144786038","282"
"1845","Schweinfurthin A","","-.67210695339433513","282"
"1734","VSP34_8731","VSP34","-.66739983082177756","282"
"1736","Selumetinib","MEK1, MEK2","-.64978476633328852","282"
"1708","CDK9_5576","CDK9","-.62214048615352335","282"
"1553","Uprosertib","AKT1, AKT2, AKT3","-.58647925130245337","282"
"1034","Staurosporine","Broad spectrum kinase inhibitor","-.57861240222483501","282"
"2159","UNC0379","SETD8","-.54280900807611432","282"
"1583","GSK-LSD1","KDM1","-.53799738518340046","282"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT","-.52080375042768889","282"
"1014","Refametinib","MEK1, MEK2","-.5130492088008759","282"
"1718","JAK1_8709","JAK1","-.51196836175861027","282"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-.5086664171470372","282"
"1093","GSK1904529A","IGF1R, IR","-.4842253827137476","282"
"1594","OSI-027","MTORC1, MTORC2","-.48259332908740527","282"
"1854","MN-64","TNKS1, TNKS2","-.4618011306839232","282"
"2048","Vinorelbine","Microtubule destabiliser","-.45224031191812553","282"
"1866","BDP-00009066","MRCKB_HUMAN","-.43598453709682033","282"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.41834362224166538","282"
"1733","ULK1_4989","ULK1","-.4176496048765509","282"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9","-.41754060776813301","282"
"1084","Rapamycin","MTORC1","-.39980342113897954","282"
"2157","A-366","EHMT1, EHMT2","-.39800371570562937","282"
"1428","IAP_5620","IAP","-.38479660334134957","282"
"1069","EHT-1864","RAC1, RAC2, RAC3","-.37938088021818528","282"
"1564","SCH772984","ERK1, ERK2","-.35744652816360173","282"
"1598","LGK974","PORCN","-.35656994136141429","282"
"1200","Fulvestrant","ESR","-.34287891382052565","282"
"1838","Sinularin","","-.32876232106201247","282"
"1062","Selumetinib","MEK1, MEK2","-.32198382810279885","282"
"1036","PLX-4720","BRAF","-.31930233898062177","282"
"1844","776928","","-.31346461858190461","282"
"1826","50869","","-.30710818105895338","282"
"1058","Pictilisib","PI3K (class 1)","-.30069899229105779","282"
"1714","ERK_6604","ERK1,ERK2","-.28628748895838657","282"
"1999","N25720-51-A1","","-.2699798921782236","282"
"1019","Bosutinib","SRC, ABL, TEC","-.25640709105346188","282"
"1060","PD0325901","MEK1, MEK2","-.25596672466576487","282"
"1782","GSK2830371A","PPM1D","-.2474211942334103","282"
"1560","Alpelisib","PI3Kalpha","-.24723994323139692","282"
"1825","Podophyllotoxin bromide","","-.24100527646618861","282"
"2145","PBD-288","","-.20981527995157573","282"
"1179","MK-1775","WEE1, PLK1","-.20803031605276659","282"
"2154","GSK-LSD1-2HCl ","LSD1","-.1981497001208597","282"
"1133","Serdemetan","MDM2","-.18863355825670072","282"
