ID,Drug Name,Targets,Z Score,Count
"2177","SGC0946","DOT1L","-1.9283573902501094","282"
"1067","CCT007093","PPM1D","-1.5211662296994028","282"
"2113","VTP-B","","-1.3487931182965043","282"
"1732","TAF1_5496","TAF1","-1.2937957315129263","282"
"1827","Dihydrorotenone","","-1.2130401066528105","282"
"1804","Acetalax","","-1.1368466578599115","282"
"2096","VX-11e","ERK2","-1.018221180574596","282"
"1803","Acetalax","","-.978320379935115","282"
"1829","667880","","-.88179607334296706","282"
"2003","N29087-69-1","","-.84669495044144816","282"
"1847","BEN","","-.8466843309601052","282"
"2112","VTP-A","","-.84612789002175925","282"
"1494","SN-38","TOP1","-.76853808862119233","282"
"1853","OF-1","BRPF1B, BRPF2","-.74701238589935415","282"
"1908","Ulixertinib","ERK1, ERK2","-.74482233366078932","282"
"1622","Wnt-C59","PORCN","-.72580958591896616","282"
"1017","Olaparib","PARP1, PARP2","-.66569242290528141","282"
"2156","5-azacytidine","DNA methyltransferases","-.58582970493848729","282"
"1736","Selumetinib","MEK1, MEK2","-.58125602281850353","282"
"1259","Talazoparib","PARP1, PARP2","-.56967093570141425","282"
"2439","glutathione","anti-oxidant proteins","-.55289993624899414","282"
"1820","123829","","-.54780588873384073","282"
"1088","Irinotecan","TOP1","-.54519030799355273","282"
"1564","SCH772984","ERK1, ERK2","-.52718355506671244","282"
"1175","Rucaparib","PARP1, PARP2","-.52257019991898956","282"
"1634","AGI-6780","IDH2 R140Q mutant","-.5095145717461752","282"
"1003","Camptothecin","TOP1","-.48362084788325377","282"
"1061","SB590885","BRAF","-.48136450945707399","282"
"1060","PD0325901","MEK1, MEK2","-.48049984742381774","282"
"1131","PRIMA-1MET","TP53 activation","-.4716388424162859","282"
"1018","Veliparib","PARP1, PARP2","-.45515734559796761","282"
"1713","ERK_2440","ERK1,ERK2","-.4399806164919679","282"
"2047","Ulixertinib","ERK1, ERK2","-.39137450493411613","282"
"1808","Topotecan","TOP1","-.36867536795093869","282"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-.36222390456409548","282"
"1006","Cytarabine","Antimetabolite","-.36136518035847992","282"
"1014","Refametinib","MEK1, MEK2","-.36122934791698358","282"
"1004","Vinblastine","Microtubule destabiliser","-.34479091941249385","282"
"1998","BPD-00008900","","-.34051173508588733","282"
"1866","BDP-00009066","MRCKB_HUMAN","-.33776074658043581","282"
"1248","Daporinad","NAMPT","-.33145065404648899","282"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.31717228687304894","282"
"1843","LMP744","TOP1","-.30206386613003045","282"
"1190","Gemcitabine","Pyrimidine antimetabolite","-.29364306241647931","282"
"1598","LGK974","PORCN","-.29147597411066739","282"
"1734","VSP34_8731","VSP34","-.2883233616361493","282"
"1069","EHT-1864","RAC1, RAC2, RAC3","-.2686494876112816","282"
"1062","Selumetinib","MEK1, MEK2","-.22774653913604828","282"
"1199","Tamoxifen","ESR1","-.21830636870926792","282"
"2011","ICL-SIRT078","SIR2","-.19200007650004078","282"
"1714","ERK_6604","ERK1,ERK2","-.17892709715235658","282"
"1007","Docetaxel","Microtubule stabiliser","-.17843600602360851","282"
"1372","Trametinib","MEK1, MEK2","-.17613393784059486","282"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-.16040668230873623","282"
"1005","Cisplatin","DNA crosslinker","-.15812962263292832","282"
"1915","AZD3759","EGFR","-.13288871991843831","282"
"1940","WIKI4","TNKS1, TNKS2","-.1139412286526021","282"
"1020","Lenalidomide","CRBN","-.1126863893274874","282"
"1831","L-Oxonoreleagnine","","-.11007247059648381","282"
"1815","Dacarbazine","CP11A","-.10737582494222901","282"
"1042","Doramapimod","p38, JNK2","-.097879581512075625","282"
"2048","Vinorelbine","Microtubule destabiliser","-.094607829088524595","282"
"1019","Bosutinib","SRC, ABL, TEC","-.092059744828357951","282"
"2109","AZ6102","TNKS1, TNKS2","-.057686357830824576","282"
"1026","Tanespimycin","HSP90","-.0548800541435275","282"
"2157","A-366","EHMT1, EHMT2","-.0454909240663273","282"
"1816","Fulvestrant","ESR","-.044731002763286586","282"
"1629","ML323","USP1, UAF1","-.0092522012328587599","282"
"2173","PFI-1","BRD4",".0018554435434583064","282"
"1708","CDK9_5576","CDK9",".012231607202885336","282"
"1809","Teniposide","",".014115601675419311","282"
"1010","Gefitinib","EGFR",".020575303431645681","282"
"2361","THR-102","Mutant RAS",".028563479075209328","282"
"2438","ascorbate (vitamin C)","anti-oxidant proteins",".03241741128422284","282"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",".034240054048410337","282"
"1835","Elephantin","",".045154156798383527","282"
"2000","N27922-53-1","",".048341485095195112","282"
"1836","150412","",".068794609506511464","282"
"1594","OSI-027","MTORC1, MTORC2",".087484652108931457","282"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",".10588312586320424","282"
"2010","HKMTI-1-005","",".10979998905541731","282"
"1032","Afatinib","EGFR, ERBB2",".11580503643917289","282"
"1617","AZD5582","XIAP, cIAP",".11777478846284498","282"
"1810","Mitoxantrone","TOP2",".12413316164121083","282"
"1179","MK-1775","WEE1, PLK1",".12711518516277054","282"
"2002","N30652-18-1","",".12793328325632478","282"
"1830","Gallibiscoquinazole","",".12899250189709865","282"
"1080","Paclitaxel","Microtubule stabiliser",".14107757195966797","282"
"2055","Mycophenolic acid","",".1480724284363901","282"
"2154","GSK-LSD1-2HCl ","LSD1",".16239075887038143","282"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".17107924082448048","282"
"1401","AZD5438","CDK2",".18466033549818797","282"
"2148","POMHEX","",".18757744568694759","282"
"1733","ULK1_4989","ULK1",".18885293072712311","282"
"1463","AZD1332","NTRK1, NTRK2, NTRK3",".19397361187888484","282"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",".21262596004885373","282"
"1373","Dabrafenib","BRAF",".213225772768733","282"
"1239","YK-4-279","RNA helicase A",".21925290645791609","282"
"1191","Bortezomib","Proteasome",".23563886322918154","282"
"1091","BMS-536924","IGF1R, IR",".23643290603925207","282"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3",".23823260406646629","282"
"1578","Leflunomide","Pyrimidine synthesis inhibitor",".24190628692842575","282"
"1033","Vismodegib","SMO",".24265035558220491","282"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3",".2475626178060808","282"
"2360","THR-101","Mutant RAS",".25232734401711865","282"
"1819","Docetaxel","Microtubule stabiliser",".25928304321276058","282"
"1511","Epirubicin","Anthracycline",".27055741325018479","282"
"1806","Oxaliplatin","DNA alkylating agent",".27056144816345318","282"
"1428","IAP_5620","IAP",".2770486732809071","282"
"1783","LMB_AB1","ADRA1A, ADRB1",".27766161159656427","282"
"1834","743380","",".2884342356138232","282"
"1799","Ibrutinib","BTK",".28882013323730948","282"
"2362","THR-103","Mutant RAS",".29955946071756517","282"
"1739","JAK_8517","JAK1, JAK2",".30469085098875937","282"
"2145","PBD-288","",".30487446348580916","282"
"1936","Savolitinib","MET",".31013351028836489","282"
"1618","GSK2606414","PERK",".3169855580106633","282"
"1089","Oxaliplatin","DNA alkylating agent",".31803150128223101","282"
"1825","Podophyllotoxin bromide","",".32122943352502203","282"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF",".32147294825759282","282"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT",".32256265682903162","282"
"1910","ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",".32495879702574232","282"
"1917","AZD6738","ATR",".32913609612376066","282"
"1709","CDK9_5038","CDK9",".34333370851376083","282"
"1932","NVP-ADW742","IGF1R",".34346300521309764","282"
"1052","RO-3306","CDK1",".35788524632484109","282"
"1918","AZD8186","PI3Kalpha, PI3Kbeta",".37766962201244297","282"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",".38122280019665888","282"
"1919","Osimertinib","EGFR",".38413292805968546","282"
"1375","Temozolomide","DNA alkylating agent",".38446644477266312","282"
"1576","IWP-2","PORCN",".39523146484426325","282"
"1928","I-BRD9","BRD9",".41061223418496157","282"
"1927","GSK2578215A","LRRK2",".41177627163630504","282"
"1911","Dactinomycin","RNA polymerase",".41178768925951581","282"
"1268","XAV939","TNKS1, TNKS2",".4174383597014224","282"
"1021","Axitinib","PDGFR, KIT, VEGFR",".42843869242017374","282"
"1560","Alpelisib","PI3Kalpha",".43632424050628282","282"
"1632","Ribociclib","CDK4, CDK6",".45010878717084168","282"
"1048","Mirin","MRE11",".45151263213841997","282"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9",".45323974838517267","282"
"1941","Sepantronium bromide","BIRC5",".45487581329229027","282"
"1200","Fulvestrant","ESR",".46817196122266308","282"
"2037","GSK343","EZH2",".48325787479262239","282"
"1779","GSK626616AC","DYRK1A",".48865868694831466","282"
"1784","LMB_AB2","GADD34",".4978041214161652","282"
"2038","UNC0638","G9A, GLP",".50064454371647948","282"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8",".50102137396598057","282"
"1999","N25720-51-A1","",".5013424631324761","282"
"1054","Palbociclib","CDK4, CDK6",".51350416998207349","282"
"1777","GSK2276186C","JAK1, JAK2, JAK3",".5247087609669755","282"
"1529","Pevonedistat","NAE",".52597401425293044","282"
"1807","Carmustine","",".52734299134972662","282"
"1133","Serdemetan","MDM2",".53110126094801435","282"
"1177","Niraparib","PARP1, PARP2",".5361121461523819","282"
"1047","Nutlin-3a (-)","MDM2",".54621072515614755","282"
"1512","Cyclophosphamide","Alkylating agent",".54657625786997999","282"
"1237","EPZ004777","DOT1L",".54855368779999392","282"
"1716","IRAK4_4710","IRAK4",".55253776562501433","282"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3",".56434273767783705","282"
"1826","50869","",".56645975293648254","282"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2",".5688509503999658","282"
"1168","Erlotinib","EGFR",".57320520275217191","282"
"1838","Sinularin","",".58083305860314693","282"
"1558","Lapatinib","EGFR, ERBB2",".59242353068969278","282"
"2045","AMG-319","PI3K (beta sparing)",".60730238511538615","282"
"1855","KRAS (G12C) Inhibitor-12","KRAS (G12C)",".6237475878330262","282"
"1029","Motesanib","VEGFR, RET, KIT, PDGFR",".62458336213777099","282"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9",".6254345630608561","282"
"1008","Methotrexate","Antimetabolite",".64983903763370754","282"
"2359","GSK2830371","WIP1",".65253971554443957","282"
"1563","EPZ5676","DOT1L",".65401711244186866","282"
"1614","WZ4003","NUAK1, NUAK2",".6599160822140544","282"
"1378","Bleomycin (50 uM)","dsDNA break induction",".6620953907892293","282"
"1022","AZD7762","CHEK1, CHEK2",".66732191627737381","282"
"1811","Dactinomycin","RNA polymerase",".67474683681244152","282"
"2044","Pyridostatin","G-quadruplex stabiliser",".67838470779043958","282"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)",".6787076207101701","282"
"1036","PLX-4720","BRAF",".69510383954380017","282"
"1780","GSK3337463A","NIK",".70300407882267446","282"
"1583","GSK-LSD1","KDM1",".70820408973469606","282"
"1839","615590","",".70921118689923957","282"
"1712","Eg5_9814","KSP11",".71308059935045365","282"
"1706","AZD5153","BRD4",".71333387584569685","282"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".71881946595453927","282"
"1818","Vincristine","",".72707009316965299","282"
"1802","Zoledronate"," ",".73240630661422701","282"
"1776","GSK2256098C","FAK1",".73878037602561331","282"
"1854","MN-64","TNKS1, TNKS2",".73915503126026272","282"
"1050","ZM447439","AURKA, AURKB",".74816446117413138","282"
"2498","alpha-lipoic acid","Metabolism",".74845425230089524","282"
"2158","CPI-637","EP300",".75780024918427524","282"
"1038","NU7441","DNAPK",".77469985557010079","282"
"1814","Nelarabine","",".78318138291010841","282"
"1510","Linsitinib","IGF1R",".78572589544432536","282"
"1441","AZD2014","mTORC1, mTORC2",".79818591190002797","282"
"1782","GSK2830371A","PPM1D",".81053110985458232","282"
"1824","123138","",".8130131031045934","282"
"1016","Temsirolimus","MTOR",".81823855152755653","282"
"2110","GSK591","PMRT5",".82385062688243893","282"
"1449","AZD1208","PIM1, PIM2, PIM3",".82481606632977522","282"
"1058","Pictilisib","PI3K (class 1)",".82567077143947787","282"
"1913","AGI-5198","IDH1 (R132H)",".83582954950328681","282"
"1924","Ipatasertib","AKT1, AKT, AKT3",".84009962578969288","282"
"1615","CZC24832","PI3Kgamma",".86092886813466696","282"
"1051","Alisertib","AURKA",".86423161805877313","282"
"1720","AZD5991","MCL1",".86842840485161599","282"
"1912","Afuresertib","AKT1, AKT2, AKT3",".8721291967437258","282"
"1862","MG-132","Proteasome, CAPN1",".87577009101730363","282"
"1821","765771","",".88964998178593901","282"
"1931","MIRA-1","TP53",".89595525499899709","282"
"1631","PRT062607","SYK",".90814537944314788","282"
"1013","Nilotinib","ABL",".92361112899250497","282"
"1813","Fludarabine","Antimetabolite",".93239873136016571","282"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2",".9346641347196899","282"
"1043","JNK Inhibitor VIII","JNK",".93758275338842223","282"
"1996","MIM1","MCL1",".94258986721513338","282"
"1049","PD173074","FGFR1, FGFR2, FGFR3",".94491906492605227","282"
