ID,Drug Name,Targets,Z Score,Count
"1847","BEN","","-1.26023910980625","281"
"1816","Fulvestrant","ESR","-1.0451139177301665","281"
"1812","Bleomycin","dsDNA break induction","-1.0390617101751376","281"
"2109","AZ6102","TNKS1, TNKS2","-.93201916062608603","281"
"1494","SN-38","TOP1","-.89768932194061735","281"
"1190","Gemcitabine","Pyrimidine antimetabolite","-.88998016022936444","281"
"1940","WIKI4","TNKS1, TNKS2","-.87693605414772047","281"
"1059","AZD8055","MTORC1, MTORC2","-.84196398935975114","281"
"1618","GSK2606414","PERK","-.82984809066469167","281"
"1025","SB216763","GSK3A, GSK3B","-.74953319006611641","281"
"1734","VSP34_8731","VSP34","-.74364917999827884","281"
"1032","Afatinib","EGFR, ERBB2","-.69549983706924112","281"
"1810","Mitoxantrone","TOP2","-.69148303819367019","281"
"1008","Methotrexate","Antimetabolite","-.69116319107047441","281"
"1003","Camptothecin","TOP1","-.68720458169652598","281"
"1026","Tanespimycin","HSP90","-.65907052885858319","281"
"1843","LMP744","TOP1","-.65267245619767156","281"
"1918","AZD8186","PI3Kalpha, PI3Kbeta","-.64832739471289325","281"
"1010","Gefitinib","EGFR","-.61414624125055417","281"
"1808","Topotecan","TOP1","-.60850583440636841","281"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2","-.60110476611356345","281"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-.5967902571024557","281"
"1814","Nelarabine","","-.56613874972631184","281"
"1088","Irinotecan","TOP1","-.53517142951097418","281"
"1006","Cytarabine","Antimetabolite","-.52444616943649613","281"
"1936","Savolitinib","MET","-.51678793268142353","281"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-.50734347391631718","281"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.5034058995698516","281"
"1191","Bortezomib","Proteasome","-.48824268689525341","281"
"1813","Fludarabine","Antimetabolite","-.47820364560038048","281"
"2010","HKMTI-1-005","","-.46192863834268283","281"
"1821","765771","","-.44691112331936017","281"
"1830","Gallibiscoquinazole","","-.43121790349720018","281"
"1627","GSK343","EZH2","-.42643022674382924","281"
"1913","AGI-5198","IDH1 (R132H)","-.42047054872189926","281"
"1093","GSK1904529A","IGF1R, IR","-.39350970648509986","281"
"1199","Tamoxifen","ESR1","-.37740393701964314","281"
"1559","Luminespib","HSP90","-.37218026010236815","281"
"1908","Ulixertinib","ERK1, ERK2","-.36021189324565472","281"
"1511","Epirubicin","Anthracycline","-.35580805560626239","281"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-.34968301711771221","281"
"1259","Talazoparib","PARP1, PARP2","-.34516640860848363","281"
"1730","PAK_5339","PAK1, PAK2","-.34301975443572214","281"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-.34012002857267559","281"
"1832","729189","","-.3290852482239055","281"
"2173","PFI-1","BRD4","-.32535946074713612","281"
"1617","AZD5582","XIAP, cIAP","-.31344458652891455","281"
"1811","Dactinomycin","RNA polymerase","-.31252237856627146","281"
"1820","123829","","-.29835975268267972","281"
"1249","BMS-345541","IKK-1, IKK-2","-.27752689195788566","281"
"1831","L-Oxonoreleagnine","","-.26023106362259524","281"
"2046","MK-8776","CHEK1, CHEK2, CDK2","-.23298635038788118","281"
"2439","glutathione","anti-oxidant proteins","-.22926404368114056","281"
"2055","Mycophenolic acid","","-.22010728624577947","281"
"1706","AZD5153","BRD4","-.19627781490591978","281"
"2499","N-acetyl cysteine","Metabolism","-.19426537072534142","281"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","-.19387524408272697","281"
"1819","Docetaxel","Microtubule stabiliser","-.18321078871008362","281"
"1177","Niraparib","PARP1, PARP2","-.17576453492449975","281"
"1614","WZ4003","NUAK1, NUAK2","-.16311291059040145","281"
"1736","Selumetinib","MEK1, MEK2","-.1435847714855534","281"
"1712","Eg5_9814","KSP11","-.13760351509642377","281"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.13543093419587415","281"
"1058","Pictilisib","PI3K (class 1)","-.12033505675395927","281"
"1926","GNE-317","PI3Kalpha","-.094011311570885617","281"
"1529","Pevonedistat","NAE","-.086471477194120183","281"
"1268","XAV939","TNKS1, TNKS2","-.076119476090228066","281"
"1996","MIM1","MCL1","-.072259172645409001","281"
"1036","PLX-4720","BRAF","-.067849092927469712","281"
"1179","MK-1775","WEE1, PLK1","-.046295056881146074","281"
"1378","Bleomycin (50 uM)","dsDNA break induction","-.044499356982636656","281"
"1824","123138","","-.041307156262736226","281"
"1022","AZD7762","CHEK1, CHEK2","-.037751312498817483","281"
"2037","GSK343","EZH2","-.033347760885253451","281"
"1091","BMS-536924","IGF1R, IR","-.028777081535059854","281"
"1613","VE-822","ATR","-.023224059177742291","281"
"1833","741909","","-.022893217044068871","281"
"1804","Acetalax","","-.015668707365780729","281"
"1713","ERK_2440","ERK1,ERK2",".0054802707593455628","281"
"1133","Serdemetan","MDM2",".0058233495567708285","281"
"1401","AZD5438","CDK2",".014007258700533428","281"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9",".02008690963805981","281"
"1919","Osimertinib","EGFR",".020807728368574339","281"
"1060","PD0325901","MEK1, MEK2",".026849244345021613","281"
"1708","CDK9_5576","CDK9",".028036018497226783","281"
"1014","Refametinib","MEK1, MEK2",".034747105235215965","281"
"2057","Remodelin","",".04399285762841957","281"
"1250","AZ960","JAK2, JAK3",".045605019267894176","281"
"1062","Selumetinib","MEK1, MEK2",".049203773208448924","281"
"1809","Teniposide","",".058823500786803304","281"
"1840","630600","",".065221745682761262","281"
"1615","CZC24832","PI3Kgamma",".081425689150140049","281"
"1862","MG-132","Proteasome, CAPN1",".083479805420977535","281"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",".085329199511811255","281"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",".085367208362502556","281"
"1932","NVP-ADW742","IGF1R",".086315232721570254","281"
"2045","AMG-319","PI3K (beta sparing)",".099061135844898826","281"
"1576","IWP-2","PORCN",".11124799238872134","281"
"1826","50869","",".11681880954318084","281"
"1200","Fulvestrant","ESR",".11691600023895223","281"
"1578","Leflunomide","Pyrimidine synthesis inhibitor",".12081769108789735","281"
"1915","AZD3759","EGFR",".12764373546557786","281"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".13256450956106416","281"
"1594","OSI-027","MTORC1, MTORC2",".13748956432044326","281"
"1941","Sepantronium bromide","BIRC5",".17410040022524056","281"
"1054","Palbociclib","CDK4, CDK6",".1907553336821427","281"
"2096","VX-11e","ERK2",".19551291366645077","281"
"1598","LGK974","PORCN",".21103438355548784","281"
"1042","Doramapimod","p38, JNK2",".21909815991864384","281"
"1917","AZD6738","ATR",".21968669647115766","281"
"1168","Erlotinib","EGFR",".2242636155353154","281"
"1084","Rapamycin","MTORC1",".24480972950262292","281"
"1807","Carmustine","",".25024987068704729","281"
"1777","GSK2276186C","JAK1, JAK2, JAK3",".25518288877041923","281"
"1925","GDC0810","ESR1, ESR2",".25627549681552025","281"
"1844","776928","",".26959166040306448","281"
"1716","IRAK4_4710","IRAK4",".27054642043508159","281"
"1005","Cisplatin","DNA crosslinker",".27075017577374899","281"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",".27522401347418191","281"
"1714","ERK_6604","ERK1,ERK2",".27905988590928449","281"
"1803","Acetalax","",".28907413046895042","281"
"2361","THR-102","Mutant RAS",".29008630063122093","281"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".30072867952212506","281"
"2044","Pyridostatin","G-quadruplex stabiliser",".30479082575997757","281"
"1372","Trametinib","MEK1, MEK2",".30965766317375887","281"
"1911","Dactinomycin","RNA polymerase",".31196343227783474","281"
"1930","Telomerase Inhibitor IX","Telomerase",".32444985528822923","281"
"2011","ICL-SIRT078","SIR2",".34892597224367694","281"
"1373","Dabrafenib","BRAF",".35124495408616857","281"
"1827","Dihydrorotenone","",".36339773677706338","281"
"1051","Alisertib","AURKA",".37233201580568726","281"
"1631","PRT062607","SYK",".37392028198493693","281"
"1013","Nilotinib","ABL",".38055498197304699","281"
"1818","Vincristine","",".38433620906361626","281"
"1999","N25720-51-A1","",".39080284550278133","281"
"1067","CCT007093","PPM1D",".39278372813751061","281"
"1866","BDP-00009066","MRCKB_HUMAN",".3945677652347408","281"
"1558","Lapatinib","EGFR, ERBB2",".39965086119223658","281"
"1017","Olaparib","PARP1, PARP2",".40382782449155907","281"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1",".40451307943455089","281"
"1593","Entinostat","HDAC1, HDAC3",".41001874507743558","281"
"1931","MIRA-1","TP53",".41240436800552582","281"
"1709","CDK9_5038","CDK9",".42084071261014294","281"
"1053","MK-2206","AKT1, AKT2",".42370870293860408","281"
"1626","OTX015","BRD2, BRD3, BRD4",".42754671676946082","281"
"2157","A-366","EHMT1, EHMT2",".43429120067090465","281"
"1080","Paclitaxel","Microtubule stabiliser",".44419629213795575","281"
"1621","PCI-34051","HDAC8, HDAC6, HDAC1",".47386704079277275","281"
"2047","Ulixertinib","ERK1, ERK2",".47729349348950356","281"
"1845","Schweinfurthin A","",".48059528053200146","281"
"2112","VTP-A","",".49347599471301073","281"
"1560","Alpelisib","PI3Kalpha",".49556734251578649","281"
"1131","PRIMA-1MET","TP53 activation",".50067131953945521","281"
"1829","667880","",".50250676009239548","281"
"1780","GSK3337463A","NIK",".50558898138009822","281"
"1083","Crizotinib","MET, ALK, ROS1",".50956886410398816","281"
"1834","743380","",".51079493822093669","281"
"1629","ML323","USP1, UAF1",".51488536183660438","281"
"1630","Entospletinib","SYK",".51746905132520338","281"
"1239","YK-4-279","RNA helicase A",".51923035110543048","281"
"1564","SCH772984","ERK1, ERK2",".52617507587386314","281"
"2043","BIBR-1532","TERT",".53363637723852453","281"
"1799","Ibrutinib","BTK",".53586326739728418","281"
"2360","THR-101","Mutant RAS",".55172920363744815","281"
"1007","Docetaxel","Microtubule stabiliser",".57965624907057001","281"
"1016","Temsirolimus","MTOR",".59231873621570508","281"
"1510","Linsitinib","IGF1R",".60817117915142249","281"
"1912","Afuresertib","AKT1, AKT2, AKT3",".60945434860740344","281"
"1910","ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",".61989749014807927","281"
"1030","KU-55933","ATM",".63450912917386093","281"
"1061","SB590885","BRAF",".63521072302113135","281"
"1718","JAK1_8709","JAK1",".64967408358704726","281"
"1561","Taselisib","PI3K (beta sparing)",".64994472663466807","281"
"1738","IGF1R_3801","IGFR1",".65577722505418568","281"
"2039","AGK2","BAZ2A, BAZ2B",".66462278033701994","281"
"1838","Sinularin","",".67332247994108008","281"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF",".67422131007749309","281"
"2159","UNC0379","SETD8",".67999358752074912","281"
"1553","Uprosertib","AKT1, AKT2, AKT3",".68014738107594375","281"
"1815","Dacarbazine","CP11A",".69673823585801264","281"
"1634","AGI-6780","IDH2 R140Q mutant",".70427743470518089","281"
"1785","LMB_AB3","PPP1R15B",".70848307580731618","281"
"1023","GW441756","NTRK1",".71211089095046387","281"
"1375","Temozolomide","DNA alkylating agent",".7137799407765828","281"
"1624","I-BET-762","BRD2, BRD3, BRD4",".72509340196021921","281"
"1048","Mirin","MRE11",".73529085805624295","281"
"2110","GSK591","PMRT5",".75323902450328994","281"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8",".75420014821451897","281"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV",".76211952201536082","281"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT",".76255730183172266","281"
"2113","VTP-B","",".76880909217924576","281"
"1835","Elephantin","",".77293977200919439","281"
"1632","Ribociclib","CDK4, CDK6",".7886566377950126","281"
"2438","ascorbate (vitamin C)","anti-oxidant proteins",".79791784499397422","281"
"1441","AZD2014","mTORC1, mTORC2",".80945046268343712","281"
"1924","Ipatasertib","AKT1, AKT, AKT3",".81662614699757696","281"
"1836","150412","",".82270176481825996","281"
"1050","ZM447439","AURKA, AURKB",".83272523986258329","281"
"1089","Oxaliplatin","DNA alkylating agent",".83955519293982772","281"
"1428","IAP_5620","IAP",".85696282175933192","281"
"1512","Cyclophosphamide","Alkylating agent",".87085086031411096","281"
"1806","Oxaliplatin","DNA alkylating agent",".8708539094384633","281"
"1034","Staurosporine","Broad spectrum kinase inhibitor",".87493268183588502","281"
"1933","P22077","USP7, USP47",".87908226129078293","281"
"2038","UNC0638","G9A, GLP",".87982171400893661","281"
"2000","N27922-53-1","",".88001581840581911","281"
"1839","615590","",".8907907844266606","281"
"1029","Motesanib","VEGFR, RET, KIT, PDGFR",".89215471306866934","281"
"2359","GSK2830371","WIP1",".91054023864751887","281"
"1046","Wee1 Inhibitor","WEE1, CHEK1",".9112924327798857","281"
"1086","BI-2536","PLK1, PLK2, PLK3",".91441529027284763","281"
"1855","KRAS (G12C) Inhibitor-12","KRAS (G12C)",".91881066673134792","281"
"1563","EPZ5676","DOT1L",".91984334999123807","281"
"2498","alpha-lipoic acid","Metabolism",".92787240939651616","281"
"1939","UMI-77","MCL1",".93061610831649788","281"
"1049","PD173074","FGFR1, FGFR2, FGFR3",".94023865832183173","281"
"1802","Zoledronate"," ",".94248118943722203","281"
"1582","SGC-CBP30","EP300, CBP",".96129275953860605","281"
"1720","AZD5991","MCL1",".96269865329252247","281"
"1825","Podophyllotoxin bromide","",".96907070313697663","281"
"1776","GSK2256098C","FAK1",".97309229632239092","281"
"1580","GSK2801","",".9812768931609912","281"
"1018","Veliparib","PARP1, PARP2",".98348972647137056","281"
"1779","GSK626616AC","DYRK1A",".98407551402869653","281"
"1019","Bosutinib","SRC, ABL, TEC",".98830901712221975","281"
"1916","AZD5363","AKT1, AKT2, AKT3, ROCK2",".99712909415151718","281"
"1733","ULK1_4989","ULK1","1.0057894316328471","281"
"1557","LCL161","XIAP, IAP1, IAP2","1.0112609438386553","281"
"1043","JNK Inhibitor VIII","JNK","1.0141485699559605","281"
"1047","Nutlin-3a (-)","MDM2","1.0141590523154953","281"
"1739","JAK_8517","JAK1, JAK2","1.0149294274428584","281"
"1784","LMB_AB2","GADD34","1.021060037868071","281"
"1783","LMB_AB1","ADRA1A, ADRB1","1.0372339645636111","281"
"2048","Vinorelbine","Microtubule destabiliser","1.0380493614620192","281"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9","1.0470872731803844","281"
"2002","N30652-18-1","","1.0515898450309884","281"
"1778","GSK2110183B","AKT1, AKT2, AKT3","1.0560237242762873","281"
"1997","WEHI-539","BCL-XL","1.0627963979205404","281"
"1998","BPD-00008900","","1.0705291582439027","281"
"1069","EHT-1864","RAC1, RAC2, RAC3","1.0747446845989053","281"
"2003","N29087-69-1","","1.0816874178134772","281"
"1854","MN-64","TNKS1, TNKS2","1.0822934669607449","281"
"1038","NU7441","DNAPK","1.1056700428882524","281"
"1020","Lenalidomide","CRBN","1.1254348522367144","281"
"1828","720427","","1.1340310832599612","281"
"2362","THR-103","Mutant RAS","1.1357715787284042","281"
"1449","AZD1208","PIM1, PIM2, PIM3","1.1405476719151868","281"
"1004","Vinblastine","Microtubule destabiliser","1.1503401642017246","281"
"1237","EPZ004777","DOT1L","1.1576180923897177","281"
"1586","BDILV000379a","BAZ2A, BAZ2B","1.165826067509931","281"
"1021","Axitinib","PDGFR, KIT, VEGFR","1.1795720949463502","281"
"1782","GSK2830371A","PPM1D","1.2056936351587231","281"
"1927","GSK2578215A","LRRK2","1.2219026545947966","281"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2","1.2301037919739708","281"
"1635","Picolinici-acid","Inflammatory related","1.2966894832606179","281"
"1622","Wnt-C59","PORCN","1.3058797526290513","281"
"1732","TAF1_5496","TAF1","1.3129788911942042","281"
"1849","Sabutoclax","BCL2,  BCL-XL,  BFL1, MCL1","1.3273828407907271","281"
"1625","RVX-208","BRD4","1.3307660603005536","281"
"2177","SGC0946","DOT1L","1.3467397703573514","281"
"1033","Vismodegib","SMO","1.3589629610186791","281"
"2107","LJI308","RSK2, RSK1, RSK3","1.3864832619716811","281"
"2145","PBD-288","","1.3883104270711748","281"
"2148","POMHEX","","1.3929660573545344","281"
"1175","Rucaparib","PARP1, PARP2","1.4020622848651745","281"
"1852","LY2109761","TGFB1","1.4231152801422315","281"
"1583","GSK-LSD1","KDM1","1.4736471996306808","281"
"2111","VE821","ATR","1.4749120166908967","281"
"2154","GSK-LSD1-2HCl ","LSD1","1.480261996270787","281"
"2106","Uprosertib","AKT1, AKT2, AKT3","1.5082088853929803","281"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","1.5466569448966923","281"
"2156","5-azacytidine","DNA methyltransferases","1.5594267669195812","281"
"1507","Ruxolitinib","JAK1, JAK2","1.5740102770947069","281"
"2171","BMS-754807","IGF1R, IR","1.5753617217317613","281"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","1.5836813653782444","281"
"2158","CPI-637","EP300","1.5992817247195288","281"
"1928","I-BRD9","BRD9","1.6307245038564191","281"
"1052","RO-3306","CDK1","1.6642027840294447","281"
"2170","AT13148","AKT1","1.7540669420765518","281"
"1853","OF-1","BRPF1B, BRPF2","1.8667270280555819","281"
"1909","Venetoclax","BCL2","2.0999203372754436","281"
