"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q16563","SYPL1","6.667586","3.074352"
"Q86VP1","TAX1BP1","4.7486753","3.0229013"
"Q643R3","LPCAT4","4.4613543","2.902208"
"Q15363","TMED2","5.0557265","2.743649"
"O75509","TNFRSF21","4.741646","2.7261086"
"Q8IWT6","LRRC8A","4.897669","2.6971939"
"Q96SQ9","CYP2S1","5.643237","2.6119184"
"P05141","SLC25A5","10.2802","2.5796883"
"Q9Y287","ITM2B","5.870198","2.5620303"
"O60637","TSPAN3","7.726078","2.524868"
"Q96LJ7","DHRS1","5.085573","2.4620554"
"P61106","RAB14","6.4826326","2.4602036"
"P54709","ATP1B3","7.634113","2.4487736"
"P55061","TMBIM6","3.9745393","2.4456263"
"O15554","KCNN4","4.3556","2.4339902"
"P08962","CD63","5.670247","2.3666446"
"Q92544","TM9SF4","5.6841345","2.3574517"
"O96005","CLPTM1","5.105765","2.3184881"
"Q9BRX8","PRXL2A","5.4297605","2.3173344"
"P57088","TMEM33","5.157914","2.2992458"
"P68133","ACTA1","6.4096584","2.2976067"
"Q04695","KRT17","12.120487","2.2523298"
"P98172","EFNB1","5.6960397","2.2416964"
"P35609","ACTN2","7.6010723","2.2409258"
"P61225","RAP2B","5.26498","2.219102"
"P60468","SEC61B","6.522306","2.2157066"
"P13647","KRT5","11.7794485","2.2031424"
"A8MXV4","NUDT19","5.533775","2.198691"
"Q8TD43","TRPM4","5.34991","2.1803467"
"Q12996","CSTF3","4.3142824","2.1802661"
"Q99653","CHP1","6.330831","2.1745288"
"Q53GQ0","HSD17B12","6.468795","2.1664894"
"Q8IZH2","XRN1","3.4669068","2.165656"
"Q53T59","HS1BP3","5.518385","2.1649559"
"O00592","PODXL","8.309297","2.1625876"
"Q8NDW4","ZNF248","7.0077195","2.1592214"
"P67812","SEC11A","4.6887245","2.1591327"
"Q15286","RAB35","5.488356","2.1259263"
"O60477","BRINP1","7.0305123","2.1236532"
"Q2M2I5","KRT24","6.2342324","2.1178603"
"O75381","PEX14","5.320923","2.0913951"
"Q92520","FAM3C","6.2146177","2.0835073"
"Q15758","SLC1A5","8.681497","2.080539"
"Q15223","NECTIN1","5.384622","2.077447"
"Q15041","ARL6IP1","5.3606443","2.061443"
"Q9UIW2","PLXNA1","3.7822788","2.0601304"
"Q10472","GALNT1","4.0374055","2.0557344"
"P13646","KRT13","10.382191","2.0550532"
"O75093","SLIT1","6.117904","2.0493686"
"Q63HN8","RNF213","4.4031634","2.0486035"
"Q8WUY1","THEM6","5.937269","2.0459523"
"P13726","F3","8.069594","2.0307279"
"Q96CW1","AP2M1","5.377568","2.021536"
"O60437","PPL","7.1766043","2.0188546"
"A1L390","PLEKHG3","4.277898","2.0115933"
"P50151","GNG10","5.2184596","2.0093856"
"Q6P9B6","MEAK7","4.549652","2.006038"
"O15269","SPTLC1","7.2452383","2.002738"
"Q96HE7","ERO1A","7.0631466","2.0012043"
"P18031","PTPN1","6.2083964","1.9998199"
"Q9HDC9","APMAP","8.136932","1.9993247"
"P23229","ITGA6","8.453468","1.998583"
"Q13571","LAPTM5","5.0576277","1.9981598"
"Q9BZM5","ULBP2","4.669434","1.9965818"
"Q15070","OXA1L","5.605304","1.9962405"
"Q03135","CAV1","8.729887","1.9927679"
"Q9Y3A6","TMED5","6.8491564","1.9916002"
"P05023","ATP1A1","8.322158","1.9887949"
"Q7L5N7","LPCAT2","6.027605","1.9850504"
"Q9NV92","NDFIP2","3.391521","1.971563"
"Q96CU9","FOXRED1","4.225244","1.9626985"
"P61009","SPCS3","6.9218874","1.9624504"
"Q9UMD9","COL17A1","7.4812465","1.9497417"
"Q6P2Q9","PRPF8","5.6513205","1.9481018"
"Q01814","ATP2B2","7.1399465","1.9433254"
"Q9HCE5","METTL14","3.004385","1.9381557"
"Q9BSJ8","ESYT1","7.225024","1.9229354"
"O15231","ZNF185","6.509068","1.9187971"
"Q9BXS4","TMEM59","3.4241135","1.9143261"
"O96008","TOMM40","5.8330326","1.9116743"
"O14561","NDUFAB1","5.0274825","1.9057448"
"P61803","DAD1","4.641436","1.8841141"
"O00560","SDCBP","5.1808047","1.8793532"
"Q06481","APLP2","4.225175","1.8681117"
"P46977","STT3A","5.603395","1.8649327"
"O15382","BCAT2","4.9396462","1.8529192"
"Q9Y6W3","CAPN7","6.0622993","1.851216"
"Q9BPW9","DHRS9","6.814984","1.8511426"
"Q9NRX5","SERINC1","2.939006","1.8475502"
"O14763","TNFRSF10B","3.891164","1.8460358"
"Q99720","SIGMAR1","3.5313697","1.8414568"
"Q6P179","ERAP2","5.9212804","1.8401681"
"P56378","ATP5MJ","4.3931375","1.8397142"
"Q14126","DSG2","7.3524337","1.8338804"
"Q9Y3D8","AK6","5.121696","1.8323302"
"P11166","SLC2A1","8.511317","1.8290207"
"Q99502","EYA1","3.9082592","1.8251548"
"P19256","CD58","4.933758","1.8224721"
"Q8IWB9","TEX2","5.5348825","1.8173237"
"P47756","CAPZB","7.194427","1.8136983"
"P33527","ABCC1","4.9762774","1.8069397"
"Q9NRY6","PLSCR3","4.456078","1.8048651"
"P51572","BCAP31","8.239815","1.804806"
"P35222","CTNNB1","7.7634063","1.8000033"
"P04844","RPN2","6.905824","1.7961903"
"P24592","IGFBP6","4.139029","1.7950706"
"Q8N766","EMC1","5.1500173","1.7859747"
"Q9P0U1","TOMM7","2.495999","1.7830575"
"P12931","SRC","4.175531","1.7739327"
"P09110","ACAA1","6.685922","1.7726594"
"P18754","RCC1","7.64715","1.7652402"
"Q6NUM9","RETSAT","4.1575","1.7621068"
"P04181","OAT","7.2880535","1.7591943"
"Q8N8N7","PTGR2","3.6859474","1.7583483"
"Q8N4H5","TOMM5","5.988263","1.7474346"
"Q9NW81","DMAC2","3.7120998","1.7459886"
"Q3ZAQ7","VMA21","4.4079514","1.745566"
"Q8NEW0","SLC30A7","3.8567646","1.7415048"
"Q6YHK3","CD109","5.871","1.7349745"
"O95140","MFN2","4.302158","1.7336516"
"P18433","PTPRA","4.0203004","1.7268304"
"Q5XXA6","ANO1","5.2777376","1.7248539"
"Q9ULN7","PNMA8B","5.465071","1.7246951"
"Q96QD8","SLC38A2","4.1915693","1.7212899"
"P13073","COX4I1","8.288192","1.7166487"
"Q86YS7","C2CD5","3.7240057","1.7111955"
"O94832","MYO1D","5.1905885","1.7041702"
"P26232","CTNNA2","5.5505733","1.7039256"
"O43169","CYB5B","7.214225","1.700174"
"Q14697","GANAB","9.907337","1.6959065"
"P15260","IFNGR1","3.4981446","1.6936817"
"A4FU01","MTMR11","5.9293942","1.6936092"
"Q96RS0","TGS1","3.4125032","1.6855832"
"Q8IWZ3","ANKHD1","3.8781576","1.6854687"
"O60716","CTNND1","7.5156307","1.6849389"
"Q9H0A0","NAT10","6.0407248","1.6844385"
"P11279","LAMP1","8.902913","1.6842697"
"Q15005","SPCS2","5.21758","1.6804034"
"Q9Y3Q3","TMED3","3.637285","1.6778923"
"P13473","LAMP2","7.6192007","1.6761472"
"Q9NPR2","SEMA4B","4.022608","1.6668168"
"Q9BVC6","TMEM109","8.647635","1.665141"
"Q9UL25","RAB21","5.6382737","1.6649442"
"O95573","ACSL3","5.9943056","1.6633838"
"Q13724","MOGS","5.689588","1.6598454"
"P35052","GPC1","5.718022","1.658062"
"O43707","ACTN4","8.874779","1.648721"
"P19634","SLC9A1","3.316403","1.6476026"
"Q9Y2U8","LEMD3","4.5263095","1.6395329"
"P51149","RAB7A","8.777666","1.6393634"
"Q9BV79","MECR","5.184154","1.6389307"
"Q07157","TJP1","5.871106","1.6301969"
"P82930","MRPS34","5.2723885","1.6283592"
"Q9NPL8","TIMMDC1","4.6090274","1.6232991"
"O94985","CLSTN1","3.5426073","1.621231"
"P15924","DSP","7.638411","1.6165677"
"O95801","TTC4","4.207026","1.6057594"
"P39656","DDOST","8.476478","1.6052034"
"Q9BZF1","OSBPL8","4.5704126","1.6049244"
"Q7Z5G4","GOLGA7","3.5988615","1.603053"
"Q7Z4F1","LRP10","4.797554","1.6029501"
"Q9NZM1","MYOF","8.045456","1.5893668"
"Q96EY7","PTCD3","4.816599","1.5843611"
"P17301","ITGA2","7.5256796","1.577613"
"Q9H977","WDR54","3.707848","1.5764276"
"A0FGR8","ESYT2","5.607792","1.5740379"
"P35221","CTNNA1","7.906388","1.5677452"
"P16144","ITGB4","7.898995","1.5649403"
"O43795","MYO1B","5.7484055","1.5602695"
"P07204","THBD","3.9703438","1.5578175"
"P51636","CAV2","4.327609","1.5552261"
"O95171","SCEL","4.517161","1.5552132"
"Q9Y673","ALG5","4.1300917","1.5508329"
