"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P13498","CYBA","5.7708125","3.507234"
"Q08AD1","CAMSAP2","5.0377383","3.4213967"
"Q13620","CUL4B","5.6578236","3.2926924"
"O14672","ADAM10","6.774161","3.2337034"
"Q9UKN7","MYO15A","5.8024163","3.1713822"
"Q9UKU7","ACAD8","5.1396785","3.1278667"
"Q10567","AP1B1","6.5531","2.9301677"
"Q9NXF7","DCAF16","4.947494","2.8063176"
"O95081","AGFG2","4.9353495","2.7793925"
"Q14677","CLINT1","5.388813","2.7583914"
"O43747","AP1G1","4.929264","2.7346973"
"Q13057","COASY","5.026615","2.7168813"
"P80188","LCN2","9.300104","2.715705"
"Q99828","CIB1","5.7901826","2.6774411"
"Q86SQ0","PHLDB2","5.2040725","2.6463435"
"Q53H82","LACTB2","6.2048182","2.6394243"
"Q9BX68","HINT2","7.8246083","2.6275716"
"Q643R3","LPCAT4","4.1972623","2.592136"
"P00966","ASS1","8.358911","2.5865302"
"Q96HR9","REEP6","6.3463917","2.5790632"
"P37059","HSD17B2","5.6351523","2.57329"
"Q9H8P0","SRD5A3","3.237964","2.568817"
"Q9H5H4","ZNF768","4.3498216","2.565681"
"Q16850","CYP51A1","5.249639","2.55877"
"P00403","MT-CO2","8.651858","2.5383441"
"Q8N2G8","GHDC","4.995251","2.4741328"
"O15155","BET1","5.2019305","2.4726684"
"Q9UGM3","DMBT1","7.117392","2.4519198"
"Q6NVY1","HIBCH","6.037496","2.4482248"
"P00750","PLAT","5.7024975","2.43195"
"Q8WUY1","THEM6","6.2969723","2.4100442"
"Q12965","MYO1E","4.624427","2.3821137"
"P09525","ANXA4","8.8507595","2.3701286"
"Q9Y2T3","GDA","5.6643944","2.349369"
"O15484","CAPN5","4.8412933","2.3479278"
"Q5BKU9","OXLD1","4.0016046","2.3183832"
"P47895","ALDH1A3","7.5392623","2.311954"
"Q9UHR4","BAIAP2L1","5.38974","2.3117228"
"Q8N122","RPTOR","3.764879","2.30996"
"Q9Y3Q3","TMED3","4.214783","2.2949808"
"O95197","RTN3","5.880287","2.293994"
"P48729","CSNK1A1","5.3034415","2.29174"
"P16219","ACADS","4.4706244","2.2687595"
"O15195","VILL","5.467083","2.2628853"
"Q6YP21","KYAT3","4.4500837","2.2543375"
"Q96RQ3","MCCC1","5.7842298","2.2418416"
"Q8NBX0","SCCPDH","7.322958","2.2388694"
