"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q86YS7","C2CD5","5.79918","4.103432"
"Q8IWZ3","ANKHD1","5.1851726","3.2181563"
"Q93034","CUL5","4.48806","3.0636077"
"Q8WZA9","IRGQ","6.4770103","2.9150016"
"Q6ZNA5","FRRS1","6.1149955","2.7433898"
"Q9ULC5","ACSL5","7.3570447","2.713186"
"Q9NX02","NLRP2","5.78906","2.688972"
"P17096","HMGA1","7.8728304","2.6654334"
"Q9BYC5","FUT8","5.9110837","2.6387818"
"Q15286","RAB35","5.781057","2.5965154"
"Q08722","CD47","8.4482","2.567915"
"Q12797","ASPH","8.599875","2.5490716"
"Q9NZJ6","COQ3","4.0227675","2.5316427"
"P28290","ITPRID2","5.9560404","2.527197"
"Q9NXF7","DCAF16","4.7210674","2.5163221"
"Q13492","PICALM","6.0723715","2.4868252"
"Q8WXH0","SYNE2","5.1164618","2.4862456"
"Q9NPH0","ACP6","4.3489013","2.4470549"
"P07476","IVL","6.0980315","2.422147"
"Q9NQT5","EXOSC3","4.390389","2.3993187"
"P80188","LCN2","8.663619","2.3930361"
"P09237","MMP7","5.784678","2.3859649"
"Q643R3","LPCAT4","4.0095115","2.371696"
"P55011","SLC12A2","6.538152","2.3669431"
"Q9HD45","TM9SF3","6.122451","2.3617625"
"O00255","MEN1","3.5146146","2.3558576"
"Q15042","RAB3GAP1","4.5110335","2.3203967"
"Q86VR2","RETREG3","5.0920415","2.3070261"
"P46926","GNPDA1","4.75181","2.2997508"
"P05067","APP","5.381107","2.277529"
"Q9NPI6","DCP1A","4.2382565","2.26906"
"Q9NX40","OCIAD1","7.7139587","2.2454438"
"Q9Y6R1","SLC4A4","3.857069","2.2319198"
"Q9H3N1","TMX1","7.895687","2.213993"
"Q8N5K1","CISD2","6.640325","2.213955"
"P05114","HMGN1","7.0167522","2.2130518"
"Q86TM6","SYVN1","3.8162856","2.1862469"
"Q6ZS17","RIPOR1","5.2101316","2.1749017"
"Q9ULE3","DENND2A","5.525367","2.1747746"
"Q8TEW0","PARD3","4.0728097","2.1580963"
"O15270","SPTLC2","4.7970343","2.1435595"
"Q8N884","CGAS","4.874607","2.1296272"
"Q8TB61","SLC35B2","4.988991","2.1192284"
"Q9GZU5","NYX","7.146183","2.118568"
"Q15005","SPCS2","5.493962","2.1179903"
"Q8TC12","RDH11","5.721878","2.1168284"
"Q6P4E1","GOLM2","5.2487473","2.1126812"
"Q9Y6N5","SQOR","8.608867","2.1047943"
"O14802","POLR3A","3.6530542","2.102409"
"P14859","POU2F1","4.27745","2.0979726"
"Q96E22","NUS1","2.9944208","2.0733194"
"Q92520","FAM3C","6.1909685","2.0603518"
"Q06481","APLP2","4.423113","2.0586116"
"Q5SXM2","SNAPC4","5.567849","2.049405"
"P14373","TRIM27","3.6511614","2.0284111"
"O43490","PROM1","5.5427866","2.018826"
"Q8IXH7","NELFCD","3.6708124","2.0149407"
"Q9P035","HACD3","6.180004","2.003747"
"P02686","MBP","5.2969785","1.993973"
"P61009","SPCS3","6.942504","1.9920145"
"P39210","MPV17","3.1432862","1.9920127"
"Q8N4Y2","CRACR2B","8.257023","1.9916314"
"P30084","ECHS1","8.798558","1.9910427"
"Q92575","UBXN4","5.764101","1.9891132"
"Q27J81","INF2","5.964739","1.9801352"
"O96007","MOCS2","3.963656","1.9737307"
"O75093","SLIT1","6.027958","1.9578726"
"O95219","SNX4","3.797865","1.9541419"
"Q96TC7","RMDN3","5.807734","1.9491323"
"P09525","ANXA4","8.170886","1.9441717"
"P00450","CP","5.4158053","1.9427437"
"Q92506","HSD17B8","5.7745485","1.9366617"
"Q14573","ITPR3","5.752497","1.9327384"
"O95470","SGPL1","4.5004582","1.9323691"
"Q08257","CRYZ","7.3273487","1.9041138"
"Q9NVH0","EXD2","4.0967493","1.898879"
"Q9BYB4","GNB1L","3.7241201","1.8960878"
"Q8WWH5","TRUB1","4.441949","1.8934706"
"Q9BQE5","APOL2","6.349009","1.8903354"
"O94919","ENDOD1","6.2718067","1.8872617"
"P78356","PIP4K2B","3.2580612","1.8832333"
"Q8NBJ4","GOLM1","5.370056","1.8818362"
"O94905","ERLIN2","6.0201283","1.865182"
"Q8TCT8","SPPL2A","2.566221","1.8625301"
"O60513","B4GALT4","3.7166996","1.859979"
"Q96JQ2","CLMN","3.9058325","1.8558414"
"Q96P11","NSUN5","3.2210448","1.8557097"
"Q93008","USP9X","3.4492958","1.8298644"
"Q12888","TP53BP1","5.0858064","1.8253825"
"Q9NQ50","MRPL40","5.1692004","1.8163744"
"P30048","PRDX3","10.219556","1.8021663"
"O75410","TACC1","4.541444","1.7969608"
"Q92667","AKAP1","5.283795","1.7967148"
"P15941","MUC1","7.004857","1.7963703"
"Q8WUK0","PTPMT1","4.4733815","1.7949461"
"Q08357","SLC20A2","3.6102905","1.7793902"
"P01033","TIMP1","4.7017813","1.7793041"
"Q9NZ01","TECR","5.2893605","1.7787209"
"Q5T8D3","ACBD5","4.7352614","1.7784188"
"Q9BTZ2","DHRS4","5.379255","1.7711691"
"Q07157","TJP1","5.978524","1.7692804"
"Q8NEN9","PDZD8","2.729129","1.7661428"
"Q8WVM8","SCFD1","5.442501","1.7644421"
"O76024","WFS1","4.7104397","1.761976"
"P22307","SCP2","8.426479","1.760455"
"P40394","ADH7","5.982993","1.7583557"
"Q99735","MGST2","4.6140924","1.7576936"
"Q6PML9","SLC30A9","3.7657073","1.7452115"
"P40199","CEACAM6","7.2316847","1.7402816"
"P23229","ITGA6","8.0127325","1.7399733"
"P62330","ARF6","4.213146","1.738623"
"Q99442","SEC62","6.6521373","1.7363763"
"Q9NZ43","USE1","3.8266852","1.7293614"
"P00367","GLUD1","8.193195","1.7275051"
"Q99828","CIB1","4.730028","1.725003"
"P36957","DLST","9.2338085","1.721574"
"Q8IX18","DHX40","3.9570885","1.7193909"
"Q9H6Y7","RNF167","4.388736","1.7145613"
"Q8N1S5","SLC39A11","4.13485","1.7145314"
"Q96HE7","ERO1A","6.752463","1.7095158"
"Q9P2M7","CGN","5.4511137","1.7085464"
"P20711","DDC","5.5665526","1.7082909"
"Q8IU81","IRF2BP1","3.791916","1.7050291"
"Q9NPR2","SEMA4B","4.0694966","1.7026559"
"P21980","TGM2","8.545761","1.7019674"
"Q9Y2R4","DDX52","4.3742356","1.7010545"
"Q14165","MLEC","6.737117","1.6984413"
"Q9NZ32","ACTR10","3.6358736","1.6981913"
"P49116","NR2C2","3.7365775","1.6977462"
"P20700","LMNB1","9.73121","1.6961948"
"Q9NUQ2","AGPAT5","3.927724","1.6946145"
"Q8NBN3","TMEM87A","3.4319468","1.6904528"
"P52597","HNRNPF","7.8027687","1.6900231"
"Q8NE86","MCU","5.0603704","1.6844205"
"Q02241","KIF23","4.7049546","1.6823101"
"P05556","ITGB1","10.105427","1.6814504"
"Q14542","SLC29A2","3.9675732","1.6779236"
"Q56VL3","OCIAD2","6.643068","1.6715842"
"Q96CS3","FAF2","5.627332","1.6604362"
"Q63HQ0","AP1AR","3.1483662","1.6601322"
"Q6ZN84","CCDC81","6.0682573","1.6587108"
"O75477","ERLIN1","5.3396835","1.6567562"
"P67812","SEC11A","4.2511797","1.6553766"
"P30154","PPP2R1B","3.661512","1.6547084"
"O60637","TSPAN3","6.8715234","1.6530356"
"Q16352","INA","7.5228205","1.6476928"
"Q12907","LMAN2","6.924103","1.6450284"
"O14981","BTAF1","2.8404188","1.6414839"
"P08582","MELTF","5.233629","1.6279737"
"Q8TC36","SUN5","5.855257","1.6268084"
"P11234","RALB","6.280319","1.6263936"
"P11172","UMPS","5.02414","1.6246759"
"Q15070","OXA1L","5.35698","1.6208203"
"Q05086","UBE3A","3.7291636","1.6173205"
"O00515","LAD1","6.9612565","1.6162987"
"O43169","CYB5B","7.139973","1.6130519"
"Q9NQC3","RTN4","9.078846","1.6110879"
"P49755","TMED10","6.5968266","1.6104982"
"Q14696","MESD","5.7661743","1.6097357"
"P17535","JUND","2.932139","1.6094807"
"Q9H1A3","METTL9","3.5814028","1.6045909"
"O95407","TNFRSF6B","3.7298386","1.6042717"
"P16615","ATP2A2","6.727101","1.5969917"
"Q8WUF8","ARB2A","2.536024","1.5947102"
"P52564","MAP2K6","6.354852","1.5913091"
"Q9H8P0","SRD5A3","2.2288826","1.5892466"
"P29590","PML","6.4866276","1.5844332"
"P61812","TGFB2","4.8118706","1.5824145"
"P23469","PTPRE","3.7886643","1.5800376"
"Q96KG9","SCYL1","3.8643103","1.5765103"
"Q6NUK1","SLC25A24","8.129186","1.5754983"
"Q92859","NEO1","5.7447686","1.5730716"
"Q9BWH6","RPAP1","4.162075","1.5712343"
"Q96RR1","TWNK","3.5838974","1.5707349"
"Q9NW81","DMAC2","3.6089506","1.5701089"
"P82909","KGD4","5.6394243","1.5673547"
"P16219","ACADS","3.7455328","1.5661618"
"Q9BZQ6","EDEM3","3.2574148","1.5502186"
"P20061","TCN1","5.007148","1.5496262"
"P00749","PLAU","3.340526","1.5489879"
"O14672","ADAM10","5.445856","1.546734"
"Q92643","PIGK","4.88097","1.5460181"
"Q9P2D1","CHD7","3.3912313","1.5454899"
"Q1KMD3","HNRNPUL2","6.5769663","1.5450897"
"P49768","PSEN1","3.0719478","1.5426904"
"Q9HC07","TMEM165","3.359812","1.5408965"
"Q08380","LGALS3BP","8.430569","1.5403758"
"Q9Y512","SAMM50","4.721081","1.5360736"
"B3KNS4","ERVK3-1","4.5862603","1.535381"
"Q9NZJ7","MTCH1","4.9323773","1.534064"
"Q9NVK5","FGFR1OP2","3.0601628","1.5234737"
"P27824","CANX","9.351343","1.5227045"
"Q00765","REEP5","6.3946342","1.5209607"
"Q9UBV2","SEL1L","4.554795","1.5168526"
"O43292","GPAA1","4.4682245","1.5151168"
"Q9P2W9","STX18","3.2561095","1.5090439"
"Q9NZM1","MYOF","7.920138","1.5073307"
"Q8IZA0","KIAA0319L","3.681259","1.5065368"
"P30101","PDIA3","10.330766","1.5064678"
"P13667","PDIA4","8.791624","1.5044605"
"Q5VTL8","PRPF38B","3.419573","1.4984198"
"P17693","HLA-G","7.48775","1.4970816"
"O15321","TM9SF1","3.435454","1.4959711"
"Q5JPH6","EARS2","4.2728066","1.4955149"
"Q9H0V9","LMAN2L","3.6163764","1.4928122"
"Q8IXM6","NRM","3.379672","1.491673"
"Q8NC44","RETREG2","3.0721924","1.4877931"
"P11216","PYGB","6.243707","1.4847006"
"P10074","ZBTB48","6.242087","1.4843303"
"P61803","DAD1","4.2784123","1.4836937"
"Q15434","RBMS2","3.891723","1.4821545"
"P16144","ITGB4","7.7412596","1.481935"
"Q9Y3E5","PTRH2","5.0876403","1.4799098"
"Q8N4T8","CBR4","3.7998357","1.4787548"
"Q6NVY1","HIBCH","5.4057746","1.476452"
"Q10471","GALNT2","6.6439767","1.4736409"
"Q15599","NHERF2","5.3022304","1.4733185"
"O95573","ACSL3","5.816601","1.4718996"
"P19012","KRT15","7.496591","1.4715408"
"Q5JVF3","PCID2","2.7875721","1.4712503"
"Q92817","EVPL","5.226445","1.4702533"
"Q9Y2Z9","COQ6","3.8385386","1.469465"
"Q9NRP0","OSTC","4.5598783","1.4690384"
"P38571","LIPA","4.2227407","1.4682363"
"Q8IXK0","PHC2","3.933184","1.4681711"
"Q8N511","TMEM199","4.157874","1.4649506"
"Q8N128","FAM177A1","3.7423573","1.464935"
"O95415","BRI3","3.0584512","1.464619"
"Q9Y3Y2","CHTOP","4.4928718","1.464331"
"A1L0T0","ILVBL","5.0634165","1.4623212"
"Q5VYK3","ECPAS","4.192765","1.4622673"
"P13498","CYBA","4.0220714","1.4616656"
"P60953","CDC42","7.328541","1.4610856"
"P23434","GCSH","6.478742","1.4605807"
"Q9Y5B9","SUPT16H","6.2144","1.4605001"
"P98160","HSPG2","4.7704215","1.4593207"
"Q9Y4G6","TLN2","3.9724786","1.4580035"
"Q03518","TAP1","5.665144","1.4579978"
"Q15363","TMED2","4.0187616","1.4565444"
"Q8N5H7","SH2D3C","6.1000953","1.4533329"
"P24557","TBXAS1","2.766471","1.4510096"
"Q96BP3","PPWD1","3.8126888","1.4493281"
"P13051","UNG","3.6681454","1.4490405"
"P04066","FUCA1","3.725494","1.4457092"
"O75976","CPD","5.8632245","1.4452467"
"Q12864","CDH17","6.712303","1.4419578"
"Q8NC56","LEMD2","5.831702","1.4398758"
"Q9BRJ2","MRPL45","5.15945","1.4389246"
"Q9H3Z4","DNAJC5","2.79144","1.4364007"
"P61769","B2M","6.6706877","1.4361619"
"Q5H8A4","PIGG","2.674919","1.4343758"
"Q8IX12","CCAR1","5.6814904","1.4340869"
"Q8N2G8","GHDC","4.0080843","1.4339795"
"Q9BVT8","TMUB1","4.4949064","1.4330833"
"P13747","HLA-E","3.6463156","1.4315379"
"Q15643","TRIP11","3.9372847","1.4280313"
"P08727","KRT19","13.051388","1.4267169"
"Q13243","SRSF5","4.4566283","1.4253535"
"Q6PIU2","NCEH1","8.56166","1.425262"
"Q5T2T1","MPP7","3.934314","1.4245087"
"Q9Y5J7","TIMM9","6.3531294","1.4240279"
"P78345","RPP38","3.4049764","1.4127206"
"Q07955","SRSF1","7.67996","1.4125313"
"Q14739","LBR","7.200343","1.4098473"
"Q969N2","PIGT","4.561935","1.4094831"
"O00468","AGRN","4.788648","1.4073607"
"Q9HCE1","MOV10","3.643055","1.4070634"
"Q9BVK6","TMED9","7.656477","1.4063083"
"Q6T4R5","NHS","2.2029214","1.4053028"
"Q15428","SF3A2","4.4328547","1.401074"
"O75533","SF3B1","5.944954","1.4010198"
"Q04941","PLP2","8.236495","1.4008044"
"Q9NXE8","CWC25","2.480295","1.4001529"
"P23511","NFYA","3.576837","1.3990989"
"Q9BWM7","SFXN3","6.487108","1.395036"
"Q96LR9","APOLD1","6.0984225","1.3939655"
"Q8N2F6","ARMC10","4.680312","1.3933161"
"Q4VC31","MIX23","5.8238273","1.3923035"
"Q6VY07","PACS1","3.422751","1.3910005"
"Q13740","ALCAM","7.327097","1.3904198"
"Q86UP2","KTN1","7.1194944","1.3894128"
"P83111","LACTB","4.492544","1.3872042"
"Q9BTY2","FUCA2","4.244571","1.3871919"
"P09012","SNRPA","6.9709477","1.3844472"
"P55064","AQP5","4.0049367","1.3834434"
"P55795","HNRNPH2","5.3155127","1.3834264"
"Q01082","SPTBN1","8.172597","1.3821621"
"Q96LJ7","DHRS1","3.9779577","1.3818125"
"Q9NZ08","ERAP1","4.665749","1.3800442"
"Q9NXW2","DNAJB12","3.657788","1.3799975"
"P62820","RAB1A","6.0171275","1.3780067"
"Q96CM8","ACSF2","4.4808025","1.3776451"
"Q01130","SRSF2","4.0703335","1.3771017"
"Q9GZN6","SLC6A16","4.1344576","1.376424"
"Q8WUD1","RAB2B","2.7945933","1.3756468"
"Q96DZ1","ERLEC1","4.0861535","1.3748274"
"Q9Y2R0","COA3","5.451066","1.3735715"
"Q9NQS1","AVEN","3.631151","1.3725073"
"Q15084","PDIA6","9.670287","1.3717811"
"Q9H2U2","PPA2","6.816974","1.3715088"
"Q10469","MGAT2","3.4942484","1.3700154"
"P31942","HNRNPH3","7.650976","1.369196"
"P09001","MRPL3","3.5985923","1.3682957"
"O00767","SCD","3.8093295","1.3655447"
"Q86XH1","IQCA1","6.8888106","1.3645657"
"Q12981","BNIP1","4.454995","1.3640906"
"A0AV96","RBM47","4.4285827","1.3636038"
"P57105","SYNJ2BP","6.4091716","1.3615997"
"P20810","CAST","5.8849096","1.3610144"
"P08842","STS","4.860464","1.360887"
"P51148","RAB5C","6.554089","1.3582299"
"P23284","PPIB","10.24334","1.3563728"
"Q8WUA4","GTF3C2","3.1295505","1.3550258"
"P05091","ALDH2","7.422724","1.3512489"
"Q01085","TIAL1","5.044581","1.3507823"
"Q9H7U1","CCSER2","5.045811","1.3488569"
"P26232","CTNNA2","5.2037807","1.3484277"
"Q96BQ5","CCDC127","2.4054809","1.347757"
"Q8NBU5","ATAD1","4.60702","1.3470261"
"Q96S52","PIGS","4.279349","1.3457527"
"O75909","CCNK","3.3028574","1.3436325"
"O95994","AGR2","9.861495","1.3428388"
"Q8WX93","PALLD","5.350212","1.3422759"
"Q9Y394","DHRS7","5.690173","1.3390536"
"P62699","YPEL5","1.939902","1.3387414"
"Q9H1K1","ISCU","4.499456","1.336021"
"Q9H1C4","UNC93B1","1.8197973","1.3353144"
"Q14789","GOLGB1","4.8122315","1.3348848"
"P19256","CD58","4.4016404","1.3343445"
"P05787","KRT8","13.713859","1.3311142"
"Q8NE01","CNNM3","2.8755786","1.3300769"
"O75116","ROCK2","3.41968","1.329905"
"O15438","ABCC3","3.3571641","1.3255224"
"Q4VCS5","AMOT","5.6797924","1.32549"
"Q86SX6","GLRX5","5.638311","1.3253019"
"Q13423","NNT","6.794679","1.324151"
"Q9BV23","ABHD6","4.027418","1.3207017"
"Q8TB96","ITFG1","4.276342","1.3193659"
"Q8NFV4","ABHD11","5.862408","1.3192585"
"P42892","ECE1","5.5169663","1.3177675"
"Q7Z6G3","NECAB2","5.1242995","1.3165411"
"P04843","RPN1","8.556107","1.3146731"
"Q9Y276","BCS1L","3.106994","1.3135693"
"Q9Y2Q3","GSTK1","6.012205","1.3124924"
"Q53EP0","FNDC3B","4.1920066","1.3114057"
"P22033","MMUT","4.925509","1.3101926"
"Q8WXA9","SREK1","3.5995102","1.3094945"
"Q13438","OS9","3.7697172","1.309254"
"Q9BXS5","AP1M1","3.83659","1.3087771"
"Q9UP83","COG5","3.5815332","1.3070513"
"Q15051","IQCB1","3.7614505","1.3036337"
"P47755","CAPZA2","6.4804916","1.303239"
"P56199","ITGA1","5.0526924","1.3030618"
"P48047","ATP5PO","8.772563","1.3029963"
"Q96GC9","VMP1","2.832955","1.3011324"
"O95365","ZBTB7A","2.8451028","1.298859"
"Q8N8Y2","ATP6V0D2","2.4778793","1.2985282"
"Q13443","ADAM9","5.412572","1.2973278"
"O15484","CAPN5","3.8668633","1.2970493"
"P13804","ETFA","7.660297","1.2967851"
"P51991","HNRNPA3","7.7009406","1.2963059"
"O43504","LAMTOR5","5.7177095","1.2955528"
"Q562R1","ACTBL2","7.4328246","1.2951226"
"Q8NI27","THOC2","3.827538","1.294681"
"Q13190","STX5","4.2731304","1.2941668"
"Q04721","NOTCH2","3.9039304","1.2941324"
"O75427","LRCH4","2.9001615","1.2883303"
"Q9BSF4","TIMM29","3.3144772","1.2862458"
"O60934","NBN","3.535185","1.2857289"
"P04439","HLA-A","9.038808","1.2834522"
"Q04837","SSBP1","9.490274","1.2832285"
"Q5SGD2","PPM1L","3.625745","1.2818743"
"Q96LC7","SIGLEC10","4.3346143","1.2816117"
"Q9UKN7","MYO15A","4.2247477","1.2815108"
"P18754","RCC1","7.32275","1.2802463"
"Q9H4A6","GOLPH3","3.2620466","1.275905"
"Q9Y2Q5","LAMTOR2","4.2834616","1.2757162"
"Q8NDD1","C1orf131","3.4256427","1.2748258"
"Q9NPC6","MYOZ2","3.6884105","1.273237"
"Q9H9H4","VPS37B","2.7865102","1.2726916"
"Q9NS93","TM7SF3","3.9894345","1.2708853"
"P51003","PAPOLA","3.060662","1.2657489"
"P01034","CST3","4.342012","1.2652425"
"P27144","AK4","6.750562","1.2650695"
"P23497","SP100","4.723107","1.264433"
