"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P46063","RECQL","6.7289724","4.9271903"
"P54132","BLM","7.005258","4.8625693"
"Q8NFW8","CMAS","7.0994673","3.9731603"
"Q9UIW2","PLXNA1","5.347521","3.7611713"
"Q86Y13","DZIP3","5.2959967","3.7350092"
"P37268","FDFT1","8.899474","3.7067802"
"Q9HAU0","PLEKHA5","5.2147646","3.2273362"
"Q9NR31","SAR1A","5.8436084","3.137348"
"Q7L591","DOK3","6.76984","3.1101787"
"Q9Y3E0","GOLT1B","4.6381426","2.8698037"
"Q96BK5","PINX1","4.337525","2.729509"
"Q09161","NCBP1","5.0454335","2.7117817"
"Q16563","SYPL1","6.204613","2.5862737"
"P20839","IMPDH1","6.479017","2.5526702"
"Q8IWT6","LRRC8A","4.7380857","2.5080047"
"Q15286","RAB35","5.722923","2.5030408"
"P84085","ARF5","5.042513","2.482594"
"P33151","CDH5","6.2723236","2.4719014"
"Q13541","EIF4EBP1","4.9715414","2.4366603"
"Q9NUQ2","AGPAT5","4.484712","2.3822207"
"Q5EBL8","PDZD11","4.720449","2.3465588"
"P04083","ANXA1","12.38884","2.34517"
"Q93009","USP7","6.1510487","2.3039508"
"Q7L1Q6","BZW1","6.26268","2.3026304"
"Q15070","OXA1L","5.7964926","2.2852893"
"Q9Y2A9","B3GNT3","3.987024","2.2736712"
"O43169","CYB5B","7.6533766","2.2154667"
"P39023","RPL3","7.7777653","2.2031264"
"Q9NPL8","TIMMDC1","5.158926","2.1875768"
"Q96HP0","DOCK6","3.7364821","2.1849008"
"Q92859","NEO1","6.769416","2.1835883"
"P39059","COL15A1","5.30036","2.148485"
"P82673","MRPS35","4.7310786","2.1473935"
"Q92520","FAM3C","6.2702084","2.1379352"
"Q8TF65","GIPC2","3.6393335","2.1307483"
"P61106","RAB14","6.2617326","2.1270027"
"P62330","ARF6","4.481838","2.082614"
"Q9H583","HEATR1","5.114553","2.0777836"
"P48729","CSNK1A1","5.1306615","2.0565584"
"Q5VT25","CDC42BPA","5.3875937","2.0467613"
"Q9H0A0","NAT10","6.26997","2.0429397"
"P23458","JAK1","4.6528754","2.0376732"
"P61313","RPL15","7.9484935","2.0355794"
"P29034","S100A2","9.386469","2.0324624"
"O95573","ACSL3","6.323607","2.0182078"
"Q15363","TMED2","4.469281","2.0157373"
"P55072","VCP","8.405086","2.0070317"
"P62256","UBE2H","4.044635","1.9993681"
"P42677","RPS27","5.7293057","1.9966239"
"Q9BQ75","CMSS1","4.2093263","1.9930739"
"P20073","ANXA7","7.1951923","1.9909394"
"Q9UNQ0","ABCG2","5.034154","1.9897207"
"Q8IYT4","KATNAL2","8.625676","1.9824446"
"Q99575","POP1","5.003661","1.9798762"
"Q5SWX8","ODR4","3.7049367","1.9712814"
"Q9NW13","RBM28","5.3094525","1.9643818"
"Q9H8H0","NOL11","4.474479","1.9620547"
"P30519","HMOX2","6.6304164","1.9458393"
"P20042","EIF2S2","6.235256","1.9329922"
"Q9NVU0","POLR3E","3.9852164","1.932851"
"Q9NS69","TOMM22","5.600036","1.9285376"
"P60468","SEC61B","6.318438","1.9246076"
"Q8IZW8","TNS4","3.9762166","1.92199"
"O94903","PLPBP","6.698289","1.8956513"
"P23229","ITGA6","8.252916","1.8809078"
"Q9BTE7","DCUN1D5","3.5240822","1.8801553"
"Q9Y3B4","SF3B6","5.7983556","1.8704106"
"Q9NVP1","DDX18","5.7135463","1.8688464"
"O75093","SLIT1","5.940097","1.8684927"
"Q56VL3","OCIAD2","6.9262834","1.8641775"
"Q7L0Y3","TRMT10C","5.361849","1.8576384"
"Q8N0U8","VKORC1L1","4.1292577","1.8565462"
"P17301","ITGA2","7.9495935","1.8558224"
"P98172","EFNB1","5.165024","1.8487716"
"P20061","TCN1","5.2738986","1.8470851"
"P41091","EIF2S3","5.492895","1.8419249"
"P46977","STT3A","5.5796247","1.8380891"
"P61964","WDR5","4.4455657","1.8330765"
"Q969X6","UTP4","4.9024353","1.8293841"
"Q96AP7","ESAM","4.6476855","1.826145"
"Q8NHG7","SVIP","4.4011436","1.8177962"
"Q8N4H5","TOMM5","6.030153","1.8160298"
"Q15223","NECTIN1","5.0593905","1.812306"
"Q9HD47","RANGRF","4.080092","1.8116837"
"Q53R41","FASTKD1","2.5734515","1.8110087"
"Q92882","OSTF1","5.7424154","1.7941971"
"P62244","RPS15A","8.185232","1.7884326"
"P51636","CAV2","4.544207","1.7873217"
"P28290","ITPRID2","5.2356215","1.7859321"
"Q96EK6","GNPNAT1","4.5177946","1.7846842"
"Q9NYY8","FASTKD2","3.7338173","1.7834363"
"Q7KZF4","SND1","8.685527","1.7755166"
"Q01085","TIAL1","5.2471857","1.7710264"
"O15305","PMM2","4.478878","1.7706425"
"Q9Y3A4","RRP7A","3.4264157","1.7706337"
