"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q16563","SYPL1","7.45296","3.902297"
"Q8IWT6","LRRC8A","5.603916","3.5344849"
"Q08174","PCDH1","6.281553","3.5159507"
"Q15070","OXA1L","6.56179","3.4423008"
"Q9H361","PABPC3","7.247555","3.3431451"
"Q99735","MGST2","6.3906593","3.292817"
"P61313","RPL15","8.562076","3.2018952"
"P33527","ABCC1","6.2267833","3.1804624"
"P05141","SLC25A5","10.656239","3.0764966"
"Q9NS69","TOMM22","6.155062","3.042044"
"P46781","RPS9","8.855289","3.0271513"
"P18077","RPL35A","7.359141","3.0012205"
"Q9H7U1","CCSER2","6.0548906","2.9951735"
"O75051","PLXNA2","3.866654","2.9735935"
"Q9Y512","SAMM50","5.3794365","2.9364574"
"P35527","KRT9","5.7803974","2.9262755"
"O75695","RP2","5.5749593","2.9189904"
"P08174","CD55","5.7822328","2.9065473"
"Q15041","ARL6IP1","5.955384","2.88508"
"P61106","RAB14","6.7598667","2.8783865"
"Q9UDW1","UQCR10","6.7025743","2.8621793"
"P18031","PTPN1","6.978131","2.8228316"
"Q9NVI7","ATAD3A","7.1721945","2.761108"
"Q9NVH1","DNAJC11","6.607642","2.737133"
"Q9Y2Y1","POLR3K","5.0549755","2.7361462"
"O95810","CAVIN2","7.4952774","2.6889393"
"P62244","RPS15A","8.714155","2.6724148"
"Q15599","NHERF2","6.5451183","2.6570065"
"Q15836","VAMP3","5.035009","2.644118"
"Q96G23","CERS2","6.8357425","2.6287613"
"P00387","CYB5R3","8.133174","2.627528"
"Q9Y6B6","SAR1B","5.526742","2.6237376"
"Q92544","TM9SF4","5.89754","2.618744"
"P04264","KRT1","7.0954003","2.6180453"
"Q9BZE1","MRPL37","5.0543323","2.613592"
"Q9UM00","TMCO1","5.918603","2.6089883"
"P01130","LDLR","5.5855455","2.6059198"
"Q13310","PABPC4","7.4425955","2.6035864"
"Q99808","SLC29A1","4.649474","2.562658"
"Q8N6C5","IGSF1","7.890197","2.5513933"
"Q9BT22","ALG1","5.425618","2.528457"
"O60762","DPM1","5.1689973","2.5266042"
"P23634","ATP2B4","5.3258524","2.5247207"
"Q8TCT9","HM13","5.5988593","2.5241833"
"Q07817","BCL2L1","5.8684845","2.5185041"
"Q8N4H5","TOMM5","6.457904","2.5164726"
"Q9NRK6","ABCB10","4.5004106","2.5136654"
"Q8NDW4","ZNF248","7.3505483","2.5121596"
"Q13505","MTX1","5.3324313","2.5077"
"Q16720","ATP2B3","5.091138","2.4917374"
"P53701","HCCS","5.3525","2.4855306"
"Q53T59","HS1BP3","5.758272","2.4749787"
"P62847","RPS24","7.002863","2.4711998"
"Q9NWU5","MRPL22","5.136569","2.4687982"
"Q9UIQ6","LNPEP","4.868136","2.4615314"
"P42892","ECE1","6.684732","2.4570398"
"Q9HBI1","PARVB","6.3465047","2.4558263"
"Q03135","CAV1","9.505146","2.4484048"
"Q02878","RPL6","9.913319","2.4430087"
"Q9BW60","ELOVL1","4.283421","2.4326296"
"Q96SQ9","CYP2S1","5.427059","2.425787"
"Q9NZM1","MYOF","9.322603","2.4253998"
"P62424","RPL7A","9.219156","2.4185166"
"Q8TF72","SHROOM3","5.1101456","2.416145"
"Q9H936","SLC25A22","4.707556","2.4083776"
"P98172","EFNB1","5.8814263","2.3788743"
"Q02127","DHODH","4.5201163","2.3760521"
"P61353","RPL27","7.9926353","2.3697462"
"Q9H3K2","GHITM","4.8372836","2.368109"
"Q5T9L3","WLS","4.9069448","2.3661692"
"P33151","CDH5","6.1246743","2.363861"
"Q7Z2W9","MRPL21","5.880849","2.3540714"
"P22695","UQCRC2","7.9145246","2.3500948"
"Q9NRW7","VPS45","4.9331546","2.3418918"
"Q6UWP7","LCLAT1","5.8797493","2.338077"
"Q8IWB7","WDFY1","4.4664307","2.3254364"
"Q9HAB3","SLC52A2","4.2492876","2.3227048"
"A4FU01","MTMR11","6.5009174","2.318643"
"Q5XXA6","ANO1","6.0345736","2.2993274"
"P31930","UQCRC1","8.735259","2.2991688"
"Q9NRG9","AAAS","4.7337756","2.2900095"
"O95573","ACSL3","6.560947","2.273944"
"P49184","DNASE1L1","3.7957127","2.2718258"
"Q6DD88","ATL3","7.3147945","2.2647998"
"O95793","STAU1","6.7744794","2.2600164"
"Q9Y6W3","CAPN7","6.419704","2.2557547"
"P39023","RPL3","7.7997465","2.247247"
"P50402","EMD","8.553148","2.2438662"
