"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9BSH4","TACO1","6.7023144","5.236254"
"Q9UHN1","POLG2","6.3601837","4.9003754"
"Q8NI37","PPTC7","4.322385","3.752185"
"P13598","ICAM2","7.0978165","3.6442327"
"Q8IY81","FTSJ3","7.7884626","3.6414893"
"Q6P1Q9","METTL2B","3.605093","3.4891934"
"Q86VP1","TAX1BP1","5.126335","3.4523606"
"P62330","ARF6","5.3824797","3.2356598"
"P36873","PPP1CC","6.2657657","3.2186708"
"Q86UE8","TLK2","4.4597445","2.978179"
"Q15020","SART3","6.5232344","2.966807"
"Q8WY22","BRI3BP","7.5624285","2.9421713"
"Q7Z6M3","MILR1","5.0060806","2.901537"
"Q9ULV4","CORO1C","8.6309805","2.891349"
"Q9UNW9","NOVA2","5.7549763","2.6654932"
"P16615","ATP2A2","7.5005","2.6535752"
"Q13137","CALCOCO2","4.5625877","2.633653"
"Q96H20","SNF8","4.621795","2.6215446"
"Q96KN1","LRATD2","5.6376095","2.5998185"
"P30405","PPIF","7.38249","2.593192"
"Q14596","NBR1","4.152778","2.556883"
"Q8N2M8","CLASRP","3.806352","2.526608"
"Q969L2","MAL2","8.952447","2.4919438"
"O14936","CASK","4.8081584","2.4747906"
"Q6PL18","ATAD2","4.8223677","2.454766"
"Q96KC8","DNAJC1","5.1360054","2.4406574"
"Q16625","OCLN","5.283618","2.4251173"
"Q8IY37","DHX37","3.982624","2.4185903"
"Q96EY8","MMAB","6.5868597","2.393456"
"Q07157","TJP1","6.446675","2.3754807"
"Q96A33","CCDC47","6.099639","2.3752918"
"Q96EK6","GNPNAT1","5.0869627","2.370708"
"Q9Y487","ATP6V0A2","4.100438","2.3569698"
"Q9BXS4","TMEM59","3.8907988","2.3387127"
"P36406","TRIM23","4.15786","2.3316748"
"Q8IUX1","TMEM126B","3.8018024","2.3258"
"P34949","MPI","5.1599","2.3248575"
"Q86V21","AACS","4.150952","2.3232222"
"Q9Y287","ITM2B","5.5570364","2.2752364"
"Q9BW04","C1orf116","4.555638","2.2654257"
"Q96RT1","ERBIN","5.124228","2.258627"
"Q7L590","MCM10","4.992958","2.256416"
"Q15907","RAB11B","6.586494","2.2429767"
"Q13501","SQSTM1","7.5487804","2.2367234"
"O00592","PODXL","8.431784","2.230913"
"Q8NFJ5","GPRC5A","8.521624","2.222181"
"O43615","TIMM44","7.2312355","2.2191823"
"Q9NWY4","HPF1","3.865119","2.197728"
"Q10469","MGAT2","4.1430936","2.1724803"
"Q9Y6I9","TEX264","4.8414083","2.160444"
"E7ERA6","RNF223","3.6571321","2.1316361"
"Q15642","TRIP10","5.01505","2.1298587"
"Q96HE7","ERO1A","7.1951","2.1250842"
"Q8WTV0","SCARB1","5.8269444","2.122577"
"A6NHQ2","FBLL1","6.8069468","2.1204252"
"Q86U38","NOP9","4.475827","2.1194751"
"Q08345","DDR1","4.975744","2.112422"
"P17844","DDX5","8.584098","2.1104066"
"Q8NE71","ABCF1","6.02647","2.1050687"
"P60520","GABARAPL2","6.011247","2.1037183"
"Q8IY31","IFT20","2.5441594","2.0937219"
"Q9BUN8","DERL1","5.2980237","2.0818126"
"Q9BSJ5","MTNAP1","5.0668287","2.0594492"
"Q8N5K1","CISD2","6.512636","2.0403035"
"Q15070","OXA1L","5.6290865","2.0322073"
