"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q3ZCQ8","TIMM50","9.074358","6.1164355"
"Q9BU19","ZNF692","8.211295","5.4632277"
"O14802","POLR3A","4.519561","3.3199942"
"Q92544","TM9SF4","6.4498386","3.294962"
"Q99595","TIMM17A","4.7651324","3.2601252"
"Q9NPR2","SEMA4B","5.8095737","3.0326324"
"P84095","RHOG","6.2836204","2.86821"
"Q9BTE6","PTGES3L-AARSD1","5.7820997","2.8659866"
"Q9BTE6","AARSD1","5.7820997","2.8659866"
"A6NHQ2","FBLL1","7.301044","2.801964"
"O14925","TIMM23","4.77782","2.7974575"
"Q5TGZ0","MICOS10","6.3488636","2.6897578"
"Q3ZAQ7","VMA21","5.12614","2.6367834"
"P39060","COL18A1","6.826875","2.6293936"
"Q9NQT5","EXOSC3","4.545162","2.6113062"
"Q9BVJ6","UTP14A","5.306962","2.5815568"
"Q9NR30","DDX21","8.880286","2.5319984"
"Q9NP81","SARS2","6.266379","2.527863"
"O15235","MRPS12","5.1869235","2.519056"
"Q9NY27","PPP4R2","4.982007","2.508407"
"Q9UNQ0","ABCG2","5.762343","2.4979901"
"Q9H583","HEATR1","5.3839173","2.492944"
"Q15041","ARL6IP1","5.6721597","2.4928575"
"Q9BVG9","PTDSS2","4.6873174","2.4891474"
"P51398","DAP3","5.009377","2.4779112"
"Q15904","ATP6AP1","5.903029","2.4457765"
"Q9NWY4","HPF1","4.062179","2.4101593"
"Q8NI27","THOC2","4.349408","2.4038594"
"Q9Y6M5","SLC30A1","5.289904","2.4019427"
"Q15738","NSDHL","6.546767","2.3934975"
"Q8WVM0","TFB1M","4.432119","2.3852832"
"Q08431","MFGE8","5.9351935","2.3713453"
"P29317","EPHA2","7.238727","2.3508708"
"Q14669","TRIP12","4.2114463","2.3477373"
"P82914","MRPS15","4.6720066","2.345496"
"Q9Y584","TIMM22","3.8394","2.338787"
"Q5RI15","COX20","5.1909423","2.3302827"
"Q96CS3","FAF2","6.0831885","2.3273551"
"P50402","EMD","8.615277","2.3164237"
"P51809","VAMP7","5.077741","2.3120198"
"O00267","SUPT5H","5.3494706","2.3101444"
"Q5PRF9","SAMD4B","2.7619462","2.3004036"
"O15226","NKRF","4.8756485","2.2877731"
"Q8N7R7","CCNYL1","4.399637","2.2804863"
"Q9Y2Z4","YARS2","5.4727926","2.2762008"
"P22087","FBL","7.894293","2.262634"
"Q8N7H5","PAF1","4.441966","2.2587862"
"Q96A00","PPP1R14A","4.7540627","2.2544744"
"Q8IYT3","CCDC170","6.1119485","2.2381458"
"P05141","SLC25A5","10.020377","2.2364151"
"Q13206","DDX10","4.450629","2.234093"
"P33527","ABCC1","5.3385987","2.2049043"
"Q96A35","MRPL24","5.8870745","2.200242"
"Q86W42","THOC6","4.642727","2.164568"
"Q9H488","POFUT1","4.824691","2.1576731"
"Q6P9B9","INTS5","3.5508873","2.1568353"
"Q9BZE1","MRPL37","4.7575665","2.1465185"
"Q9Y2R9","MRPS7","4.8705273","2.144458"
"P15144","ANPEP","8.343392","2.135579"
"O75127","PTCD1","4.0432267","2.1309016"
"Q96HW7","INTS4","2.6379924","2.1205752"
"O76021","RSL1D1","8.440625","2.1183307"
"O75844","ZMPSTE24","6.337462","2.115681"
"P28370","SMARCA1","4.9333024","2.1124244"
"Q9H0S4","DDX47","6.033079","2.111068"
"Q9H936","SLC25A22","4.4093847","2.100387"
"Q96G23","CERS2","6.3379307","2.0969174"
"Q9UGP8","SEC63","4.9529786","2.0930114"
"Q9BQ39","DDX50","5.902582","2.0892599"
"Q5BJD5","TMEM41B","4.824486","2.088811"
"O96000","NDUFB10","7.4207106","2.087879"
"Q6TFL3","CCDC171","4.650391","2.0813272"
"Q86XI2","NCAPG2","3.4496467","2.0812564"
"Q8TCT9","HM13","5.122163","2.061485"
"Q9P015","MRPL15","5.1557055","2.0561483"
"Q9H8H0","NOL11","4.520454","2.0463133"
"O95831","AIFM1","7.4938335","2.041624"
"A4D1E9","GTPBP10","3.90994","2.0382552"
"P52948","NUP98","5.2755985","2.028407"
"P08123","COL1A2","10.183473","2.0147543"
"Q15061","WDR43","5.584259","2.0097096"
"O75787","ATP6AP2","5.0121784","2.0053337"
"Q8IUX1","TMEM126B","3.5190582","2.003172"
"Q13601","KRR1","5.526253","2.0023794"
"O14686","KMT2D","3.6745322","2.0020518"
"Q9H501","ESF1","4.299129","1.990561"
"P09001","MRPL3","3.988378","1.9901284"
"Q9NV31","IMP3","6.0924087","1.9887009"
"Q7L0Y3","TRMT10C","5.427902","1.971976"
"Q92552","MRPS27","5.302255","1.970436"
"O75477","ERLIN1","5.6519046","1.9684051"
"Q6UXV4","APOOL","4.0092125","1.9632834"
"Q9GZL7","WDR12","5.711868","1.9615593"
"Q9Y6M7","SLC4A7","5.3889923","1.9597266"
"P61026","RAB10","8.274265","1.9595349"
"Q8N766","EMC1","5.2675605","1.9494963"
"O94973","AP2A2","4.9168053","1.9462142"
"Q9BQE4","SELENOS","3.8856516","1.945439"
"P82673","MRPS35","4.622817","1.9364952"
"P32970","CD70","7.998352","1.9355139"
"Q99666","RGPD6","1.9477289","1.9305882"
"Q99666","RGPD5","1.9477289","1.9305882"
"Q96EY7","PTCD3","4.9795537","1.9304365"
"P78344","EIF4G2","5.229216","1.9287372"
"O15427","SLC16A3","4.5451765","1.9227576"
"Q9Y276","BCS1L","3.5310833","1.9134929"
"Q08174","PCDH1","4.753173","1.9115222"
"Q9H6R4","NOL6","5.102829","1.9054289"
"Q5T9A4","ATAD3B","5.6789722","1.9048723"
"P11388","TOP2A","7.3855724","1.9008262"
"Q13011","ECH1","9.301358","1.8934447"
"Q9NPL8","TIMMDC1","4.8680377","1.8890811"
"Q8NCD3","HJURP","2.9654744","1.8874092"
"P82933","MRPS9","5.1623206","1.8871788"
"Q9Y3L5","RAP2C","3.1596205","1.8870263"
"Q9Y6N1","COX11","3.4772727","1.8855724"
"Q8TED0","UTP15","3.9886737","1.8826468"
"P82930","MRPS34","5.4135065","1.8787242"
"Q9P1Y6","PHRF1","3.2370825","1.8721046"
"Q92979","EMG1","4.5666213","1.8705037"
"Q9NXX6","NSMCE4A","3.3623884","1.8678017"
"Q9H078","CLPB","4.9742055","1.8588294"
"Q13576","IQGAP2","5.9792633","1.8585715"
"Q9Y666","SLC12A7","4.0008817","1.8573151"
"Q9Y3D3","MRPS16","5.8278465","1.8532974"
"Q8IVL5","P3H2","5.470267","1.8532907"
"Q9NV06","DCAF13","4.3957467","1.8496392"
"Q9Y388","RBMX2","3.7199712","1.8463886"
"P52564","MAP2K6","6.825408","1.8389252"
"Q9BWS9","CHID1","4.5927835","1.8363428"
"Q9NQ50","MRPL40","5.177332","1.831997"
"P42892","ECE1","6.0340295","1.8222139"
"P02786","TFRC","9.381017","1.8178126"
"Q9NRX1","PNO1","4.3373003","1.8122033"
"Q9ULW0","TPX2","5.7051854","1.8104334"
"Q15070","OXA1L","5.482276","1.810254"
"Q9HD33","MRPL47","5.4228983","1.8097383"
"P48509","CD151","5.7235975","1.8081119"
"Q9Y5T4","DNAJC15","3.9142644","1.8051882"
"P38919","EIF4A3","8.149261","1.803547"
"A4FU01","MTMR11","6.027388","1.8007836"
"Q96GC5","MRPL48","4.5417123","1.7999789"
"P42285","MTREX","5.39505","1.7982732"
"Q9NX14","NDUFB11","7.7892723","1.7976953"
"Q8IY18","SMC5","3.3333457","1.7938278"
"Q9UNL2","SSR3","5.0588994","1.7858706"
"Q9NQC3","RTN4","9.287157","1.7794831"
"P45880","VDAC2","10.067751","1.774695"
"Q8WUD1","RAB2B","3.1838322","1.772215"
"Q969X6","UTP4","4.867249","1.7713624"
"Q7Z2W9","MRPL21","5.5155115","1.769792"
"Q9NXW2","DNAJB12","3.9448102","1.7600139"
"Q9ULW3","ABT1","4.1399183","1.7584891"
"O95373","IPO7","6.2503242","1.7575747"
"Q9NVH1","DNAJC11","6.130976","1.7544854"
"Q12996","CSTF3","4.1601853","1.7541049"
"P13995","MTHFD2","7.5926156","1.7514336"
"Q15014","MORF4L2","5.454554","1.7509158"
"Q9NPA0","EMC7","6.1970134","1.7496542"
"O43707","ACTN4","8.988585","1.7496434"
