"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q16831","UPP1","6.689842","2.8292296"
"O76031","CLPX","5.8785114","2.8209064"
"Q9NVN8","GNL3L","4.488347","2.7540576"
"Q6PD74","AAGAB","4.784","2.6859925"
"P46087","NOP2","7.359992","2.6434548"
"Q9NW13","RBM28","5.576353","2.4579554"
"O00559","EBAG9","5.441343","2.4202394"
"Q9Y5S9","RBM8A","6.607493","2.4186676"
"Q6P1N9","TATDN1","4.462977","2.3984768"
"Q96RS6","NUDCD1","5.0446587","2.3616087"
"Q9BVJ6","UTP14A","5.1372166","2.2884152"
"Q8NFH5","NUP35","5.969977","2.2297223"
"Q13601","KRR1","5.6494646","2.2186153"
"P18583","SON","6.6864467","2.2053487"
"Q9Y5J1","UTP18","5.6873364","2.1959867"
"Q5C9Z4","NOM1","3.884583","2.1727502"
"Q92879","CELF1","6.2053123","2.1593814"
"Q86UP2","KTN1","7.7716827","2.1527905"
"Q8TF68","ZNF384","3.8592267","2.133449"
"Q07666","KHDRBS1","8.050849","2.12913"
"P10646","TFPI","4.6562185","2.0921671"
"Q5UIP0","RIF1","4.8142037","2.0643756"
"Q99622","C12orf57","4.8460565","2.056892"
"Q9UL63","MKLN1","2.658178","2.04055"
"Q99459","CDC5L","6.627264","2.0083344"
"Q8NDF8","TENT4B","3.4276392","1.9772629"
"Q14684","RRP1B","5.989773","1.9644625"
"O95817","BAG3","5.9318414","1.9547355"
"Q9Y6M7","SLC4A7","5.3762684","1.9487563"
"Q9H306","MMP27","6.479546","1.9071982"
"P17096","HMGA1","7.0874467","1.9068499"
"Q16222","UAP1","5.8744025","1.9049051"
"Q12981","BNIP1","4.7532153","1.8999778"
"Q9BV38","WDR18","5.8815246","1.899893"
"P57721","PCBP3","4.3780265","1.8984765"
"Q13428","TCOF1","6.611313","1.8974692"
"Q13427","PPIG","4.4814563","1.8903983"
"Q96C01","FAM136A","6.2811046","1.8899504"
"Q13610","PWP1","5.743904","1.8827224"
"Q13123","IK","5.6629767","1.850341"
"P28290","ITPRID2","5.2512417","1.802004"
"Q15024","EXOSC7","4.3043165","1.7920705"
"Q9NY93","DDX56","4.9649506","1.7895873"
"O75691","UTP20","4.0711613","1.7888802"
"Q96I25","RBM17","5.01592","1.7756622"
"Q9UIG0","BAZ1B","5.9095373","1.775119"
"A0A1B0GV03","GOLGA6L7","6.200881","1.7742293"
"Q8WWQ0","PHIP","4.6313314","1.7722104"
"Q6RFH5","WDR74","4.876008","1.7708286"
"O75394","MRPL33","3.6661031","1.7696446"
"Q53F19","NCBP3","4.2544856","1.7652992"
"Q9BYC8","MRPL32","3.28377","1.7648547"
"A9QM74","KPNA7","6.5409904","1.7478927"
"P42285","MTREX","5.3729167","1.7474984"
"Q9NPH2","ISYNA1","6.525289","1.7388535"
"Q8TF01","PNISR","3.9710777","1.7367268"
"Q9BQ39","DDX50","5.6846876","1.7279184"
"P55769","SNU13","7.659957","1.7182295"
"Q8WW01","TSEN15","2.277392","1.7162424"
"Q9BYD6","MRPL1","5.489358","1.7145793"
"Q9Y2Z4","YARS2","5.079635","1.7088813"
