"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q5QJE6","DNTTIP2","5.9445486","2.9238288"
"Q9NSA3","CTNNBIP1","5.191365","2.9106877"
"Q8N9Z2","CCDC71L","4.4782605","2.8463438"
"P61225","RAP2B","5.727205","2.7643232"
"O00194","RAB27B","7.1062336","2.7082515"
"Q9Y221","NIP7","5.9879274","2.5956075"
"Q9BV23","ABHD6","5.6122174","2.5732656"
"P17405","SMPD1","5.6187153","2.573049"
"Q9P278","FNIP2","4.037069","2.5728004"
"Q9H0S4","DDX47","6.3403735","2.534212"
"P53701","HCCS","5.370398","2.506078"
"Q14669","TRIP12","4.2957544","2.50262"
"Q9BVP2","GNL3","6.2757907","2.4705348"
"P46087","NOP2","7.243492","2.4692888"
"Q9Y3B2","EXOSC1","4.232176","2.4597075"
"Q9H306","MMP27","6.990565","2.4301798"
"P11387","TOP1","7.3675904","2.4275987"
"Q96TA2","YME1L1","5.045645","2.4215393"
"O75400","PRPF40A","5.664271","2.4052331"
"Q9UHV7","MED13","3.70489","2.3819814"
"P56182","RRP1","6.1049333","2.3766916"
"Q69YL0","NCBP2AS2","4.5887213","2.3760815"
"Q9BQG0","MYBBP1A","6.632642","2.375163"
"Q14684","RRP1B","6.243476","2.3738036"
"Q15070","OXA1L","5.842674","2.355106"
"Q9HC36","MRM3","4.3560696","2.353649"
"Q96DI7","SNRNP40","5.111491","2.3261309"
"Q9NW13","RBM28","5.4936924","2.3050938"
"Q9NX14","NDUFB11","8.110965","2.3023658"
"Q9Y3C1","NOP16","7.0522194","2.3009262"
"Q9H501","ESF1","4.4732356","2.2863817"
"Q96QD8","SLC38A2","4.8740325","2.2778895"
"Q8N183","NDUFAF2","5.8712807","2.2713208"
"P35232","PHB1","10.417662","2.2597103"
"Q5C9Z4","NOM1","3.9471405","2.2514582"
"Q15061","WDR43","5.7084503","2.2204196"
"O75616","ERAL1","5.2337356","2.2117085"
"Q8WYP5","AHCTF1","4.6658325","2.2039316"
"Q15773","MLF2","5.2487845","2.1944282"
"Q01780","EXOSC10","4.94786","2.1589088"
"Q9UMY1","NOL7","5.8812547","2.1571772"
"O95407","TNFRSF6B","4.406276","2.1522758"
"Q8IZL8","PELP1","5.647828","2.115219"
"O43169","CYB5B","7.558823","2.104514"
"Q5T3I0","GPATCH4","5.0071483","2.0831752"
"Q14249","ENDOG","4.9306","2.08272"
"Q9Y5J1","UTP18","5.6231747","2.0814137"
"O00592","PODXL","8.134683","2.0651762"
"Q9UJV9","DDX41","4.1101074","2.0618627"
"Q9BVJ6","UTP14A","5.0051255","2.0602953"
"Q99623","PHB2","9.131801","2.0557976"
"Q8NEJ9","NGDN","5.048936","2.0535345"
"Q9H9J2","MRPL44","5.028078","2.0511558"
"O00566","MPHOSPH10","4.9924965","2.0382073"
"A6NHR9","SMCHD1","4.843274","2.0351093"
"Q07002","CDK18","4.909931","2.032028"
"Q96IX5","ATP5MK","6.7421765","2.0219145"
"Q9Y4W6","AFG3L2","7.186798","2.0169017"
"O75683","SURF6","5.3852663","2.002402"
"P19338","NCL","10.704222","1.9993415"
"P22087","FBL","7.7699227","1.9975168"
"Q9BV38","WDR18","5.931339","1.9953146"
"Q13610","PWP1","5.802047","1.9885237"
"P49756","RBM25","6.0373516","1.9778595"
"Q13206","DDX10","4.309821","1.9775072"
"O43818","RRP9","6.01326","1.9750801"
"Q13823","GNL2","4.6290665","1.9672918"
"Q96K76","USP47","3.6909313","1.9671257"
"O43172","PRPF4","5.8113613","1.9612684"
"Q5RKV6","EXOSC6","5.642555","1.9605951"
"O95831","AIFM1","7.436806","1.9540948"
"Q9H5Q4","TFB2M","4.8740315","1.9476167"
"P46013","MKI67","6.962027","1.9440254"
"Q9NQZ2","UTP3","5.1303673","1.9314797"
"Q9BYD2","MRPL9","4.3965254","1.927494"
"Q99595","TIMM17A","3.7567728","1.9273428"
"Q5T280","SPOUT1","5.0049214","1.9236007"
"P49406","MRPL19","6.161332","1.923204"
"P26599","PTBP1","8.163759","1.9130225"
"Q5T9A4","ATAD3B","5.6805897","1.9072682"
"Q9NR30","DDX21","8.418244","1.9055483"
"O15213","WDR46","4.8321667","1.9002917"
"Q8NI36","WDR36","5.978325","1.8895974"
"Q9BU61","NDUFAF3","4.8912086","1.8876973"
"Q9NX58","LYAR","6.11489","1.8874601"
"Q15029","EFTUD2","6.6270866","1.8850539"
"Q9Y3B9","RRP15","5.299806","1.8814245"
"P42696","RBM34","4.621838","1.8707527"
"Q9GZL7","WDR12","5.664128","1.8676778"
"P06748","NPM1","11.920017","1.8554081"
"O43615","TIMM44","7.052702","1.8550612"
"Q99547","MPHOSPH6","4.0373693","1.8520834"
"O00541","PES1","6.1417203","1.8491509"
"Q9NQT4","EXOSC5","4.8970594","1.8463016"
"Q9Y4W2","LAS1L","4.1098666","1.8461447"
"Q13868","EXOSC2","4.9792905","1.844152"
"Q3ZCQ8","TIMM50","6.4238076","1.8421324"
"Q9NQ55","PPAN","4.091113","1.8289253"
"Q9Y2Z2","MTO1","3.2548003","1.8234569"
"Q9Y6M7","SLC4A7","5.2265453","1.8196316"
"P98175","RBM10","4.976936","1.814371"
"Q9Y2S7","POLDIP2","5.451053","1.8141872"
"Q16629","SRSF7","9.012273","1.8141446"
"P38571","LIPA","4.5268164","1.8139322"
"Q9BRJ2","MRPL45","5.3663025","1.8115644"
"O96008","TOMM40","5.769129","1.8093182"
"Q5TGZ0","MICOS10","5.7857203","1.8086166"
"Q10713","PMPCA","6.0311656","1.8078678"
"Q8NFH5","NUP35","5.747385","1.8026614"
"Q9HBH1","PDF","4.853893","1.796197"
"Q9NPD3","EXOSC4","5.5447145","1.7942512"
"P07910","HNRNPC","11.356211","1.7919765"
"Q8N5N7","MRPL50","6.583621","1.7901704"
"Q9ULW3","ABT1","4.1573577","1.7857249"
"O95171","SCEL","4.6956224","1.7830948"
"Q8WWC4","MAIP1","4.734011","1.7796029"
"O95365","ZBTB7A","3.1866004","1.768538"
"Q9Y2W1","THRAP3","6.2947083","1.7667898"
"Q06265","EXOSC9","4.4496155","1.7616656"
"Q9NY93","DDX56","4.9467034","1.7602443"
"Q8N983","MRPL43","6.101495","1.7591227"
"Q92879","CELF1","5.969233","1.7579637"
"Q15717","ELAVL1","8.525932","1.7568369"
"Q9NWU5","MRPL22","4.728558","1.7564266"
"Q969X6","UTP4","4.8567195","1.7540004"
"Q13148","TARDBP","6.4134545","1.7534658"
"P61964","WDR5","4.403182","1.742046"
"Q9UJZ1","STOML2","7.9112196","1.7384256"
"P51825","AFF1","3.051783","1.7357386"
"Q13084","MRPL28","4.736537","1.7355249"
"Q96I25","RBM17","4.999445","1.7354801"
"Q4VCS5","AMOT","6.3401628","1.7292147"
"Q13595","TRA2A","5.9836235","1.727742"
"Q9Y324","FCF1","3.1590583","1.7243936"
"Q8IYS0","GRAMD1C","5.4388337","1.724258"
"O15446","POLR1G","5.6370945","1.7231331"
"Q16891","IMMT","7.9088507","1.7188755"
"Q9Y2Z4","YARS2","5.0858955","1.7179146"
"Q9C004","SPRY4","5.2367706","1.7136574"
"Q9NY61","AATF","4.720091","1.7130293"
"Q9BQ75","CMSS1","4.0195193","1.7105573"
"Q9GZR2","REXO4","4.2786016","1.6994793"
"O15042","U2SURP","7.095348","1.695591"
"P82932","MRPS6","5.6397543","1.6950203"
"P18583","SON","6.4715548","1.6918668"
"Q8IYB8","SUPV3L1","4.0415053","1.686857"
"Q9H4I3","TRABD","4.5236526","1.686338"
"Q8TED0","UTP15","3.874161","1.6834966"
"Q68DC2","ANKS6","5.258377","1.6750374"
"Q9GZS1","POLR1E","4.433597","1.6727982"
"Q6P1L8","MRPL14","3.8453906","1.671628"
"P12236","SLC25A6","8.582314","1.6713922"
"Q9NVR2","INTS10","2.6577654","1.6694957"
"Q9ULF5","SLC39A10","5.105177","1.6694362"
"P48047","ATP5PO","8.969665","1.6688027"
"O00186","STXBP3","4.2071767","1.6665581"
"Q9Y3D7","PAM16","5.8693867","1.6618979"
"Q15063","POSTN","7.113247","1.658428"
"Q13243","SRSF5","4.593163","1.6583561"
"Q6RFH5","WDR74","4.8067646","1.6565846"
