"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9UQ53","MGAT4B","5.0218015","3.3782012"
"Q9NPI6","DCP1A","5.0274353","3.1195614"
"P53675","CLTCL1","4.3750367","3.0800583"
"P49116","NR2C2","4.9200635","2.9816103"
"Q9UI26","IPO11","4.9034657","2.916506"
"P00750","PLAT","6.374993","2.9114647"
"Q5XXA6","ANO1","6.774079","2.8606539"
"Q08174","PCDH1","5.6047444","2.8054643"
"Q86VP1","TAX1BP1","4.533985","2.7787647"
"Q9H6X2","ANTXR1","4.8467436","2.7548594"
"Q8N1N4","KRT78","5.94655","2.6535096"
"P18031","PTPN1","6.8142905","2.6476502"
"O15270","SPTLC2","5.129204","2.600727"
"Q9ULE3","DENND2A","5.831394","2.4966168"
"P28290","ITPRID2","5.925743","2.4960203"
"Q70Z53","FRA10AC1","4.102936","2.470141"
"P17096","HMGA1","7.666244","2.465892"
"P07339","CTSD","10.693473","2.398358"
"Q8TED4","SLC37A2","5.3655252","2.370251"
"Q9BXS4","TMEM59","3.9229884","2.3679848"
"Q9Y5Y6","ST14","5.726952","2.367978"
"O75530","EED","3.6619802","2.346489"
"O15020","SPTBN2","5.5900354","2.3455088"
"Q7Z4F1","LRP10","5.5268965","2.3294883"
"P21980","TGM2","9.896468","2.329347"
"Q6ZS17","RIPOR1","5.3091574","2.2664435"
"P30838","ALDH3A1","9.460069","2.2582166"
"Q9HAS0","C17orf75","2.7349062","2.2551126"
"Q9UNE0","EDAR","4.4440737","2.2436967"
"Q9ULV3","CIZ1","4.2513375","2.2383275"
"O15258","RER1","4.233442","2.2294989"
"Q9UKU7","ACAD8","4.3358445","2.219243"
"Q92520","FAM3C","6.347032","2.213149"
"Q96BM9","ARL8A","5.457122","2.2053409"
"Q9NQT5","EXOSC3","4.245305","2.2006035"
"P43897","TSFM","5.155809","2.1960976"
"P62330","ARF6","4.5624423","2.1858022"
"O75093","SLIT1","6.2468634","2.1805594"
"A9YTQ3","AHRR","4.7794294","2.165909"
"Q92544","TM9SF4","5.5232644","2.1604877"
"Q9Y587","AP4S1","2.2900045","2.1351354"
"O14497","ARID1A","4.8992767","2.115706"
"Q9BPW9","DHRS9","7.2839584","2.1046894"
"Q96QD8","SLC38A2","4.653036","2.0976548"
