"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P38571","LIPA","5.59216","3.0250728"
"Q9BXS4","TMEM59","4.41473","2.8151507"
"Q9NUJ1","ABHD10","7.3919883","2.6899507"
"O15269","SPTLC1","7.794192","2.6841617"
"P61313","RPL15","8.276378","2.658835"
"Q9Y6C9","MTCH2","7.286461","2.6054316"
"Q15041","ARL6IP1","5.7296286","2.5724459"
"Q9BZF1","OSBPL8","5.1581173","2.5488143"
"P61009","SPCS3","7.319788","2.533222"
"Q96RL7","VPS13A","3.6683953","2.5199006"
"P04114","APOB","5.5647707","2.4936175"
"Q8IXB1","DNAJC10","4.69485","2.4731052"
"Q9H3K2","GHITM","4.915851","2.463818"
"Q9P0J1","PDP1","5.5126853","2.455558"
"Q96RT1","ERBIN","5.269284","2.4516"
"Q9HA77","CARS2","5.166223","2.4449487"
"Q15907","RAB11B","6.6899014","2.4051607"
"Q00610","CLTC","8.552786","2.4021578"
"Q9NR31","SAR1A","5.3785195","2.396887"
"Q8TED0","UTP15","4.2708654","2.373435"
"P62244","RPS15A","8.518864","2.3460166"
"Q8IUH4","ZDHHC13","4.0941887","2.3326015"
"Q9NVP1","DDX18","6.0026155","2.3294344"
"Q9HD45","TM9SF3","6.091683","2.3204262"
"Q9H583","HEATR1","5.252476","2.2903652"
"Q8NC42","RNF149","4.5018706","2.2901824"
"O96008","TOMM40","6.059037","2.2737007"
"P17693","HLA-G","8.844487","2.2723768"
"Q8NHG7","SVIP","4.8630815","2.2469661"
"P46781","RPS9","8.319971","2.2145958"
"Q8WUK0","PTPMT1","4.838747","2.2067904"
"Q96DB5","RMDN1","4.7059937","2.203449"
"Q02543","RPL18A","6.8346915","2.198901"
"P36578","RPL4","8.444324","2.1942213"
"Q96QD8","SLC38A2","4.7534275","2.1795306"
"Q9H330","TMEM245","4.5757475","2.1699958"
"Q7Z4G4","TRMT11","2.814709","2.1527293"
"P17096","HMGA1","7.316002","2.1276019"
"O43148","RNMT","4.916028","2.1120439"
"P61019","RAB2A","6.822069","2.0942283"
"P78527","PRKDC","7.3897376","2.0930676"
"Q9H9P8","L2HGDH","4.6054735","2.0903838"
"P42704","LRPPRC","9.018921","2.0829446"
"Q9H4A6","GOLPH3","3.7898073","2.0725932"
"O00592","PODXL","8.133755","2.0646574"
"O75923","DYSF","5.491841","2.0638883"
"P78559","MAP1A","5.7610106","2.0627224"
"P18077","RPL35A","6.954044","2.0614488"
"Q6NUK1","SLC25A24","8.713714","2.0417259"
"O75127","PTCD1","3.9839158","2.0399702"
"Q07157","TJP1","6.1843777","2.0358453"
"Q9NZB2","FAM120A","5.808389","2.0314744"
"P05141","SLC25A5","9.861058","2.0258794"
"Q96CM8","ACSF2","5.186856","2.0234149"
"Q9P035","HACD3","6.1929636","2.018379"
"Q02127","DHODH","4.25018","2.0077384"
"P01889","HLA-B","8.36512","2.0065813"
"Q9NSE4","IARS2","6.361829","2.0039248"
"Q15434","RBMS2","4.463192","1.9950386"
"Q9Y2Z4","YARS2","5.2695312","1.9828945"
"Q9H845","ACAD9","5.738014","1.9801116"
"P57088","TMEM33","4.863715","1.9785613"
"P62277","RPS13","9.148584","1.9747677"
"Q06481","APLP2","4.33414","1.9729859"
"Q02878","RPL6","9.710294","1.9695418"
"Q8N3U4","STAG2","3.6453145","1.9544697"
"P49411","TUFM","9.729203","1.9509367"
"Q8NBN3","TMEM87A","3.6365933","1.9504095"
"P40429","RPL13A","4.9006333","1.9493462"
"Q16850","CYP51A1","4.7690115","1.9473858"
"Q9Y394","DHRS7","6.2895336","1.9433689"
"P36873","PPP1CC","5.442108","1.9424087"
"Q96CS3","FAF2","5.808931","1.9261153"
"O15270","SPTLC2","4.636554","1.9226898"
"P55061","TMBIM6","3.3797193","1.9196041"
"P84085","ARF5","4.6914353","1.9158841"
"P30048","PRDX3","10.285797","1.9077355"
"Q92621","NUP205","4.483314","1.903534"
"Q7Z434","MAVS","4.799539","1.8990394"
"Q9Y512","SAMM50","4.8896537","1.8946353"
"Q8NBX0","SCCPDH","6.964689","1.8934776"
"P61353","RPL27","7.737506","1.8911257"
"Q6P9B6","MEAK7","4.419504","1.8906188"
"Q9H0A0","NAT10","6.1661797","1.8806328"
"P39023","RPL3","7.6165047","1.8794075"
"P67812","SEC11A","4.4421496","1.8752475"
"Q8IZR5","CMTM4","2.922017","1.8687792"
"P55786","NPEPPS","6.027627","1.8669971"
"Q15363","TMED2","4.345907","1.8626084"
"Q9BUN8","DERL1","5.106832","1.862084"
"Q9NUQ2","AGPAT5","4.0607915","1.8588899"
"Q8WVT3","TRAPPC12","3.35456","1.8572419"
"O43291","SPINT2","7.176421","1.8551621"
"Q9H8P0","SRD5A3","2.4997177","1.8521662"
"P19784","CSNK2A2","5.1327796","1.8446143"
"Q8N442","GUF1","3.231863","1.8443189"
"P18124","RPL7","8.516219","1.8442297"
"P62280","RPS11","7.2334633","1.8331745"
"Q8WWC4","MAIP1","4.768828","1.8323376"
"Q96C57","C12orf43","3.472202","1.8310107"
"P46783","RPS10","8.518538","1.8292388"
"Q9BW27","NUP85","3.8821564","1.8273922"
"P46977","STT3A","5.5697093","1.8268976"
"O00560","SDCBP","5.1211095","1.8266771"
"O43493","TGOLN2","5.0740123","1.8234288"
"Q6ZMG9","CERS6","4.0602975","1.8199826"
"Q13492","PICALM","5.615197","1.8139099"
"P50750","CDK9","3.4219866","1.8093138"
"Q96RQ1","ERGIC2","4.0149245","1.7947928"
"Q12769","NUP160","3.7643754","1.7947489"
"O00186","STXBP3","4.2952237","1.7919555"
"Q8TCG2","PI4K2B","2.5803254","1.7909434"
"P36406","TRIM23","3.5779219","1.7901173"
"Q6DD88","ATL3","6.7537885","1.7868432"
"Q96I24","FUBP3","6.8059487","1.7853986"
"Q9UKN7","MYO15A","4.6446857","1.7845519"
"Q15046","KARS1","6.304311","1.7845128"
