"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9H5H4","ZNF768","7.4234095","6.388905"
"Q9BXJ9","NAA15","8.61084","4.9218097"
"A5D8V6","VPS37C","7.766789","3.9305398"
"Q96T76","MMS19","6.268988","3.7427607"
"Q9Y2Z4","YARS2","5.9133162","2.91189"
"Q9Y673","ALG5","5.0124893","2.7252495"
"Q96RR4","CAMKK2","5.3126945","2.7170873"
"P50570","DNM2","6.1459455","2.716527"
"Q8N183","NDUFAF2","6.1677504","2.6922498"
"Q53GQ0","HSD17B12","6.8269253","2.6501315"
"P54577","YARS1","7.8806596","2.5267868"
"O00330","PDHX","6.5336633","2.5169265"
"Q9NRG1","PRTFDC1","5.7441473","2.501588"
"Q86WJ1","CHD1L","4.5946927","2.498558"
"Q8TC07","TBC1D15","5.592669","2.487232"
"Q15125","EBP","3.4797182","2.4068456"
"Q86TS9","MRPL52","4.952316","2.3811338"
"Q9ULD0","OGDHL","6.7138042","2.358929"
"P35232","PHB1","10.464123","2.3445995"
"P28290","ITPRID2","5.737302","2.3021278"
"Q96BP2","CHCHD1","3.9643083","2.3020322"
"P01034","CST3","5.5669446","2.3018072"
"Q8IUR7","ARMC8","5.1103764","2.2870412"
"Q9Y584","TIMM22","3.7792509","2.2738197"
"Q9UBM7","DHCR7","6.192125","2.2568338"
"P10620","MGST1","6.442945","2.246046"
"Q9Y291","MRPS33","5.316811","2.2246842"
"Q9BQ04","RBM4B","3.248431","2.2082057"
"Q96G03","PGM2","4.894553","2.202607"
"Q8N1G0","ZNF687","3.6760507","2.197041"
"Q15599","NHERF2","6.0581436","2.1932225"
"Q15080","NCF4","5.4567437","2.183807"
"Q9HB66","MKKS","4.7710366","2.1483552"
"Q9NPJ3","ACOT13","7.4826665","2.139775"
"P57088","TMEM33","4.9977965","2.1247165"
"Q96C36","PYCR2","5.951216","2.1245658"
"Q9UJ83","HACL1","4.083095","2.1118782"
"Q9P2R7","SUCLA2","7.079186","2.1072502"
"Q9HAV7","GRPEL1","7.7466645","2.1017222"
"P46821","MAP1B","7.778762","2.0945773"
"Q9Y2R5","MRPS17","5.9592447","2.075447"
"Q8WUU4","ZNF296","6.002962","2.0421631"
"Q99623","PHB2","9.12019","2.038793"
"A3KMH1","VWA8","4.403066","2.0197532"
"Q9BQC6","MRPL57","4.893696","2.0062616"
"Q9UFC0","LRWD1","4.0352764","2.0059595"
"P00846","MT-ATP6","4.7046824","2.0023093"
"Q86SX6","GLRX5","6.0975065","1.996634"
"Q92817","EVPL","5.821274","1.9825671"
"Q99797","MIPEP","4.8057756","1.9757633"
"P05166","PCCB","5.0826626","1.9623218"
"P16104","H2AX","6.4148984","1.962197"
"Q9NRG7","SDR39U1","3.0926213","1.9573292"
"O60281","ZNF292","4.8892426","1.9572804"
"Q99735","MGST2","4.844637","1.9569106"
