"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P37235","HPCAL1","6.247201","3.1711214"
"Q9H501","ESF1","4.9443455","3.0868187"
"Q96BR5","COA7","5.2234297","2.9951627"
"Q9NV56","MRGBP","5.5843797","2.9263556"
"Q9P287","BCCIP","6.1049023","2.8404238"
"Q96IR7","HPDL","7.378182","2.7199957"
"P82673","MRPS35","4.937898","2.5502937"
"Q8TCS8","PNPT1","7.1410866","2.4748144"
"P01033","TIMP1","5.425713","2.468922"
"P60604","UBE2G2","5.3284597","2.4622653"
"P52789","HK2","5.7318463","2.43461"
"O00566","MPHOSPH10","5.1949363","2.4325793"
"Q14978","NOLC1","8.7778635","2.4051504"
"O95793","STAU1","6.876556","2.3988037"
"Q13206","DDX10","4.5248327","2.369301"
"Q8IWI9","MGA","2.3630364","2.2948391"
"P42704","LRPPRC","9.150184","2.2830174"
"Q9GZR2","REXO4","4.6120987","2.2141407"
"Q9Y5J1","UTP18","5.683683","2.189452"
"Q9BVP2","GNL3","6.0985813","2.181232"
"Q5QJE6","DNTTIP2","5.5496135","2.180762"
"Q9GZT3","SLIRP","9.160191","2.17135"
"O75607","NPM3","6.009538","2.151821"
"P17844","DDX5","8.601195","2.1433532"
"Q5JTH9","RRP12","6.314414","2.1404464"
"O43447","PPIH","5.9815993","2.12518"
"Q9Y6M5","SLC30A1","4.9950237","2.1241708"
"Q9Y5S9","RBM8A","6.503305","2.1233206"
"Q6DJT9","PLAG1","7.4757085","2.1166303"
"Q8WUM9","SLC20A1","3.934178","2.1148703"
"P19338","NCL","10.750468","2.1000886"
"Q9GZN8","ADISSP","5.6034513","2.0748463"
"Q9NX05","FAM120C","4.5043073","2.0622668"
"Q9BVJ6","UTP14A","5.005462","2.0608654"
"P19256","CD58","5.1903543","2.057849"
"O76031","CLPX","5.517951","2.053035"
"Q6RFH5","WDR74","5.040058","2.0414672"
"O00541","PES1","6.245142","2.040667"
"Q9HAV7","GRPEL1","7.706077","2.03865"
"O76003","GLRX3","7.0269623","2.0170617"
"Q9NUQ6","SPATS2L","5.5910544","2.0150037"
"Q8NBU5","ATAD1","5.0194793","2.0086615"
"P11387","TOP1","7.1288815","2.0085564"
"Q9Y3E5","PTRH2","5.5095077","2.003892"
"Q12894","IFRD2","3.191109","2.0034454"
"Q9H8H0","NOL11","4.494122","1.998053"
"Q8WXI7","MUC16","6.4377956","1.9899396"
"Q6NSI4","RADX","6.074197","1.989014"
"Q8NI36","WDR36","6.036782","1.986571"
"P13995","MTHFD2","7.7883377","1.9861475"
"P82650","MRPS22","5.1613874","1.9854716"
