"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P10746","UROS","5.9913673","4.4190664"
"Q8NEZ5","FBXO22","5.584219","3.7614841"
"P08842","STS","7.520746","3.571148"
"O00442","RTCA","5.9578166","3.5082734"
"Q96QD8","SLC38A2","5.5356274","2.817476"
"O43324","EEF1E1","5.7181053","2.7735534"
"Q9UDY4","DNAJB4","5.90791","2.7538223"
"Q9BPW9","DHRS9","8.47583","2.7490554"
"P02549","SPTA1","4.67813","2.5640898"
"P23229","ITGA6","9.393126","2.5499403"
"Q92575","UBXN4","6.147862","2.5459251"
"P55287","CDH11","5.696119","2.5112193"
"O00592","PODXL","8.9100275","2.4977038"
"Q15326","ZMYND11","3.729358","2.4938705"
"Q03519","TAP2","6.26649","2.462292"
"P04350","TUBB4A","6.102122","2.4442189"
"Q9P2R7","SUCLA2","7.2446585","2.3409185"
"P01893","HLA-H","5.7857857","2.3016722"
"Q68DQ2","CRYBG3","6.0271153","2.2913"
"Q8WXH0","SYNE2","4.96241","2.2826967"
"Q53F39","MPPE1","4.7245684","2.2821352"
"O43615","TIMM44","7.258738","2.2752666"
"Q96S97","MYADM","3.8156626","2.2588346"
"Q03518","TAP1","6.8301783","2.2518756"
"P51970","NDUFA8","5.353482","2.2476335"
"Q3V6T2","CCDC88A","3.7471857","2.2472153"
"P16144","ITGB4","9.19394","2.2464063"
"Q92934","BAD","4.2283216","2.2142367"
"Q5XXA6","ANO1","5.914942","2.2085218"
"Q8IYJ3","SYTL1","4.929225","2.2037957"
"Q9GZN6","SLC6A16","4.878526","2.1860874"
"Q9H0E3","SAP130","4.554849","2.1789107"
"Q99798","ACO2","7.8680887","2.1512566"
"Q6ZNA5","FRRS1","5.474449","2.1228833"
"Q8IY31","IFT20","2.5562005","2.1099238"
"P54687","BCAT1","6.964062","2.094535"
"Q9BRX8","PRXL2A","5.185094","2.0814877"
"O95171","SCEL","4.923649","2.0742738"
"Q9Y6B6","SAR1B","5.1775236","2.0721352"
"P49848","TAF6","2.4838424","2.0715032"
"Q14678","KANK1","6.2690907","2.0701747"
"Q9BVC4","MLST8","3.2840807","2.0551"
"P17568","NDUFB7","5.238979","2.0509906"
"P18858","LIG1","5.1559315","2.0292273"
"P13647","KRT5","11.206431","2.0227396"
"Q8TD43","TRPM4","5.153836","2.0076754"
"Q8IZA0","KIAA0319L","4.0712485","2.0031974"
"Q5ST30","VARS2","3.0761025","1.9885678"
"Q99943","AGPAT1","3.8906655","1.988293"
"Q16822","PCK2","7.291428","1.9847804"
"Q96AB3","ISOC2","5.998119","1.9816598"
"O43181","NDUFS4","5.3656197","1.9781002"
"Q9NUQ7","UFSP2","3.116511","1.9701"
"Q96BP2","CHCHD1","3.726309","1.9601406"
"Q9ULE3","DENND2A","5.3046503","1.9426426"
"O94832","MYO1D","5.4187703","1.9235951"
"P98172","EFNB1","5.265089","1.9228177"
"P22570","FDXR","7.1297607","1.912918"
"Q2VPK5","CTU2","3.25734","1.9023833"
"Q9UMD9","COL17A1","7.4046035","1.8996227"
"O00483","NDUFA4","7.097698","1.8982474"
"Q02218","OGDH","6.83994","1.8973156"
"P30519","HMOX2","6.5798755","1.8866475"
"P36957","DLST","9.347024","1.8776244"
"Q5JRX3","PITRM1","6.248928","1.8744333"
"P12074","COX6A1","3.9681432","1.8736771"
"Q96JY6","PDLIM2","4.3528295","1.8697191"
"P50151","GNG10","5.068543","1.8675343"
"Q15286","RAB35","5.31592","1.8486854"
"O60437","PPL","6.954684","1.8465381"
"P21912","SDHB","7.589265","1.8442764"
"Q8IY17","PNPLA6","4.5612793","1.841365"
"P53597","SUCLG1","6.8700986","1.8395265"
"Q49AH0","CDNF","6.5641007","1.8251522"
"O75976","CPD","6.258027","1.8250673"
"Q2NL82","TSR1","4.5122924","1.8238778"
"P19784","CSNK2A2","5.1184587","1.813729"
"Q9Y5X1","SNX9","4.2484593","1.8066198"
"O43707","ACTN4","9.051754","1.8056514"
"O95182","NDUFA7","5.454839","1.8003241"
"P14138","EDN3","5.6375165","1.7963138"
"P11498","PC","6.311177","1.796119"
"Q8TBA6","GOLGA5","4.6361103","1.7890359"
"Q9H4L5","OSBPL3","3.891907","1.7886243"
"Q86U90","YRDC","4.395266","1.7864999"
"Q14210","LY6D","7.267423","1.7758391"
"O15231","ZNF185","6.310437","1.775199"
"Q10469","MGAT2","3.8198032","1.7726454"
"Q8IXM6","NRM","3.6355553","1.7724974"
"Q99828","CIB1","4.78284","1.7724475"
"P26232","CTNNA2","5.614849","1.7698197"
"O95573","ACSL3","6.0913663","1.767967"
"O95167","NDUFA3","2.6261892","1.7678105"
"Q86SQ0","PHLDB2","4.3820243","1.7639276"
"P15954","COX7C","7.0963225","1.7549102"
"Q9Y5A7","NUB1","4.043081","1.754732"
"Q9H7U1","CCSER2","5.2921934","1.7508265"
"P62841","RPS15","4.714585","1.7451763"
"Q8N4S9","MARVELD2","3.0684485","1.7400432"
"Q7Z3D6","DGLUCY","4.0459247","1.7363021"
"Q9UJA5","TRMT6","4.2975135","1.733958"
"P20340","RAB6A","5.4227314","1.7339298"
"Q1KMD3","HNRNPUL2","6.682517","1.7271934"
"Q6WCQ1","MPRIP","5.398966","1.7225406"
"Q16720","ATP2B3","4.3687286","1.7180538"
"O95299","NDUFA10","5.4520597","1.7158958"
"Q9HBG6","IFT122","5.9117727","1.7047592"
"Q9NVV4","MTPAP","4.4624367","1.7003549"
"P50416","CPT1A","7.0427012","1.6981837"
"Q15599","NHERF2","5.537009","1.6969153"
"Q9HAU5","UPF2","3.3500245","1.6961372"
"Q15436","SEC23A","4.45927","1.6945555"
"Q04695","KRT17","10.5928135","1.6895422"
"Q9Y5J7","TIMM9","6.5183635","1.6833699"
"Q8IX18","DHX40","3.9229038","1.6821057"
"Q08174","PCDH1","4.5327563","1.6801451"
"O15020","SPTBN2","4.975557","1.6799296"
"O15533","TAPBP","7.416318","1.6798215"
"P02538","KRT6A","11.894815","1.6789236"
"Q13190","STX5","4.5317807","1.6759647"
"P23921","RRM1","5.0330734","1.672396"
"A3KMH1","VWA8","4.129542","1.6716449"
"Q9NVH6","TMLHE","3.91885","1.6677115"
"Q9H4G0","EPB41L1","5.895345","1.6638308"
"O60716","CTNND1","7.4859977","1.6630306"
"Q16795","NDUFA9","5.3544483","1.6626662"
"Q96AE7","TTC17","3.1504676","1.662207"
"Q0VGL1","LAMTOR4","4.0652523","1.659234"
"Q86U28","ISCA2","4.5566716","1.6585847"
"O43823","AKAP8","3.769384","1.6537758"
"P13987","CD59","6.4696293","1.6439192"
"B3KNS4","ERVK3-1","4.721182","1.6436685"
"Q9HA64","FN3KRP","4.4135256","1.6423656"
"O43676","NDUFB3","4.71901","1.6415579"
"P00367","GLUD1","8.116986","1.6375356"
"Q93074","MED12","2.0903661","1.6362"
"Q15363","TMED2","4.160274","1.632189"
"Q9BYC5","FUT8","4.8303695","1.6307595"
"Q9H553","ALG2","4.420581","1.629284"
"P82909","KGD4","5.67693","1.6291467"
"Q53S33","BOLA3","2.786417","1.6268077"
"Q8WWI1","LMO7","6.3401685","1.6260463"
"O95298","NDUFC2","4.248988","1.6187832"
"Q5T5P2","KIAA1217","3.8166","1.6158842"
"Q9Y673","ALG5","4.17825","1.6149307"
"O00212","RHOD","4.0988803","1.6115135"
"Q9Y3P9","RABGAP1","3.4439332","1.608703"
"Q99735","MGST2","4.441528","1.6085856"
"Q4KMQ2","ANO6","3.2246995","1.6071559"
"P10515","DLAT","7.743697","1.6025361"
"Q99942","RNF5","4.942345","1.6012877"
"Q27J81","INF2","5.5856338","1.5995249"
"Q969V5","MUL1","3.2398276","1.5980266"
"Q8NBN7","RDH13","5.7660065","1.5964029"
"Q13217","DNAJC3","5.7871904","1.5934892"
"O95999","BCL10","3.7093394","1.5907452"
"P51608","MECP2","3.9952981","1.5896853"
"Q00403","GTF2B","4.449989","1.5860068"
"Q8N6S5","ARL6IP6","4.1326094","1.581961"
"Q86Y38","XYLT1","3.9875696","1.5807437"
"P12036","NEFH","6.1307955","1.579812"
"Q6P9B6","MEAK7","4.064499","1.5757986"
"P40199","CEACAM6","6.891811","1.5699806"
"Q96LJ7","DHRS1","4.169516","1.5686394"
"P28331","NDUFS1","6.3203015","1.5642648"
"O75366","AVIL","6.482002","1.5601523"
"O75438","NDUFB1","5.888124","1.5572906"
"P13073","COX4I1","8.193293","1.5557767"
"P31040","SDHA","7.500183","1.5491363"
"O75306","NDUFS2","5.69069","1.5483689"
"Q9BRT6","LLPH","3.7980492","1.5410653"
"Q15084","PDIA6","9.781621","1.5407829"
"Q6PIS1","SLC23A3","5.5576015","1.5407012"
"P57071","PRDM15","4.5867653","1.5391575"
"Q86TM6","SYVN1","3.2971253","1.5389942"
"Q643R3","LPCAT4","3.2986739","1.537088"
"Q13421","MSLN","5.472404","1.5365415"
"P51636","CAV2","4.309013","1.5352954"
"P53675","CLTCL1","3.2243383","1.5331168"
"Q9BT22","ALG1","4.6504436","1.5317714"
"Q5T0N5","FNBP1L","3.5232663","1.5299913"
"Q02241","KIF23","4.5871997","1.5177122"
"P27797","CALR","9.779187","1.51097"
"Q13740","ALCAM","7.5290475","1.509499"
"Q6PIU2","NCEH1","8.733783","1.5083618"
"O14561","NDUFAB1","4.8011966","1.5077536"
"P10606","COX5B","9.675454","1.5042384"
"O95716","RAB3D","4.5684214","1.5038098"
"Q01650","SLC7A5","7.716588","1.5036671"
"P13726","F3","7.0124717","1.5024769"
"Q9Y305","ACOT9","6.290218","1.5004349"
"P54652","HSPA2","6.221394","1.4976879"
"O95169","NDUFB8","4.6335545","1.4967297"
"Q96HP4","OXNAD1","2.6658657","1.4948287"
"O95067","CCNB2","3.116926","1.4881995"
"Q8IWZ3","ANKHD1","3.7086782","1.4867251"
"Q99805","TM9SF2","5.361093","1.4840254"
"Q14126","DSG2","6.8136373","1.4788206"
"Q96HE7","ERO1A","6.505614","1.477763"
"P56556","NDUFA6","6.2015843","1.4767206"
"Q9HB66","MKKS","4.1569386","1.4765618"
"P68133","ACTA1","5.826346","1.4762267"
"O43795","MYO1B","5.65194","1.4742093"
"P53701","HCCS","4.471022","1.4736736"
"Q15643","TRIP11","3.9673462","1.4682"
"Q8IVF2","AHNAK2","6.3718634","1.4658929"
"Q9UDX5","MTFP1","2.9695904","1.4638709"
"P48634","PRRC2A","4.603404","1.4636104"
"Q9BRP4","PAAF1","3.8166957","1.460161"
"P24752","ACAT1","8.382334","1.4588675"
"P82673","MRPS35","4.37527","1.45425"
"Q6PK04","CCDC137","3.4944804","1.4527014"
"Q6P6B1","ERICH5","4.5741076","1.4497603"
"P33527","ABCC1","4.6499777","1.4485388"
"Q15070","OXA1L","5.2383914","1.4415312"
"P27487","DPP4","6.532643","1.440466"
"P61026","RAB10","7.9562945","1.4365838"
"Q9UI09","NDUFA12","4.289782","1.4330283"
"Q99959","PKP2","6.7739406","1.4314251"
"Q3ZAQ7","VMA21","4.1532893","1.429553"
"P07204","THBD","3.7988467","1.4295076"
"Q9H3Q1","CDC42EP4","3.79139","1.4263453"
"Q9BV40","VAMP8","6.4541","1.4260799"
"P00403","MT-CO2","7.7394094","1.424495"
"Q03135","CAV1","7.762792","1.4243827"
"P00387","CYB5R3","6.852731","1.4205643"
"O75369","FLNB","8.755364","1.4192054"
"Q8WVM8","SCFD1","5.2160163","1.4174656"
"P35221","CTNNA1","7.677485","1.416608"
"P17096","HMGA1","6.576768","1.4135938"
"O00182","LGALS9","4.3076496","1.412072"
"O00330","PDHX","5.7847767","1.4109973"
"Q6UW68","TMEM205","5.178397","1.40926"
"P49755","TMED10","6.457302","1.4092027"
"A1L390","PLEKHG3","3.7557461","1.4069605"
"P60903","S100A10","8.3224125","1.4063394"
"P49116","NR2C2","3.466132","1.4043562"
"Q96HP0","DOCK6","3.0609574","1.4024919"
"Q15223","NECTIN1","4.5552883","1.4013432"
"P17028","ZNF24","3.8257923","1.3998889"
"P09622","DLD","7.654014","1.3987912"
"O14548","COX7A2L","4.196715","1.3984176"
"Q15758","SLC1A5","8.011312","1.3954856"
"P05556","ITGB1","9.647725","1.3951557"
"P08727","KRT19","12.887601","1.3842826"
"Q9NYL4","FKBP11","5.951151","1.3785926"
"P05023","ATP1A1","7.7928367","1.3725961"
"Q86TB9","PATL1","3.599213","1.3718928"
"O00217","NDUFS8","6.973758","1.3708841"
"Q16762","TST","5.6439457","1.3702797"
"Q56A73","SPIN4","2.4584653","1.3699414"
"Q16718","NDUFA5","6.609797","1.3638707"
"Q16563","SYPL1","5.043442","1.3621566"
"Q9UH99","SUN2","4.8586597","1.3587202"
"Q12882","DPYD","6.0193896","1.3546187"
"Q9Y6U3","SCIN","5.8081083","1.3539691"
"P19404","NDUFV2","5.058033","1.3525357"
"Q6NUQ4","TMEM214","4.195624","1.3497705"
"P62820","RAB1A","6.0000405","1.3485723"
"Q12959","DLG1","5.3934464","1.3479214"
"P57105","SYNJ2BP","6.392536","1.34614"
"P82933","MRPS9","4.89349","1.3451077"
"Q9UJX3","ANAPC7","3.10378","1.3432335"
"O95478","NSA2","3.8354049","1.3427862"
"Q9Y6M9","NDUFB9","4.5325513","1.3414818"
"P18583","SON","6.3242197","1.3398367"
"P30038","ALDH4A1","5.4756927","1.3386251"
"Q7Z2K6","ERMP1","5.213734","1.336071"
"P20061","TCN1","4.8141284","1.3343854"
"Q9Y2H6","FNDC3A","3.838655","1.3343107"
"P63218","GNG5","5.8835115","1.3340182"
"Q15428","SF3A2","4.408169","1.3319846"
"P11234","RALB","5.971096","1.3300097"
"P14923","JUP","7.9631205","1.3268052"
"P49748","ACADVL","7.597439","1.3227246"
