"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"O76024","WFS1","6.594576","3.7721744"
"Q9NS86","LANCL2","5.4589067","3.5010653"
"Q2NL82","TSR1","5.5487413","3.3608203"
"P08842","STS","7.1652517","3.2757862"
"O14939","PLD2","6.1814666","2.9671035"
"Q9HD45","TM9SF3","6.323431","2.6317582"
"Q8NBU5","ATAD1","5.3490453","2.537331"
"Q9HBI1","PARVB","6.401139","2.4978037"
"P55011","SLC12A2","6.6329937","2.4386253"
"Q9NVI1","FANCI","4.6626754","2.4311996"
"P30084","ECHS1","9.184966","2.4288244"
"Q13586","STIM1","5.8865013","2.4107602"
"O43920","NDUFS5","5.6553793","2.4083557"
"Q92934","BAD","4.3667107","2.3618646"
"P12755","SKI","2.8187404","2.3454945"
"Q9BTZ2","DHRS4","5.903937","2.299727"
"P13747","HLA-E","4.217518","2.295497"
"Q9UIQ6","LNPEP","4.7326884","2.286219"
"Q56VL3","OCIAD2","7.5152216","2.2646785"
"P10515","DLAT","8.188985","2.2584774"
"P52926","HMGA2","7.9141197","2.2562716"
"P29590","PML","7.3121443","2.2505534"
"Q9NRS4","TMPRSS4","4.178856","2.240806"
"O96000","NDUFB10","7.5088906","2.2366614"
"Q14145","KEAP1","4.293482","2.236072"
"Q9NQX7","ITM2C","4.7048664","2.2073143"
"Q8N5K1","CISD2","6.63544","2.207305"
"Q9BT22","ALG1","5.174023","2.204963"
"Q8N7X0","ADGB","4.610512","2.2003129"
"P52597","HNRNPF","8.065294","2.1991374"
"Q92817","EVPL","6.0668774","2.194109"
"Q9NQ50","MRPL40","5.359658","2.1823637"
"P30048","PRDX3","10.45787","2.1821833"
"Q96LW7","CARD19","4.5682592","2.1738296"
"P06132","UROD","4.9990544","2.1720085"
"Q9H0N5","PCBD2","4.4887543","2.146516"
"Q12797","ASPH","8.064717","2.145995"
"Q9NVH2","INTS7","5.8474054","2.143866"
"O95159","ZFPL1","6.855585","2.1424375"
"Q8N2G8","GHDC","4.6732354","2.13484"
"P50213","IDH3A","7.2115602","2.1255646"
"P00367","GLUD1","8.52576","2.1201081"
"O95182","NDUFA7","5.699244","2.115798"
"P84090","ERH","5.8917575","2.1054566"
"Q13445","TMED1","5.9621344","2.0971766"
"Q6DJT9","PLAG1","7.4442406","2.0809655"
"A8MXV4","NUDT19","5.4225736","2.080134"
"Q9GZU5","NYX","7.11266","2.0797963"
"Q9UMS0","NFU1","5.750857","2.0773559"
"Q92673","SORL1","4.4934897","2.0715032"
"Q9BX10","GTPBP2","2.8009686","2.0543401"
"Q12906","ILF3","8.697822","2.0483687"
"P10109","FDX1","5.958624","2.0395563"
"Q5VYY1","ANKRD22","5.483297","2.036564"
"Q92878","RAD50","5.5356107","2.0301712"
"Q08380","LGALS3BP","9.220917","2.0159125"
"O43181","NDUFS4","5.379303","1.9961652"
"Q8N4Y2","CRACR2B","8.257925","1.9929628"
"Q8WVQ1","CANT1","4.529712","1.9570682"
"Q8NFV4","ABHD11","6.677959","1.9426739"
"P45880","VDAC2","10.178035","1.9402899"
"Q96JB5","CDK5RAP3","5.372358","1.9377743"
"P23229","ITGA6","8.348427","1.9369495"
"Q9BSR8","YIPF4","4.5613127","1.9330527"
"P19404","NDUFV2","5.395609","1.919105"
"O75976","CPD","6.347954","1.9115734"
"Q13011","ECH1","9.316096","1.9067388"
"Q15005","SPCS2","5.356083","1.8996876"
"Q9UKA9","PTBP2","7.5697536","1.8994251"
"Q16798","ME3","3.960541","1.8865297"
"P51553","IDH3G","6.6803513","1.8864806"
"Q9H0U4","RAB1B","5.073992","1.8862096"
"Q07817","BCL2L1","5.248367","1.8843819"
"Q8TB96","ITFG1","4.691862","1.8841097"
"Q9NZC3","GDE1","3.144023","1.8832027"
"P08047","SP1","2.978449","1.8752667"
"Q9NVS2","MRPS18A","5.020932","1.871714"
"Q27J81","INF2","5.840455","1.8553634"
"Q16595","FXN","4.4891663","1.847804"
"Q9BYC8","MRPL32","3.3408794","1.8475183"
"Q86SX6","GLRX5","5.9869075","1.8349413"
"Q9ULD0","OGDHL","6.2532763","1.8330619"
"Q92804","TAF15","5.7485433","1.8317413"
"A0A1B0GV03","GOLGA6L7","6.231852","1.8252835"
"Q7Z3D6","DGLUCY","4.1366735","1.8236532"
"Q8TED4","SLC37A2","4.659685","1.8211511"
"Q9NVE7","PANK4","3.292555","1.8206972"
"Q6YHK3","CD109","5.972461","1.820557"
"P84101","SERF2","5.025464","1.8205297"
"P51572","BCAP31","8.238539","1.8033181"
"Q6P179","ERAP2","5.8724656","1.803162"
"Q16563","SYPL1","5.4574537","1.7986101"
"Q08722","CD47","7.573956","1.7938968"
"O75380","NDUFS6","5.921433","1.7905676"
"O75531","BANF1","8.519192","1.7884731"
"O94886","TMEM63A","4.8685427","1.7841504"
"P28331","NDUFS1","6.456503","1.7826546"
"Q08AF3","SLFN5","4.2718067","1.7790234"
"Q96B18","DACT3","5.3316307","1.777117"
"Q9H3Y8","PPDPF","2.022344","1.7764281"
"Q9Y426","C2CD2","5.807178","1.7675955"
"P57105","SYNJ2BP","6.844269","1.7660795"
"P35609","ACTN2","7.027913","1.7660424"
"Q9NX40","OCIAD1","7.3974953","1.765543"
"Q9UEU0","VTI1B","4.5378327","1.7635583"
"O14561","NDUFAB1","4.9434853","1.7580194"
"O75367","MACROH2A1","8.736977","1.7526011"
"P22492","H1-6","4.386953","1.7400833"
"Q9H334","FOXP1","3.0165634","1.7388142"
"P61009","SPCS3","6.765543","1.7381725"
"Q16718","NDUFA5","6.8201456","1.7348739"
"Q9BYC5","FUT8","4.936023","1.7293035"
"Q9H1C4","UNC93B1","2.2639148","1.7273831"
