ID,Drug Name,Targets,Z Score,Count
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2","-1.9743299199547089","280"
"1926","GNE-317","PI3Kalpha","-1.8447475181120552","280"
"1059","AZD8055","MTORC1, MTORC2","-1.676375693870501","280"
"1594","OSI-027","MTORC1, MTORC2","-1.5225483738236281","280"
"1008","Methotrexate","Antimetabolite","-1.4182962203883311","280"
"1586","BDILV000379a","BAZ2A, BAZ2B","-1.3525169655775213","280"
"2037","GSK343","EZH2","-1.3145709819757168","280"
"1441","AZD2014","mTORC1, mTORC2","-1.2940439999878379","280"
"2177","SGC0946","DOT1L","-1.2923060571983083","280"
"2096","VX-11e","ERK2","-1.1318584267760885","280"
"1580","GSK2801","","-1.093016755928055","280"
"1561","Taselisib","PI3K (beta sparing)","-1.0694967569844438","280"
"2011","ICL-SIRT078","SIR2","-1.0510988429415009","280"
"1014","Refametinib","MEK1, MEK2","-1.0051287949491008","280"
"1084","Rapamycin","MTORC1","-.969603246977637","280"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","-.95692870032105359","280"
"2045","AMG-319","PI3K (beta sparing)","-.95508058394784623","280"
"1560","Alpelisib","PI3Kalpha","-.95106235532742112","280"
"2159","UNC0379","SETD8","-.94505403166858404","280"
"1925","GDC0810","ESR1, ESR2","-.94089428341999093","280"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-.93651788301431971","280"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","-.90907737095246988","280"
"1093","GSK1904529A","IGF1R, IR","-.88339079533977605","280"
"1582","SGC-CBP30","EP300, CBP","-.86035217279158205","280"
"1996","MIM1","MCL1","-.83971429108775864","280"
"2112","VTP-A","","-.82118914945807564","280"
"1080","Paclitaxel","Microtubule stabiliser","-.82088459856215845","280"
"1034","Staurosporine","Broad spectrum kinase inhibitor","-.79067437730315215","280"
"1133","Serdemetan","MDM2","-.78725858111539337","280"
"1058","Pictilisib","PI3K (class 1)","-.77076449554972437","280"
"1839","615590","","-.75955921868009479","280"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8","-.75951154599280213","280"
"2113","VTP-B","","-.74353377393348574","280"
"1911","Dactinomycin","RNA polymerase","-.73131128942616774","280"
"2361","THR-102","Mutant RAS","-.7279900550810855","280"
"1061","SB590885","BRAF","-.70646573039843719","280"
"1866","BDP-00009066","MRCKB_HUMAN","-.70262316390447577","280"
"1618","GSK2606414","PERK","-.6929229453690714","280"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9","-.68834998417936699","280"
"1862","MG-132","Proteasome, CAPN1","-.68249012976562762","280"
"1191","Bortezomib","Proteasome","-.66540131503071331","280"
"1023","GW441756","NTRK1","-.65485366347938112","280"
"2106","Uprosertib","AKT1, AKT2, AKT3","-.6537071078665323","280"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.65157247095329063","280"
"1200","Fulvestrant","ESR","-.6132961758504093","280"
"1179","MK-1775","WEE1, PLK1","-.61308030683009485","280"
"1190","Gemcitabine","Pyrimidine antimetabolite","-.59061607603468025","280"
"1053","MK-2206","AKT1, AKT2","-.58885626227471899","280"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-.58400248737340565","280"
"2171","BMS-754807","IGF1R, IR","-.57858957490395169","280"
"1932","NVP-ADW742","IGF1R","-.57058846617246284","280"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-.55400914580767657","280"
"1026","Tanespimycin","HSP90","-.53248921925074455","280"
"1062","Selumetinib","MEK1, MEK2","-.51883971647604221","280"
"2010","HKMTI-1-005","","-.51460743222986727","280"
"1006","Cytarabine","Antimetabolite","-.51325807046706973","280"
"1060","PD0325901","MEK1, MEK2","-.50463123753422967","280"
"1050","ZM447439","AURKA, AURKB","-.50021868010690385","280"
"2044","Pyridostatin","G-quadruplex stabiliser","-.49692723509939135","280"
"1091","BMS-536924","IGF1R, IR","-.49644905052108002","280"
"1924","Ipatasertib","AKT1, AKT, AKT3","-.480330011405534","280"
"1939","UMI-77","MCL1","-.46633938444392253","280"
"1378","Bleomycin (50 uM)","dsDNA break induction","-.44805806899246792","280"
"1025","SB216763","GSK3A, GSK3B","-.44133180830927693","280"
"1199","Tamoxifen","ESR1","-.42891648874874999","280"
"1845","Schweinfurthin A","","-.41630136218037361","280"
"1804","Acetalax","","-.40898199030129329","280"
"2109","AZ6102","TNKS1, TNKS2","-.4046016217142136","280"
"1022","AZD7762","CHEK1, CHEK2","-.4043231409470775","280"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV","-.4016794585722957","280"
"2107","LJI308","RSK2, RSK1, RSK3","-.393959380863735","280"
"1019","Bosutinib","SRC, ABL, TEC","-.39380557601009802","280"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","-.38406681157626449","280"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","-.38029215347005474","280"
"1802","Zoledronate"," ","-.37158957007139676","280"
"1635","Picolinici-acid","Inflammatory related","-.36960651959245727","280"
"1730","PAK_5339","PAK1, PAK2","-.36791413695705055","280"
"1844","776928","","-.35938632766277967","280"
"1559","Luminespib","HSP90","-.35397118355215296","280"
"1622","Wnt-C59","PORCN","-.34476551648447168","280"
"2038","UNC0638","G9A, GLP","-.34021040035445005","280"
"1615","CZC24832","PI3Kgamma","-.33520360687454781","280"
"1917","AZD6738","ATR","-.33506327731055147","280"
"1249","BMS-345541","IKK-1, IKK-2","-.3270201669912699","280"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF","-.31817576624577687","280"
"1854","MN-64","TNKS1, TNKS2","-.31192409329694087","280"
"1634","AGI-6780","IDH2 R140Q mutant","-.31147562270079887","280"
"1020","Lenalidomide","CRBN","-.30204519196509855","280"
"1563","EPZ5676","DOT1L","-.29977955214368801","280"
"1032","Afatinib","EGFR, ERBB2","-.29514166115239959","280"
"1564","SCH772984","ERK1, ERK2","-.28830696590855498","280"
"1803","Acetalax","","-.28659286827375802","280"
"1558","Lapatinib","EGFR, ERBB2","-.28586397607362035","280"
"1010","Gefitinib","EGFR","-.28488877387102057","280"
"1836","150412","","-.28291396082127329","280"
"2047","Ulixertinib","ERK1, ERK2","-.27895116506750756","280"
"1613","VE-822","ATR","-.27068473533655701","280"
"2362","THR-103","Mutant RAS","-.26567575535958993","280"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-.26565580211720713","280"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.26523847628383912","280"
"2110","GSK591","PMRT5","-.26431355180016947","280"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT","-.25957633926678964","280"
"1511","Epirubicin","Anthracycline","-.25605971631912849","280"
"1918","AZD8186","PI3Kalpha, PI3Kbeta","-.2381262462736374","280"
"1838","Sinularin","","-.23395029967819428","280"
"1375","Temozolomide","DNA alkylating agent","-.23274222790574314","280"
"1029","Motesanib","VEGFR, RET, KIT, PDGFR","-.23037813882275079","280"
"1843","LMP744","TOP1","-.22837669059758414","280"
"1614","WZ4003","NUAK1, NUAK2","-.21272125334534386","280"
"1630","Entospletinib","SYK","-.20923486621895573","280"
"1250","AZ960","JAK2, JAK3","-.2032417310694454","280"
"2046","MK-8776","CHEK1, CHEK2, CDK2","-.19742481525500605","280"
"1510","Linsitinib","IGF1R","-.19597979580633551","280"
"1401","AZD5438","CDK2","-.18583058055821466","280"
"1007","Docetaxel","Microtubule stabiliser","-.18194019263987887","280"
"1046","Wee1 Inhibitor","WEE1, CHEK1","-.17414254342375191","280"
"1714","ERK_6604","ERK1,ERK2","-.15462588453100354","280"
"1908","Ulixertinib","ERK1, ERK2","-.14962177988614458","280"
