ID,Drug Name,Targets,Z Score,Count
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2","-1.1189275083488974","171"
"2044","Pyridostatin","G-quadruplex stabiliser","-1.0090992075780012","171"
"1059","AZD8055","MTORC1, MTORC2","-.98389160954418886","171"
"1060","PD0325901","MEK1, MEK2","-.95440312679556305","171"
"1926","GNE-317","PI3Kalpha","-.87683470382855966","171"
"1927","GSK2578215A","LRRK2","-.81380553503419528","171"
"1062","Selumetinib","MEK1, MEK2","-.7717712431787781","171"
"1014","Refametinib","MEK1, MEK2","-.73230662750572073","171"
"1594","OSI-027","MTORC1, MTORC2","-.7138249461848446","171"
"1199","Tamoxifen","ESR1","-.58990642456175846","171"
"1036","PLX-4720","BRAF","-.58931172743399995","171"
"1016","Temsirolimus","MTOR","-.49271975137423268","171"
"1918","AZD8186","PI3Kalpha, PI3Kbeta","-.36126027822259071","171"
"1908","Ulixertinib","ERK1, ERK2","-.34974153986115125","171"
"2361","THR-102","Mutant RAS","-.32134135465634284","171"
"2154","GSK-LSD1-2HCl ","LSD1","-.068694599858511049","171"
"2156","5-azacytidine","DNA methyltransferases","-.067199108168352506","171"
"1372","Trametinib","MEK1, MEK2","-.065244727856633183","171"
"2499","N-acetyl cysteine","Metabolism","-.034236487783357486","171"
"2046","MK-8776","CHEK1, CHEK2, CDK2",".016778948944115867","171"
"1069","EHT-1864","RAC1, RAC2, RAC3",".0858273588048621","171"
"2110","GSK591","PMRT5",".10149225004798362","171"
"1564","SCH772984","ERK1, ERK2",".10191870445168212","171"
"1091","BMS-536924","IGF1R, IR",".12569830751101602","171"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",".12954842880648373","171"
"1046","Wee1 Inhibitor","WEE1, CHEK1",".15680275369195135","171"
"1038","NU7441","DNAPK",".15972094876444629","171"
"1058","Pictilisib","PI3K (class 1)",".20188916269323887","171"
"1084","Rapamycin","MTORC1",".20813511813524693","171"
"1378","Bleomycin (50 uM)","dsDNA break induction",".20909904249102026","171"
"1093","GSK1904529A","IGF1R, IR",".22583631375462124","171"
"2145","PBD-288","",".23023725194777642","171"
"1924","Ipatasertib","AKT1, AKT, AKT3",".23162993503134532","171"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".28796702721516704","171"
"1910","ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",".30149828373536236","171"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",".31036979481107968","171"
"2439","glutathione","anti-oxidant proteins",".3135934039644484","171"
"1049","PD173074","FGFR1, FGFR2, FGFR3",".31800628891999416","171"
"1866","BDP-00009066","MRCKB_HUMAN",".32606761157296926","171"
"2498","alpha-lipoic acid","Metabolism",".33640080955831531","171"
"1549","Sapitinib","EGFR, ERBB2, ERBB3",".34774042043635389","171"
"1034","Staurosporine","Broad spectrum kinase inhibitor",".34864935286285043","171"
"1917","AZD6738","ATR",".3629534167165645","171"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".37501723006877291","171"
"1026","Tanespimycin","HSP90",".39946325772087288","171"
"2047","Ulixertinib","ERK1, ERK2",".42085086417338302","171"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3",".42385141988413338","171"
"2096","VX-11e","ERK2",".4432590580686771","171"
"1013","Nilotinib","ABL",".47403406462455233","171"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV",".48608191277173907","171"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF",".51660627975733553","171"
"2159","UNC0379","SETD8",".56180487402152302","171"
"1912","Afuresertib","AKT1, AKT2, AKT3",".5964559547228323","171"
"2170","AT13148","AKT1",".62010639485563723","171"
"1022","AZD7762","CHEK1, CHEK2",".64954072007028962","171"
"1916","AZD5363","AKT1, AKT2, AKT3, ROCK2",".68041535525404229","171"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",".68511843811833095","171"
"2045","AMG-319","PI3K (beta sparing)",".68943182071062747","171"
"1089","Oxaliplatin","DNA alkylating agent",".70820446022903272","171"
"1939","UMI-77","MCL1",".71865382202802541","171"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",".74387785987427824","171"
"2158","CPI-637","EP300",".77060412855036864","171"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT",".7892196311063292","171"
"1239","YK-4-279","RNA helicase A",".85110348187795981","171"
"2359","GSK2830371","WIP1",".8512172952095246","171"
"1941","Sepantronium bromide","BIRC5",".86781227205493161","171"
"1191","Bortezomib","Proteasome",".89498304917089111","171"
"1373","Dabrafenib","BRAF",".89581265753333195","171"
"1558","Lapatinib","EGFR, ERBB2",".89865828476411802","171"
"1919","Osimertinib","EGFR",".919463747407819","171"
"1237","EPZ004777","DOT1L",".92814612435309773","171"
"2011","ICL-SIRT078","SIR2",".941495855904526","171"
"1050","ZM447439","AURKA, AURKB",".94722678022352225","171"
"1067","CCT007093","PPM1D",".95057106536233682","171"
"1862","MG-132","Proteasome, CAPN1",".9601447034846774","171"
"1043","JNK Inhibitor VIII","JNK",".97528759773811735","171"
"1133","Serdemetan","MDM2","1.0037075595210811","171"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","1.0103948996457814","171"
"1054","Palbociclib","CDK4, CDK6","1.0201579318250775","171"
"1010","Gefitinib","EGFR","1.0273405588535303","171"
"1019","Bosutinib","SRC, ABL, TEC","1.0424441193314014","171"
"2148","POMHEX","","1.0524591129882059","171"
"1997","WEHI-539","BCL-XL","1.0643147394078936","171"
"1512","Cyclophosphamide","Alkylating agent","1.0678247298023202","171"
"1925","GDC0810","ESR1, ESR2","1.1007897372329192","171"
"2002","N30652-18-1","","1.1090257478066259","171"
"1928","I-BRD9","BRD9","1.1249059761723825","171"
"1999","N25720-51-A1","","1.1322135495890207","171"
"1200","Fulvestrant","ESR","1.1519284170674167","171"
"1179","MK-1775","WEE1, PLK1","1.1790079350436744","171"
"1053","MK-2206","AKT1, AKT2","1.185881799788171","171"
"2111","VE821","ATR","1.2039679698842645","171"
"1930","Telomerase Inhibitor IX","Telomerase","1.2108509861765118","171"
"1560","Alpelisib","PI3Kalpha","1.2205705394275133","171"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","1.2305669070093999","171"
"1632","Ribociclib","CDK4, CDK6","1.2431106751053509","171"
"1032","Afatinib","EGFR, ERBB2","1.2921534397029355","171"
"1598","LGK974","PORCN","1.3048849310896551","171"
"2039","AGK2","BAZ2A, BAZ2B","1.3132377894504415","171"
"1998","BPD-00008900","","1.3313316510346411","171"
"1561","Taselisib","PI3K (beta sparing)","1.3901474425689304","171"
"1175","Rucaparib","PARP1, PARP2","1.4119763177924278","171"
"1051","Alisertib","AURKA","1.4137196825678344","171"
"2173","PFI-1","BRD4","1.4142382853402948","171"
"2362","THR-103","Mutant RAS","1.42040542756444","171"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","1.4252657402745192","171"
"1190","Gemcitabine","Pyrimidine antimetabolite","1.4268166920599945","171"
"1248","Daporinad","NAMPT","1.4395563366845816","171"
"1915","AZD3759","EGFR","1.4410831722057809","171"
"1061","SB590885","BRAF","1.476582326583026","171"
"1511","Epirubicin","Anthracycline","1.4795655479614944","171"
"1913","AGI-5198","IDH1 (R132H)","1.4882315338621666","171"
"1259","Talazoparib","PARP1, PARP2","1.5076851206591253","171"
"1025","SB216763","GSK3A, GSK3B","1.51039422865199","171"
"1042","Doramapimod","p38, JNK2","1.51608977654152","171"
