ID,Drug Name,Targets,Z Score,Count
"1803","Acetalax","","-1.4913070219499627","281"
"1804","Acetalax","","-1.4723572753439551","281"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT","-1.1708494401418745","281"
"1008","Methotrexate","Antimetabolite","-.8894819902547858","281"
"1091","BMS-536924","IGF1R, IR","-.82290755424186179","281"
"1023","GW441756","NTRK1","-.73628615602152681","281"
"2148","POMHEX","","-.71316419527780561","281"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-.64519849683575747","281"
"1736","Selumetinib","MEK1, MEK2","-.58654660147238169","281"
"1911","Dactinomycin","RNA polymerase","-.49856795693528139","281"
"1131","PRIMA-1MET","TP53 activation","-.4720015471110664","281"
"1060","PD0325901","MEK1, MEK2","-.44224638004714711","281"
"1930","Telomerase Inhibitor IX","Telomerase","-.43307075263818251","281"
"1564","SCH772984","ERK1, ERK2","-.39058007029037678","281"
"1529","Pevonedistat","NAE","-.34758095405728606","281"
"1372","Trametinib","MEK1, MEK2","-.34281756124105212","281"
"1191","Bortezomib","Proteasome","-.3141181896992481","281"
"1820","123829","","-.3124644890785957","281"
"1908","Ulixertinib","ERK1, ERK2","-.28744184636455006","281"
"1933","P22077","USP7, USP47","-.28033717471061348","281"
"1941","Sepantronium bromide","BIRC5","-.2752291314842541","281"
"2096","VX-11e","ERK2","-.27208063249647024","281"
"1917","AZD6738","ATR","-.2073111635095137","281"
"1022","AZD7762","CHEK1, CHEK2","-.13531264819625838","281"
"1780","GSK3337463A","NIK","-.093992907408362761","281"
"1918","AZD8186","PI3Kalpha, PI3Kbeta","-.057195125519791015","281"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.049043904428361776","281"
"1862","MG-132","Proteasome, CAPN1","-.014001273171959752","281"
"1866","BDP-00009066","MRCKB_HUMAN","-.011839172163986547","281"
"1046","Wee1 Inhibitor","WEE1, CHEK1",".0081999062029606256","281"
"1630","Entospletinib","SYK",".029441440643367019","281"
"2046","MK-8776","CHEK1, CHEK2, CDK2",".036119002445290739","281"
"1738","IGF1R_3801","IGFR1",".040696742224902389","281"
"2157","A-366","EHMT1, EHMT2",".071730657252594796","281"
"1549","Sapitinib","EGFR, ERBB2, ERBB3",".10033216772981987","281"
"1449","AZD1208","PIM1, PIM2, PIM3",".11112243035883164","281"
"1932","NVP-ADW742","IGF1R",".11684378020045239","281"
"1510","Linsitinib","IGF1R",".15296425359110707","281"
"1089","Oxaliplatin","DNA alkylating agent",".15614028091337165","281"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT",".17264757113408224","281"
"1054","Palbociclib","CDK4, CDK6",".21608538040015324","281"
"1940","WIKI4","TNKS1, TNKS2",".21806308363484442","281"
