ID,Drug Name,Targets,Z Score,Count
"1029","Motesanib","VEGFR, RET, KIT, PDGFR","-1.9203704899011469","281"
"1025","SB216763","GSK3A, GSK3B","-1.5105117634850949","281"
"1996","MIM1","MCL1","-1.4362859085897348","281"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","-1.3295282243177937","281"
"1008","Methotrexate","Antimetabolite","-1.1856299424660168","281"
"1832","729189","","-1.0950052117830258","281"
"1785","LMB_AB3","PPP1R15B","-1.0882624646524202","281"
"1941","Sepantronium bromide","BIRC5","-1.0775005998710436","281"
"1830","Gallibiscoquinazole","","-1.0586804748148824","281"
"2113","VTP-B","","-.95807693272188421","281"
"1831","L-Oxonoreleagnine","","-.90447218552803277","281"
"1093","GSK1904529A","IGF1R, IR","-.88822448487243422","281"
"1939","UMI-77","MCL1","-.72870618477796789","281"
"1131","PRIMA-1MET","TP53 activation","-.72266860986617232","281"
"1013","Nilotinib","ABL","-.70765350905831625","281"
"2159","UNC0379","SETD8","-.69286494006810229","281"
"1378","Bleomycin (50 uM)","dsDNA break induction","-.68083773346991205","281"
"2148","POMHEX","","-.6730379386881602","281"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-.56024075644609095","281"
"1033","Vismodegib","SMO","-.55352426366923924","281"
"1191","Bortezomib","Proteasome","-.52187824158168794","281"
"2112","VTP-A","","-.48282545078220929","281"
"1933","P22077","USP7, USP47","-.4624608128486567","281"
"1023","GW441756","NTRK1","-.45331716692949647","281"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-.40679705953968581","281"
"1932","NVP-ADW742","IGF1R","-.34389642654308583","281"
"1091","BMS-536924","IGF1R, IR","-.33603888712858798","281"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-.30056221803660282","281"
"2043","BIBR-1532","TERT","-.29675126894801118","281"
"1004","Vinblastine","Microtubule destabiliser","-.27979177916035186","281"
"2361","THR-102","Mutant RAS","-.25384283284197423","281"
"2037","GSK343","EZH2","-.24759607242004603","281"
"1927","GSK2578215A","LRRK2","-.23100804784913276","281"
"1730","PAK_5339","PAK1, PAK2","-.22902262289259157","281"
"1804","Acetalax","","-.21118581973869674","281"
"2171","BMS-754807","IGF1R, IR","-.19912590751023604","281"
"2145","PBD-288","","-.18591921917565674","281"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF","-.16427070624527298","281"
"2157","A-366","EHMT1, EHMT2","-.13457359447201214","281"
"1824","123138","","-.13159096881119309","281"
"1582","SGC-CBP30","EP300, CBP","-.12969735425289899","281"
"1043","JNK Inhibitor VIII","JNK","-.12673692985754459","281"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT","-.1212885535234529","281"
"1844","776928","","-.12011797337532799","281"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.11421495348430985","281"
"1862","MG-132","Proteasome, CAPN1","-.10514759641112791","281"
"1559","Luminespib","HSP90","-.092856212581031203","281"
"2158","CPI-637","EP300","-.089140412914408065","281"
"1003","Camptothecin","TOP1","-.0842648526802946","281"
"1089","Oxaliplatin","DNA alkylating agent","-.079119221442175411","281"
"1059","AZD8055","MTORC1, MTORC2","-.076950189070509017","281"
"1558","Lapatinib","EGFR, ERBB2","-.076650207806171433","281"
"1580","GSK2801","","-.06921298254691087","281"
"2359","GSK2830371","WIP1","-.061033885306381923","281"
"1080","Paclitaxel","Microtubule stabiliser","-.056233153153866164","281"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.045581275497469501","281"
"1803","Acetalax","","-.044821485431923547","281"
"1940","WIKI4","TNKS1, TNKS2","-.041869200988486364","281"
"1006","Cytarabine","Antimetabolite","-.037814577792041691","281"
"1038","NU7441","DNAPK","-.02757256767928222","281"
"1936","Savolitinib","MET","-.024614651615160705","281"
"1510","Linsitinib","IGF1R","-.018246319126461047","281"
"1007","Docetaxel","Microtubule stabiliser",".010878280784079828","281"
"1511","Epirubicin","Anthracycline",".013220137154848547","281"
"2154","GSK-LSD1-2HCl ","LSD1",".024431477254012193","281"
"1190","Gemcitabine","Pyrimidine antimetabolite",".044171043433348565","281"
"1835","Elephantin","",".054536963287172037","281"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".074994382992751629","281"
"1739","JAK_8517","JAK1, JAK2",".078544485140123965","281"
"1032","Afatinib","EGFR, ERBB2",".090061149366753718","281"
"1020","Lenalidomide","CRBN",".09438611378665529","281"
"1706","AZD5153","BRD4",".10494031226763","281"
"1030","KU-55933","ATM",".10840614674665523","281"
"1712","Eg5_9814","KSP11",".11800532839828817","281"
"1053","MK-2206","AKT1, AKT2",".12058179073235631","281"
"1010","Gefitinib","EGFR",".12059169877874316","281"
"1042","Doramapimod","p38, JNK2",".12168879169285922","281"
"1179","MK-1775","WEE1, PLK1",".12295222797141848","281"
"2044","Pyridostatin","G-quadruplex stabiliser",".1231415272618408","281"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2",".1270703232042687","281"
"1816","Fulvestrant","ESR",".127202946197565","281"
"1598","LGK974","PORCN",".12914285357641561","281"
"1802","Zoledronate"," ",".13059262678071729","281"
"1779","GSK626616AC","DYRK1A",".13297485967832523","281"
"2011","ICL-SIRT078","SIR2",".15321280871919979","281"
"1199","Tamoxifen","ESR1",".15342458101597767","281"
"1019","Bosutinib","SRC, ABL, TEC",".15381745924984405","281"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1",".15584002477734668","281"
"1621","PCI-34051","HDAC8, HDAC6, HDAC1",".15648503650519924","281"
"1249","BMS-345541","IKK-1, IKK-2",".1637570336854639","281"
"1786","AZD4547","FGFR1, FGFR2, FGFR3",".16741951813851497","281"
"1549","Sapitinib","EGFR, ERBB2, ERBB3",".16850660639896989","281"
"2010","HKMTI-1-005","",".16991226719035549","281"
"1776","GSK2256098C","FAK1",".1812846583242507","281"
"1931","MIRA-1","TP53",".1813889147872072","281"
"2498","alpha-lipoic acid","Metabolism",".18611465976588634","281"
"1239","YK-4-279","RNA helicase A",".19613993100807958","281"
"1630","Entospletinib","SYK",".20490690818108698","281"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",".21368816117690065","281"
"1086","BI-2536","PLK1, PLK2, PLK3",".21584189542792495","281"
"2109","AZ6102","TNKS1, TNKS2",".22304496829525922","281"
"1058","Pictilisib","PI3K (class 1)",".22388185433724678","281"
"1807","Carmustine","",".2306920347036055","281"
"1005","Cisplatin","DNA crosslinker",".25353706391387215","281"
"1373","Dabrafenib","BRAF",".27349838019871581","281"
"1843","LMP744","TOP1",".284732882250543","281"
"1836","150412","",".28816251502073548","281"
"1911","Dactinomycin","RNA polymerase",".30527794576423367","281"
"1736","Selumetinib","MEK1, MEK2",".31107227685863992","281"
"1866","BDP-00009066","MRCKB_HUMAN",".31940071869102016","281"
"1586","BDILV000379a","BAZ2A, BAZ2B",".32215902143177849","281"
"1632","Ribociclib","CDK4, CDK6",".34576610458312851","281"
"1738","IGF1R_3801","IGFR1",".34974133417735609","281"
"1839","615590","",".35152419447828137","281"
"1780","GSK3337463A","NIK",".36824041565411947","281"
"1812","Bleomycin","dsDNA break induction",".36898671803421451","281"
"1918","AZD8186","PI3Kalpha, PI3Kbeta",".37675319968977905","281"
"1449","AZD1208","PIM1, PIM2, PIM3",".38526026998056495","281"
"1529","Pevonedistat","NAE",".38749322146602583","281"
"1782","GSK2830371A","PPM1D",".38792662540202399","281"
"1084","Rapamycin","MTORC1",".41126133660814113","281"
"1828","720427","",".41881239726014741","281"
"1561","Taselisib","PI3K (beta sparing)",".42172060327403765","281"
"1840","630600","",".42668595735409709","281"
"1016","Temsirolimus","MTOR",".42741374892298928","281"
