ID,Drug Name,Targets,Z Score,Count
"1834","743380","","-1.8184502208282349","282"
"1833","741909","","-1.6234833449946704","282"
"1839","615590","","-1.6058571232829122","282"
"1716","IRAK4_4710","IRAK4","-1.2927403395220345","282"
"1023","GW441756","NTRK1","-.98061653545072425","282"
"1830","Gallibiscoquinazole","","-.86992070811125632","282"
"1008","Methotrexate","Antimetabolite","-.83902000164310131","282"
"1821","765771","","-.80701011900546915","282"
"1033","Vismodegib","SMO","-.77807674027121243","282"
"1018","Veliparib","PARP1, PARP2","-.77161127601542878","282"
"1838","Sinularin","","-.77001339659103518","282"
"2439","glutathione","anti-oxidant proteins","-.75600150183394499","282"
"1925","GDC0810","ESR1, ESR2","-.71297734531159562","282"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.70720268620841609","282"
"1043","JNK Inhibitor VIII","JNK","-.63950713020553052","282"
"2003","N29087-69-1","","-.63874519892889658","282"
"2043","BIBR-1532","TERT","-.62284459638013556","282"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-.5910380562009242","282"
"1635","Picolinici-acid","Inflammatory related","-.54393089486516755","282"
"1375","Temozolomide","DNA alkylating agent","-.45669701882591857","282"
"1580","GSK2801","","-.44030044476503938","282"
"1996","MIM1","MCL1","-.41868894472835894","282"
"1248","Daporinad","NAMPT","-.41280999238571564","282"
"1832","729189","","-.39968736277126649","282"
"1586","BDILV000379a","BAZ2A, BAZ2B","-.39309083346420726","282"
"1852","LY2109761","TGFB1","-.39024529473285352","282"
"1200","Fulvestrant","ESR","-.36344531425666049","282"
"1815","Dacarbazine","CP11A","-.35854113715904323","282"
"2362","THR-103","Mutant RAS","-.34438288906509362","282"
"1237","EPZ004777","DOT1L","-.3197427091125753","282"
"1734","VSP34_8731","VSP34","-.26857446118187023","282"
"1025","SB216763","GSK3A, GSK3B","-.26786048677906005","282"
"1998","BPD-00008900","","-.26712079991480464","282"
"1618","GSK2606414","PERK","-.26093197350883229","282"
"1824","123138","","-.2346402078771945","282"
"1913","AGI-5198","IDH1 (R132H)","-.23306252867750701","282"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","-.22875533612923851","282"
"1036","PLX-4720","BRAF","-.18615487879984904","282"
"1915","AZD3759","EGFR","-.13988517953658691","282"
"1835","Elephantin","","-.13241304652151045","282"
"2498","alpha-lipoic acid","Metabolism","-.12426977720626009","282"
"1093","GSK1904529A","IGF1R, IR","-.11999330713226405","282"
"2177","SGC0946","DOT1L","-.11554864544897787","282"
"1866","BDP-00009066","MRCKB_HUMAN","-.099450943454500534","282"
"1916","AZD5363","AKT1, AKT2, AKT3, ROCK2","-.08772592849211934","282"
"2045","AMG-319","PI3K (beta sparing)","-.078761100230325842","282"
"2000","N27922-53-1","","-.072543273512954115","282"
"1091","BMS-536924","IGF1R, IR","-.062302096288149762","282"
"1191","Bortezomib","Proteasome","-.050162415133843202","282"
"1199","Tamoxifen","ESR1","-.04715847223797992","282"
"1783","LMB_AB1","ADRA1A, ADRB1","-.046417142812792397","282"
"2112","VTP-A","","-.035955738495544003","282"
"2359","GSK2830371","WIP1","-.035025094896711427","282"
"1598","LGK974","PORCN","-.030965348012069526","282"
"1630","Entospletinib","SYK","-.028867669159607701","282"
"1510","Linsitinib","IGF1R","-.028033112912618768","282"
"1928","I-BRD9","BRD9","-.027158247867814723","282"
"2107","LJI308","RSK2, RSK1, RSK3","-.02383104814441302","282"
"1940","WIKI4","TNKS1, TNKS2","-.01543866879804366","282"
"1807","Carmustine","","-.015397898599536487","282"
"1718","JAK1_8709","JAK1",".0094974581173301598","282"
"1019","Bosutinib","SRC, ABL, TEC",".026902209901901508","282"
"1786","AZD4547","FGFR1, FGFR2, FGFR3",".040895881737901665","282"
"1840","630600","",".041423888206219117","282"
"1614","WZ4003","NUAK1, NUAK2",".059075469378414784","282"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".073905114203050001","282"
"1927","GSK2578215A","LRRK2",".086710829760752603","282"
"2047","Ulixertinib","ERK1, ERK2",".099812635409883263","282"
"1931","MIRA-1","TP53",".10571428665876975","282"
"1826","50869","",".11133064905422924","282"
"1061","SB590885","BRAF",".1184608933613706","282"
"1634","AGI-6780","IDH2 R140Q mutant",".11965978250273845","282"
"2361","THR-102","Mutant RAS",".12072444856669744","282"
"1576","IWP-2","PORCN",".12316442060367734","282"
"1712","Eg5_9814","KSP11",".13128289586627601","282"
"1268","XAV939","TNKS1, TNKS2",".13149886378699283","282"
"1854","MN-64","TNKS1, TNKS2",".14861838242579198","282"
"2499","N-acetyl cysteine","Metabolism",".14934344429261312","282"
"2002","N30652-18-1","",".16410873810780932","282"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3",".16739003188720949","282"
"1578","Leflunomide","Pyrimidine synthesis inhibitor",".18237422242617432","282"
"1449","AZD1208","PIM1, PIM2, PIM3",".19333569820767665","282"
"1739","JAK_8517","JAK1, JAK2",".20889060713304117","282"
"1029","Motesanib","VEGFR, RET, KIT, PDGFR",".21299935229885009","282"
"1010","Gefitinib","EGFR",".21475973490651371","282"
"1629","ML323","USP1, UAF1",".23117841743166312","282"
"1784","LMB_AB2","GADD34",".23360559922923807","282"
"2111","VE821","ATR",".23366558055893144","282"
"1779","GSK626616AC","DYRK1A",".24555741922817814","282"
"1020","Lenalidomide","CRBN",".24871640881435711","282"
"2156","5-azacytidine","DNA methyltransferases",".25587788875150042","282"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".27112607493114871","282"
"1816","Fulvestrant","ESR",".27604700257595294","282"
"2173","PFI-1","BRD4",".27744674603553843","282"
"2039","AGK2","BAZ2A, BAZ2B",".28317627047540067","282"
"1557","LCL161","XIAP, IAP1, IAP2",".28685616998918317","282"
"1069","EHT-1864","RAC1, RAC2, RAC3",".28813746497313275","282"
"1714","ERK_6604","ERK1,ERK2",".28968365108693234","282"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2",".29082083760827693","282"
"2438","ascorbate (vitamin C)","anti-oxidant proteins",".29864263527766838","282"
"1549","Sapitinib","EGFR, ERBB2, ERBB3",".29864403230934233","282"
"2360","THR-101","Mutant RAS",".29890023474400962","282"
"1814","Nelarabine","",".30037583780262173","282"
"1583","GSK-LSD1","KDM1",".30245311894679794","282"
"1168","Erlotinib","EGFR",".30496317579959908","282"
"1249","BMS-345541","IKK-1, IKK-2",".30678139141385963","282"
"1622","Wnt-C59","PORCN",".30804054631252176","282"
"1089","Oxaliplatin","DNA alkylating agent",".30826860896367103","282"
"1813","Fludarabine","Antimetabolite",".30953144473229288","282"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1",".30983412056753329","282"
"1776","GSK2256098C","FAK1",".31215719882099896","282"
"1713","ERK_2440","ERK1,ERK2",".31694539469914057","282"
"1802","Zoledronate"," ",".3240920358846297","282"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)",".3281856193626268","282"
"1563","EPZ5676","DOT1L",".33270259040668426","282"
"1853","OF-1","BRPF1B, BRPF2",".33602536632076002","282"
"1777","GSK2276186C","JAK1, JAK2, JAK3",".35493981366178168","282"
"1054","Palbociclib","CDK4, CDK6",".35702187082414122","282"
"1507","Ruxolitinib","JAK1, JAK2",".37007612859260236","282"
"1428","IAP_5620","IAP",".3984006846628308","282"
"1512","Cyclophosphamide","Alkylating agent",".40182636734860805","282"
"1926","GNE-317","PI3Kalpha",".40416740519264116","282"
"2038","UNC0638","G9A, GLP",".40431751834295077","282"
"1806","Oxaliplatin","DNA alkylating agent",".40927871629677343","282"
"1780","GSK3337463A","NIK",".4124344232795718","282"
"1060","PD0325901","MEK1, MEK2",".41671020113815233","282"
"1149","TW 37","BCL2, BCL-XL, MCL1",".41855800781138763","282"
"2159","UNC0379","SETD8",".43431979329917014","282"
"1631","PRT062607","SYK",".43781922734660844","282"
"1782","GSK2830371A","PPM1D",".4494013305268893","282"
"2106","Uprosertib","AKT1, AKT2, AKT3",".45268553976353748","282"
"2110","GSK591","PMRT5",".45602516857383474","282"
"1924","Ipatasertib","AKT1, AKT, AKT3",".45958561326248965","282"
"1831","L-Oxonoreleagnine","",".46065155843616173","282"
"1804","Acetalax","",".46245878381357736","282"
"1785","LMB_AB3","PPP1R15B",".47313259470113778","282"
"1013","Nilotinib","ABL",".48241432974865767","282"
"2113","VTP-B","",".48489202048747754","282"
"1463","AZD1332","NTRK1, NTRK2, NTRK3",".49077411746651378","282"
"1175","Rucaparib","PARP1, PARP2",".49837113567313607","282"
"1553","Uprosertib","AKT1, AKT2, AKT3",".50026611985563663","282"
"1560","Alpelisib","PI3Kalpha",".51096300549531926","282"
"1908","Ulixertinib","ERK1, ERK2",".51887376218131964","282"
"1067","CCT007093","PPM1D",".53557947629018987","282"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",".54136493451977363","282"
"1632","Ribociclib","CDK4, CDK6",".56640865881512492","282"
"1918","AZD8186","PI3Kalpha, PI3Kbeta",".57288311971891537","282"
