ID,Drug Name,Targets,Z Score,Count
"1838","Sinularin","","-1.7959707522857777","282"
"1927","GSK2578215A","LRRK2","-1.6760123803619904","282"
"1706","AZD5153","BRD4","-1.4847529578933503","282"
"1149","TW 37","BCL2, BCL-XL, MCL1","-1.4135444501759631","282"
"1812","Bleomycin","dsDNA break induction","-1.233013737110777","282"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT","-1.2324833638850552","282"
"1026","Tanespimycin","HSP90","-1.1706033384559045","282"
"1626","OTX015","BRD2, BRD3, BRD4","-1.1189669485394538","282"
"1803","Acetalax","","-1.0993260931212201","282"
"1060","PD0325901","MEK1, MEK2","-1.0978442139575062","282"
"1784","LMB_AB2","GADD34","-1.0845957173980179","282"
"1131","PRIMA-1MET","TP53 activation","-1.0664738597579826","282"
"2156","5-azacytidine","DNA methyltransferases","-1.051924554167001","282"
"1200","Fulvestrant","ESR","-1.0500002764645775","282"
"1378","Bleomycin (50 uM)","dsDNA break induction","-1.0489530633390889","282"
"1831","L-Oxonoreleagnine","","-1.0058351549748448","282"
"2044","Pyridostatin","G-quadruplex stabiliser","-.9896160534199383","282"
"1614","WZ4003","NUAK1, NUAK2","-.89670187854864047","282"
"1835","Elephantin","","-.87741120418005836","282"
"1008","Methotrexate","Antimetabolite","-.86453332292356999","282"
"1825","Podophyllotoxin bromide","","-.83468985678156393","282"
"2154","GSK-LSD1-2HCl ","LSD1","-.82075370624059574","282"
"1738","IGF1R_3801","IGFR1","-.79876387750044764","282"
"1928","I-BRD9","BRD9","-.78775640201080377","282"
"1804","Acetalax","","-.77468898199037439","282"
"1736","Selumetinib","MEK1, MEK2","-.7629341597548801","282"
"1930","Telomerase Inhibitor IX","Telomerase","-.76098663789993781","282"
"1401","AZD5438","CDK2","-.74809729561434912","282"
"1576","IWP-2","PORCN","-.73392993958037289","282"
"1809","Teniposide","","-.71885864760136298","282"
"1849","Sabutoclax","BCL2,  BCL-XL,  BFL1, MCL1","-.70835886875904264","282"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8","-.69910872713905714","282"
"2439","glutathione","anti-oxidant proteins","-.69431639833690528","282"
"1847","BEN","","-.68821557795498245","282"
"1820","123829","","-.68133128537316989","282"
"1782","GSK2830371A","PPM1D","-.68091157432882221","282"
"1052","RO-3306","CDK1","-.67908896974783495","282"
"1810","Mitoxantrone","TOP2","-.65956884322149623","282"
"1777","GSK2276186C","JAK1, JAK2, JAK3","-.65144290444532038","282"
"2045","AMG-319","PI3K (beta sparing)","-.64574945182331611","282"
"2499","N-acetyl cysteine","Metabolism","-.64269074531898995","282"
"1844","776928","","-.63180632814799054","282"
"1709","CDK9_5038","CDK9","-.6276220369974056","282"
"1594","OSI-027","MTORC1, MTORC2","-.61524428101633555","282"
"1818","Vincristine","","-.59675895213520913","282"
"1780","GSK3337463A","NIK","-.53030781592141718","282"
"1734","VSP34_8731","VSP34","-.51512178142487519","282"
"1808","Topotecan","TOP1","-.51142555291576819","282"
"1564","SCH772984","ERK1, ERK2","-.51055982154518165","282"
"1529","Pevonedistat","NAE","-.50560584276163023","282"
"1816","Fulvestrant","ESR","-.5006650901936639","282"
"1004","Vinblastine","Microtubule destabiliser","-.48998468160072839","282"
"1708","CDK9_5576","CDK9","-.47610322090251844","282"
"1716","IRAK4_4710","IRAK4","-.47406733174248344","282"
"2047","Ulixertinib","ERK1, ERK2","-.44535459617872442","282"
"1624","I-BET-762","BRD2, BRD3, BRD4","-.42496641415609288","282"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","-.41714826308878433","282"
"1733","ULK1_4989","ULK1","-.40516149436351018","282"
"1062","Selumetinib","MEK1, MEK2","-.40113112042856597","282"
"2011","ICL-SIRT078","SIR2","-.40086056185313884","282"
"1783","LMB_AB1","ADRA1A, ADRB1","-.39413165162514907","282"
"1811","Dactinomycin","RNA polymerase","-.37944125349125257","282"
"1428","IAP_5620","IAP","-.37717577250737749","282"
"1615","CZC24832","PI3Kgamma","-.37506992608357526","282"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","-.36368918219089158","282"
"1003","Camptothecin","TOP1","-.35961357969478713","282"
"1925","GDC0810","ESR1, ESR2","-.34901122672221696","282"
"1713","ERK_2440","ERK1,ERK2","-.33701983386015277","282"
"1785","LMB_AB3","PPP1R15B","-.32598780868797639","282"
"1190","Gemcitabine","Pyrimidine antimetabolite","-.32085764730114613","282"
"1046","Wee1 Inhibitor","WEE1, CHEK1","-.31966734915911338","282"
"1038","NU7441","DNAPK","-.3166135848131606","282"
"1563","EPZ5676","DOT1L","-.31400009879634155","282"
"1840","630600","","-.30410084831012729","282"
"1050","ZM447439","AURKA, AURKB","-.29970577989096425","282"
"1712","Eg5_9814","KSP11","-.29616644357275118","282"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV","-.29166329342459196","282"
"1714","ERK_6604","ERK1,ERK2","-.29140251912886234","282"
"1802","Zoledronate"," ","-.28082354557710165","282"
"1014","Refametinib","MEK1, MEK2","-.27632770347020158","282"
"1511","Epirubicin","Anthracycline","-.27474165348203999","282"
"1048","Mirin","MRE11","-.27454999892012982","282"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.2716641086842792","282"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9","-.25081030019524153","282"
"1819","Docetaxel","Microtubule stabiliser","-.24399331616192671","282"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9","-.23163354802313324","282"
"1617","AZD5582","XIAP, cIAP","-.2269735526336093","282"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.21218771511405607","282"
"1806","Oxaliplatin","DNA alkylating agent","-.21209913946001832","282"
"2173","PFI-1","BRD4","-.20623086461231865","282"
"1586","BDILV000379a","BAZ2A, BAZ2B","-.20620467321539943","282"
"2096","VX-11e","ERK2","-.20300999084446483","282"
"1093","GSK1904529A","IGF1R, IR","-.19236080498098992","282"
"2112","VTP-A","","-.18835155578962706","282"
"1005","Cisplatin","DNA crosslinker","-.16634839934772597","282"
"1559","Luminespib","HSP90","-.16131372061393962","282"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","-.15565289853981196","282"
