ID,Drug Name,Targets,Z Score,Count
"1852","LY2109761","TGFB1","-.72359561372184722","181"
"1853","OF-1","BRPF1B, BRPF2","-.44345061304225025","181"
"1062","Selumetinib","MEK1, MEK2","-.40223869832772852","181"
"1060","PD0325901","MEK1, MEK2","-.27679278320653405","181"
"1014","Refametinib","MEK1, MEK2","-.25313035533617562","181"
"1908","Ulixertinib","ERK1, ERK2","-.24462653167637646","181"
"1564","SCH772984","ERK1, ERK2","-.19928577207774215","181"
"1941","Sepantronium bromide","BIRC5","-.18751000029924605","181"
"2110","GSK591","PMRT5","-.12490680125958892","181"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT","-.12343156584953964","181"
"1622","Wnt-C59","PORCN","-.10069652875985909","181"
"2096","VX-11e","ERK2","-.099174057107140959","181"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.000065470635576668059","181"
"1069","EHT-1864","RAC1, RAC2, RAC3",".087704687607959422","181"
"1372","Trametinib","MEK1, MEK2",".094651667561011163","181"
"1915","AZD3759","EGFR",".1520928009585242","181"
"1373","Dabrafenib","BRAF",".16103208211888845","181"
"1849","Sabutoclax","BCL2,  BCL-XL,  BFL1, MCL1",".17407869015148492","181"
"1129","PF-4708671","S6K1",".25618373325889143","181"
"1091","BMS-536924","IGF1R, IR",".34661511511558035","181"
"1190","Gemcitabine","Pyrimidine antimetabolite",".40542735028200932","181"
"1529","Pevonedistat","NAE",".41208766743661668","181"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT",".42649491150552832","181"
"1088","Irinotecan","TOP1",".48411920920199969","181"
"1248","Daporinad","NAMPT",".51843977626299098","181"
"1067","CCT007093","PPM1D",".56755473378812249","181"
"1940","WIKI4","TNKS1, TNKS2",".57701036574717335","181"
"1086","BI-2536","PLK1, PLK2, PLK3",".57779027142358641","181"
"1629","ML323","USP1, UAF1",".59580015739895742","181"
"1249","BMS-345541","IKK-1, IKK-2",".60292996676558563","181"
"2111","VE821","ATR",".6080634726327937","181"
"2171","BMS-754807","IGF1R, IR",".61438980504377849","181"
"2045","AMG-319","PI3K (beta sparing)",".61542926318685687","181"
"1052","RO-3306","CDK1",".63331094858732806","181"
"1036","PLX-4720","BRAF",".65078832176695511","181"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)",".66763062667353013","181"
"1375","Temozolomide","DNA alkylating agent",".6803445601925624","181"
"1854","MN-64","TNKS1, TNKS2",".68646979621638304","181"
"1932","NVP-ADW742","IGF1R",".7144792217880801","181"
"1624","I-BET-762","BRD2, BRD3, BRD4",".73793222086672039","181"
"1043","JNK Inhibitor VIII","JNK",".75025266165811211","181"
"1038","NU7441","DNAPK",".77017238434034918","181"
