ID,Drug Name,Targets,Z Score,Count
"2439","glutathione","anti-oxidant proteins","-1.3246950144740639","171"
"1941","Sepantronium bromide","BIRC5","-1.1812993233232965","171"
"1022","AZD7762","CHEK1, CHEK2","-1.1325792498519249","171"
"2148","POMHEX","","-1.1231114221155216","171"
"1179","MK-1775","WEE1, PLK1","-1.0628541361772414","171"
"1010","Gefitinib","EGFR","-.97721219056483299","171"
"2112","VTP-A","","-.89633704364542766","171"
"1034","Staurosporine","Broad spectrum kinase inhibitor","-.84005003890266783","171"
"1019","Bosutinib","SRC, ABL, TEC","-.82958750013662463","171"
"1149","TW 37","BCL2, BCL-XL, MCL1","-.7426219001435842","171"
"1008","Methotrexate","Antimetabolite","-.74101578010264502","171"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT","-.73811981711855401","171"
"1060","PD0325901","MEK1, MEK2","-.72837519787137028","171"
"2113","VTP-B","","-.70365411117318999","171"
"1190","Gemcitabine","Pyrimidine antimetabolite","-.67554453605615872","171"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-.64873785017959007","171"
"1997","WEHI-539","BCL-XL","-.64334019639112017","171"
"2046","MK-8776","CHEK1, CHEK2, CDK2","-.64170234193257281","171"
"2047","Ulixertinib","ERK1, ERK2","-.54461406549415547","171"
"2157","A-366","EHMT1, EHMT2","-.54443539386385464","171"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-.54167086117812036","171"
"2038","UNC0638","G9A, GLP","-.52853415432149087","171"
"1042","Doramapimod","p38, JNK2","-.52727940393601314","171"
"1069","EHT-1864","RAC1, RAC2, RAC3","-.51238629820844461","171"
"1564","SCH772984","ERK1, ERK2","-.48442018924713254","171"
"1030","KU-55933","ATM","-.47587340012191354","171"
"1915","AZD3759","EGFR","-.43237744268867567","171"
"1598","LGK974","PORCN","-.43045216787476132","171"
"1996","MIM1","MCL1","-.42697764631206342","171"
"2360","THR-101","Mutant RAS","-.41791717880107593","171"
"1939","UMI-77","MCL1","-.37825127644115486","171"
"1594","OSI-027","MTORC1, MTORC2","-.35260223017176856","171"
"1248","Daporinad","NAMPT","-.32654477430056156","171"
"2171","BMS-754807","IGF1R, IR","-.28519199584531552","171"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","-.27171983055685228","171"
"1032","Afatinib","EGFR, ERBB2","-.23172288643080141","171"
"2045","AMG-319","PI3K (beta sparing)","-.21969244694344761","171"
"1038","NU7441","DNAPK","-.21598047728816655","171"
"2177","SGC0946","DOT1L","-.21490162540023028","171"
"1014","Refametinib","MEK1, MEK2","-.20036100650987981","171"
"1558","Lapatinib","EGFR, ERBB2","-.19452954227095856","171"
"2111","VE821","ATR","-.18193033278101775","171"
"2499","N-acetyl cysteine","Metabolism","-.17090267562939077","171"
"1918","AZD8186","PI3Kalpha, PI3Kbeta","-.16389645418887167","171"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-.16161782104075739","171"
"1917","AZD6738","ATR","-.15735413809193455","171"
"1058","Pictilisib","PI3K (class 1)","-.13971908988383699","171"
"1936","Savolitinib","MET","-.121358440508146","171"
"1080","Paclitaxel","Microtubule stabiliser","-.08871718706450811","171"
"1930","Telomerase Inhibitor IX","Telomerase","-.07544306112004881","171"
"2096","VX-11e","ERK2","-.070036703116759663","171"
"1375","Temozolomide","DNA alkylating agent","-.069032182903342829","171"
"1919","Osimertinib","EGFR","-.060466542849075634","171"
"1046","Wee1 Inhibitor","WEE1, CHEK1","-.043263100725409481","171"
"1168","Erlotinib","EGFR","-.042895758680575193","171"
"2003","N29087-69-1","","-.040445041988920696","171"
"1372","Trametinib","MEK1, MEK2","-.038106745938638435","171"
"1494","SN-38","TOP1","-.036546254746584676","171"
