ID,Drug Name,Targets,Z Score,Count
"1933","P22077","USP7, USP47","-1.639024132124369","281"
"1940","WIKI4","TNKS1, TNKS2","-1.6337795901144818","281"
"1804","Acetalax","","-1.4784280309136939","281"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2","-1.1037609586647363","281"
"1941","Sepantronium bromide","BIRC5","-1.083883965269258","281"
"1820","123829","","-1.0566009216739645","281"
"1803","Acetalax","","-1.0546548781053799","281"
"1908","Ulixertinib","ERK1, ERK2","-1.0452979064969843","281"
"1911","Dactinomycin","RNA polymerase","-1.042191749498488","281"
"1613","VE-822","ATR","-.98150610354520074","281"
"1926","GNE-317","PI3Kalpha","-.94865528007796074","281"
"2109","AZ6102","TNKS1, TNKS2","-.94166269598231234","281"
"1014","Refametinib","MEK1, MEK2","-.93436418595386894","281"
"1237","EPZ004777","DOT1L","-.93178168845947595","281"
"1060","PD0325901","MEK1, MEK2","-.8865701906507526","281"
"1062","Selumetinib","MEK1, MEK2","-.87877998133895441","281"
"1091","BMS-536924","IGF1R, IR","-.86210584232391285","281"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","-.84600398965917989","281"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.82672059300993705","281"
"1828","720427","","-.79823946947280844","281"
"1734","VSP34_8731","VSP34","-.79554097247649824","281"
"2171","BMS-754807","IGF1R, IR","-.76961760450981176","281"
"1816","Fulvestrant","ESR","-.76894111597895232","281"
"1627","GSK343","EZH2","-.76543252544349583","281"
"1917","AZD6738","ATR","-.71975155986810435","281"
"1010","Gefitinib","EGFR","-.68484934943187836","281"
"1806","Oxaliplatin","DNA alkylating agent","-.67878656014943961","281"
"2055","Mycophenolic acid","","-.64613478782964717","281"
"2156","5-azacytidine","DNA methyltransferases","-.63409600820907908","281"
"1708","CDK9_5576","CDK9","-.62294802924604797","281"
"1918","AZD8186","PI3Kalpha, PI3Kbeta","-.62168986007044769","281"
"1372","Trametinib","MEK1, MEK2","-.60141731177167501","281"
"1594","OSI-027","MTORC1, MTORC2","-.58047258964780279","281"
"1930","Telomerase Inhibitor IX","Telomerase","-.58042271756518149","281"
"1812","Bleomycin","dsDNA break induction","-.55792454746054732","281"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-.54821498267153923","281"
"2039","AGK2","BAZ2A, BAZ2B","-.54464822555614689","281"
"1200","Fulvestrant","ESR","-.5333916295916884","281"
"1936","Savolitinib","MET","-.5287526902047518","281"
"1026","Tanespimycin","HSP90","-.5042716878452278","281"
"1016","Temsirolimus","MTOR","-.5001747559991071","281"
"1996","MIM1","MCL1","-.50011190007901385","281"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","-.48204214404202167","281"
"1401","AZD5438","CDK2","-.4818860998171437","281"
"1576","IWP-2","PORCN","-.48024512876702607","281"
"1042","Doramapimod","p38, JNK2","-.47450606297840392","281"
"2111","VE821","ATR","-.46768659528726131","281"
"2173","PFI-1","BRD4","-.46160622146806851","281"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT","-.44469144370542452","281"
"1564","SCH772984","ERK1, ERK2","-.43780758242166701","281"
"1030","KU-55933","ATM","-.43181686074319225","281"
"1089","Oxaliplatin","DNA alkylating agent","-.43031962843122279","281"
"1807","Carmustine","","-.42574390009431884","281"
"1736","Selumetinib","MEK1, MEK2","-.41067225836952187","281"
"1925","GDC0810","ESR1, ESR2","-.40984444721383867","281"
"1511","Epirubicin","Anthracycline","-.40285287869195008","281"
"1843","LMP744","TOP1","-.39698930041746783","281"
"1821","765771","","-.38891348583858493","281"
"2043","BIBR-1532","TERT","-.37933590147515273","281"
"1441","AZD2014","mTORC1, mTORC2","-.36789214133897985","281"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-.35524389131057077","281"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W","-.32463318556117704","281"
"1810","Mitoxantrone","TOP2","-.30797552314831661","281"
"2177","SGC0946","DOT1L","-.30726948052771941","281"
"1529","Pevonedistat","NAE","-.30202016214848226","281"
"1811","Dactinomycin","RNA polymerase","-.30076328115508694","281"
"1808","Topotecan","TOP1","-.29162512326292428","281"
"1059","AZD8055","MTORC1, MTORC2","-.27615003837593527","281"
"1006","Cytarabine","Antimetabolite","-.26908656008439191","281"
"1931","MIRA-1","TP53","-.2526735872415668","281"
"1784","LMB_AB2","GADD34","-.24647043371887081","281"
"1003","Camptothecin","TOP1","-.24123848991214025","281"
"1866","BDP-00009066","MRCKB_HUMAN","-.23075596092015765","281"
"1835","Elephantin","","-.21001779988698671","281"
"2159","UNC0379","SETD8","-.17536548393593734","281"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9","-.16873800189802426","281"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2","-.15897199789860095","281"
"2096","VX-11e","ERK2","-.15099623887013597","281"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","-.13560013747897229","281"
"1924","Ipatasertib","AKT1, AKT, AKT3","-.13386510003708091","281"
