ID,Drug Name,Targets,Z Score,Count
"1714","ERK_6604","ERK1,ERK2","-2.37507619057686","282"
"1908","Ulixertinib","ERK1, ERK2","-2.080060724791196","282"
"1713","ERK_2440","ERK1,ERK2","-2.0226197315563432","282"
"2096","VX-11e","ERK2","-1.8538999188741576","282"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-1.7668602688686883","282"
"1564","SCH772984","ERK1, ERK2","-1.7394023326209913","282"
"1821","765771","","-1.6072988701357598","282"
"1736","Selumetinib","MEK1, MEK2","-1.5601262396030982","282"
"1008","Methotrexate","Antimetabolite","-1.494302208632543","282"
"1014","Refametinib","MEK1, MEK2","-1.4857297067989839","282"
"1060","PD0325901","MEK1, MEK2","-1.4750105502876492","282"
"1061","SB590885","BRAF","-1.4343591869012307","282"
"1372","Trametinib","MEK1, MEK2","-1.3342500206392731","282"
"2047","Ulixertinib","ERK1, ERK2","-1.3288248296577441","282"
"1005","Cisplatin","DNA crosslinker","-1.2303777617449476","282"
"1998","BPD-00008900","","-1.1938871508970617","282"
"1913","AGI-5198","IDH1 (R132H)","-1.1029881639062846","282"
"1373","Dabrafenib","BRAF","-1.0522151076280761","282"
"1802","Zoledronate"," ","-1.0276764305672266","282"
"1190","Gemcitabine","Pyrimidine antimetabolite","-1.0185310315037075","282"
"1062","Selumetinib","MEK1, MEK2","-.97496903896001264","282"
"1930","Telomerase Inhibitor IX","Telomerase","-.89962472857382181","282"
"1149","TW 37","BCL2, BCL-XL, MCL1","-.88740583995202094","282"
"1866","BDP-00009066","MRCKB_HUMAN","-.87665726757298579","282"
"1511","Epirubicin","Anthracycline","-.81069973114005622","282"
"2156","5-azacytidine","DNA methyltransferases","-.79332556930938447","282"
"1006","Cytarabine","Antimetabolite","-.7597336582260974","282"
"1941","Sepantronium bromide","BIRC5","-.7512409969580055","282"
"1844","776928","","-.72979867369977403","282"
"1088","Irinotecan","TOP1","-.72594552900871656","282"
"1939","UMI-77","MCL1","-.65619815559147188","282"
"1925","GDC0810","ESR1, ESR2","-.63132114352825819","282"
"2002","N30652-18-1","","-.62785815947396484","282"
"1996","MIM1","MCL1","-.62761412266085226","282"
"1249","BMS-345541","IKK-1, IKK-2","-.61785044271608824","282"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.61606470158614879","282"
"1862","MG-132","Proteasome, CAPN1","-.5778618184927411","282"
"1401","AZD5438","CDK2","-.56279640703588929","282"
"1089","Oxaliplatin","DNA alkylating agent","-.54636231285618297","282"
"1708","CDK9_5576","CDK9","-.54632878839464671","282"
"1855","KRAS (G12C) Inhibitor-12","KRAS (G12C)","-.53806067426326354","282"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT","-.51401134770042956","282"
"2110","GSK591","PMRT5","-.50463608594017573","282"
"1131","PRIMA-1MET","TP53 activation","-.49969745750471911","282"
"1559","Luminespib","HSP90","-.48918208390820805","282"
"1709","CDK9_5038","CDK9","-.48485699892887113","282"
"1835","Elephantin","","-.45864027327693202","282"
"1248","Daporinad","NAMPT","-.45736490207844033","282"
"1614","WZ4003","NUAK1, NUAK2","-.39439296845902649","282"
"1034","Staurosporine","Broad spectrum kinase inhibitor","-.37961149898039143","282"
"1004","Vinblastine","Microtubule destabiliser","-.36164016321100217","282"
"1259","Talazoparib","PARP1, PARP2","-.33774837748125841","282"
"1026","Tanespimycin","HSP90","-.32971991694060487","282"
"1843","LMP744","TOP1","-.32592631376532838","282"
"1598","LGK974","PORCN","-.32143280653233564","282"
"1718","JAK1_8709","JAK1","-.32085333045436137","282"
"1732","TAF1_5496","TAF1","-.3109889266660783","282"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","-.30556796375536366","282"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","-.30198476933044582","282"
"2048","Vinorelbine","Microtubule destabiliser","-.23895872536274421","282"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-.23767887412602465","282"
"1239","YK-4-279","RNA helicase A","-.23400837594376303","282"
"1739","JAK_8517","JAK1, JAK2","-.23299245270848473","282"
"1091","BMS-536924","IGF1R, IR","-.22177672740165896","282"
"2177","SGC0946","DOT1L","-.2185465191647922","282"
"1854","MN-64","TNKS1, TNKS2","-.20197625871753164","282"
"2039","AGK2","BAZ2A, BAZ2B","-.19979995869864292","282"
"1080","Paclitaxel","Microtubule stabiliser","-.19855148603266393","282"
"1003","Camptothecin","TOP1","-.19316842969906498","282"
"1615","CZC24832","PI3Kgamma","-.19249911642182477","282"
"1730","PAK_5339","PAK1, PAK2","-.18450363491193622","282"
"1512","Cyclophosphamide","Alkylating agent","-.16702661869265606","282"
"1853","OF-1","BRPF1B, BRPF2","-.15716419252567662","282"
"1927","GSK2578215A","LRRK2","-.14621824532797231","282"
"1940","WIKI4","TNKS1, TNKS2","-.14488694232671026","282"
"1018","Veliparib","PARP1, PARP2","-.14286585926813844","282"
"1806","Oxaliplatin","DNA alkylating agent","-.13325040363032947","282"
"1809","Teniposide","","-.13240968105623935","282"
"1911","Dactinomycin","RNA polymerase","-.11903159678054583","282"
"1847","BEN","","-.10894321972854612","282"
"1199","Tamoxifen","ESR1","-.099653742113250704","282"
"2003","N29087-69-1","","-.08718978942960344","282"
"1733","ULK1_4989","ULK1","-.06221907054740422","282"
"2173","PFI-1","BRD4","-.062206493303236014","282"
"1191","Bortezomib","Proteasome","-.050968384439630254","282"
"1813","Fludarabine","Antimetabolite","-.043885978773924875","282"
