ID,Drug Name,Targets,Z Score,Count
"1069","EHT-1864","RAC1, RAC2, RAC3","-.98932682431209906","171"
"1026","Tanespimycin","HSP90","-.96026061440078703","171"
"2110","GSK591","PMRT5","-.72270921978928415","171"
"2046","MK-8776","CHEK1, CHEK2, CDK2","-.71620648042335244","171"
"2177","SGC0946","DOT1L","-.70480746661096105","171"
"1191","Bortezomib","Proteasome","-.61464294475002801","171"
"1598","LGK974","PORCN","-.61348707589256113","171"
"2039","AGK2","BAZ2A, BAZ2B","-.54831053087478088","171"
"1925","GDC0810","ESR1, ESR2","-.53801174597075063","171"
"1559","Luminespib","HSP90","-.3572463822123097","171"
"1022","AZD7762","CHEK1, CHEK2","-.33429321338806217","171"
"2499","N-acetyl cysteine","Metabolism","-.2927141508071418","171"
"1093","GSK1904529A","IGF1R, IR","-.26957683502971241","171"
"1175","Rucaparib","PARP1, PARP2","-.26518041015987559","171"
"1862","MG-132","Proteasome, CAPN1","-.25274575086737722","171"
"1512","Cyclophosphamide","Alkylating agent","-.24099601734102774","171"
"2003","N29087-69-1","","-.21316355855520874","171"
"1062","Selumetinib","MEK1, MEK2","-.12978192829536442","171"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF","-.089949062061677035","171"
"1913","AGI-5198","IDH1 (R132H)","-.084546957297232717","171"
"2154","GSK-LSD1-2HCl ","LSD1","-.047012219660828143","171"
"1927","GSK2578215A","LRRK2","-.028210851025151407","171"
"1200","Fulvestrant","ESR","-.01623950077577252","171"
"2439","glutathione","anti-oxidant proteins","-.0055467303843986975","171"
"1014","Refametinib","MEK1, MEK2",".0064104706616592974","171"
"1060","PD0325901","MEK1, MEK2",".013803419287668373","171"
"1043","JNK Inhibitor VIII","JNK",".090317254554912602","171"
"2000","N27922-53-1","",".14944433346155034","171"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3",".1733796103845304","171"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1",".17386709248583582","171"
"1996","MIM1","MCL1",".22961962070379591","171"
"1018","Veliparib","PARP1, PARP2",".28682157230361904","171"
"1005","Cisplatin","DNA crosslinker",".28975930763558866","171"
"1908","Ulixertinib","ERK1, ERK2",".2995129585752051","171"
"1237","EPZ004777","DOT1L",".30698470726847588","171"
"1928","I-BRD9","BRD9",".30885100692122613","171"
"1549","Sapitinib","EGFR, ERBB2, ERBB3",".30896668325536969","171"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".31580842867959996","171"
"2002","N30652-18-1","",".31778262797651108","171"
"1529","Pevonedistat","NAE",".354780074371983","171"
"1033","Vismodegib","SMO",".36941994276148832","171"
"1372","Trametinib","MEK1, MEK2",".38791437191181438","171"
"1017","Olaparib","PARP1, PARP2",".39166415544791794","171"
"1564","SCH772984","ERK1, ERK2",".40737907119741024","171"
"1047","Nutlin-3a (-)","MDM2",".43074814211111223","171"
"1030","KU-55933","ATM",".4316228866161313","171"
"1494","SN-38","TOP1",".43518005513522084","171"
"1919","Osimertinib","EGFR",".45427534594858904","171"
