ID,Drug Name,Targets,Z Score,Count
"1248","Daporinad","NAMPT","-.63031357728348558","282"
"1932","NVP-ADW742","IGF1R","-.4432337272173838","282"
"1529","Pevonedistat","NAE","-.3089052048186206","282"
"1831","L-Oxonoreleagnine","","-.27997391376337388","282"
"1091","BMS-536924","IGF1R, IR","-.26997786593912876","282"
"2148","POMHEX","","-.24062802950239326","282"
"1828","720427","","-.21697485393938876","282"
"2157","A-366","EHMT1, EHMT2","-.18477529102654941","282"
"1852","LY2109761","TGFB1","-.16924000466121078","282"
"2171","BMS-754807","IGF1R, IR","-.13450907717926502","282"
"1190","Gemcitabine","Pyrimidine antimetabolite","-.10808765291746794","282"
"1833","741909","","-.08463842331477392","282"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-.076258075574137538","282"
"1939","UMI-77","MCL1","-.028184863700641501","282"
"1560","Alpelisib","PI3Kalpha",".01351109592904081","282"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",".025620362160080908","282"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".052228140507128144","282"
"2044","Pyridostatin","G-quadruplex stabiliser",".063006038943107273","282"
"1844","776928","",".070067546432734482","282"
"1853","OF-1","BRPF1B, BRPF2",".087268692495142686","282"
"1016","Temsirolimus","MTOR",".095618648431125955","282"
"1008","Methotrexate","Antimetabolite",".10702921874714455","282"
"2159","UNC0379","SETD8",".1303801231614396","282"
"1808","Topotecan","TOP1",".1334204377205539","282"
"1810","Mitoxantrone","TOP2",".17427224010413658","282"
"1510","Linsitinib","IGF1R",".18097129728885814","282"
"1830","Gallibiscoquinazole","",".18256621689882491","282"
"1549","Sapitinib","EGFR, ERBB2, ERBB3",".22477361947142052","282"
"1378","Bleomycin (50 uM)","dsDNA break induction",".22486140645399763","282"
"1834","743380","",".23967461269163748","282"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2",".24690729438901973","282"
"1804","Acetalax","",".24753972073769853","282"
"1930","Telomerase Inhibitor IX","Telomerase",".29970396686892481","282"
"2499","N-acetyl cysteine","Metabolism",".30697052025073029","282"
"1006","Cytarabine","Antimetabolite",".31945523191529346","282"
"1014","Refametinib","MEK1, MEK2",".32864619717551435","282"
"1926","GNE-317","PI3Kalpha",".35281868916607712","282"
"1058","Pictilisib","PI3K (class 1)",".38602214940106833","282"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",".39927592054987038","282"
"1026","Tanespimycin","HSP90",".43511880329098723","282"
"1149","TW 37","BCL2, BCL-XL, MCL1",".4449415046050324","282"
"1003","Camptothecin","TOP1",".45763111393409572","282"
"1032","Afatinib","EGFR, ERBB2",".46207883204415712","282"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3",".46389864171677059","282"
"1814","Nelarabine","",".4788532717298537","282"
"1594","OSI-027","MTORC1, MTORC2",".47890278542384745","282"
"1843","LMP744","TOP1",".49356805277836913","282"
"1175","Rucaparib","PARP1, PARP2",".49802668092681901","282"
"1803","Acetalax","",".51752022290061828","282"
"1133","Serdemetan","MDM2",".52366775033053903","282"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2",".52630649140023666","282"
"1827","Dihydrorotenone","",".5312581735028824","282"
"1013","Nilotinib","ABL",".54373420534404648","282"
"1033","Vismodegib","SMO",".54775384902108626","282"
"2011","ICL-SIRT078","SIR2",".56662714047860163","282"
"1036","PLX-4720","BRAF",".57376362696985295","282"
"1785","LMB_AB3","PPP1R15B",".5860110547858759","282"
"1821","765771","",".59374000119459269","282"
"1088","Irinotecan","TOP1",".5976784711457418","282"
"1824","123138","",".59796851280276531","282"
"2002","N30652-18-1","",".59821500143408057","282"
"1618","GSK2606414","PERK",".61968653645429939","282"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF",".62817568819480341","282"
"1069","EHT-1864","RAC1, RAC2, RAC3",".63286305002049104","282"
"1829","667880","",".65194529458985961","282"
"1449","AZD1208","PIM1, PIM2, PIM3",".65500695052493452","282"
"1049","PD173074","FGFR1, FGFR2, FGFR3",".65587505616477737","282"
"1862","MG-132","Proteasome, CAPN1",".66167465955936089","282"
"2177","SGC0946","DOT1L",".66177729657445106","282"
"1561","Taselisib","PI3K (beta sparing)",".67708639766821488","282"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".69866537349522695","282"
"2010","HKMTI-1-005","",".69913100150895435","282"
"1811","Dactinomycin","RNA polymerase",".71404059820274046","282"
"1401","AZD5438","CDK2",".72146895442823367","282"
"1614","WZ4003","NUAK1, NUAK2",".73329913062593821","282"
"1598","LGK974","PORCN",".74735140295386127","282"
"1866","BDP-00009066","MRCKB_HUMAN",".75979539253515438","282"
"2154","GSK-LSD1-2HCl ","LSD1",".77637172655181319","282"
"1062","Selumetinib","MEK1, MEK2",".78216445361652664","282"
"1732","TAF1_5496","TAF1",".79273031665190286","282"
"1054","Palbociclib","CDK4, CDK6",".79606358973818991","282"
"1816","Fulvestrant","ESR",".81226183027655552","282"
"1734","VSP34_8731","VSP34",".81699293323214539","282"
"1191","Bortezomib","Proteasome",".81952040731433473","282"
"1059","AZD8055","MTORC1, MTORC2",".82590958685758564","282"
"2038","UNC0638","G9A, GLP",".84253832279269225","282"
"1019","Bosutinib","SRC, ABL, TEC",".84452081741977292","282"
"1034","Staurosporine","Broad spectrum kinase inhibitor",".84868065501268097","282"
"1061","SB590885","BRAF",".85722235974060801","282"
"1053","MK-2206","AKT1, AKT2",".86773753947972465","282"
"1832","729189","",".87511684097664211","282"
"2037","GSK343","EZH2",".90732757646641948","282"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9",".91409019706359862","282"
"1089","Oxaliplatin","DNA alkylating agent",".91867684717376052","282"
"1259","Talazoparib","PARP1, PARP2",".92662953323444164","282"
"1179","MK-1775","WEE1, PLK1",".92716355211851598","282"
"1738","IGF1R_3801","IGFR1",".93105615111580486","282"
"1806","Oxaliplatin","DNA alkylating agent",".93842452620512185","282"
"2156","5-azacytidine","DNA methyltransferases",".94043546948668699","282"
"1463","AZD1332","NTRK1, NTRK2, NTRK3",".9536954652632107","282"
"1060","PD0325901","MEK1, MEK2",".95526023787831549","282"
"1559","Luminespib","HSP90",".95552156977710512","282"
"1941","Sepantronium bromide","BIRC5",".95618806158980796","282"
"1083","Crizotinib","MET, ALK, ROS1",".98165696225125576","282"
"1809","Teniposide","",".994388220770001","282"
"1018","Veliparib","PARP1, PARP2","1.0005749056463988","282"
"1177","Niraparib","PARP1, PARP2","1.0020518044039488","282"
"1799","Ibrutinib","BTK","1.0203015485764431","282"
"1733","ULK1_4989","ULK1","1.02198078140912","282"
"2055","Mycophenolic acid","","1.0327229091598569","282"
"1557","LCL161","XIAP, IAP1, IAP2","1.0359007139735796","282"
"1776","GSK2256098C","FAK1","1.0380877033350808","282"
"2113","VTP-B","","1.0587290994683278","282"
"2158","CPI-637","EP300","1.0627838151068567","282"
"2112","VTP-A","","1.0640648863775968","282"
"1716","IRAK4_4710","IRAK4","1.073770868342433","282"
"2439","glutathione","anti-oxidant proteins","1.0803296079025664","282"
"1563","EPZ5676","DOT1L","1.0874475116322313","282"
"1511","Epirubicin","Anthracycline","1.0896770984410418","282"
"1634","AGI-6780","IDH2 R140Q mutant","1.094332755147954","282"
"1784","LMB_AB2","GADD34","1.1082243959585341","282"
"1918","AZD8186","PI3Kalpha, PI3Kbeta","1.1085560825681526","282"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","1.1373722286075392","282"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","1.1425660818143704","282"
"1564","SCH772984","ERK1, ERK2","1.1508853620320101","282"
"1428","IAP_5620","IAP","1.1513610843566719","282"
"1720","AZD5991","MCL1","1.1557392152948656","282"
"1849","Sabutoclax","BCL2,  BCL-XL,  BFL1, MCL1","1.1688239139053258","282"
"1783","LMB_AB1","ADRA1A, ADRB1","1.1853175427205158","282"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","1.1972957007901015","282"
"1441","AZD2014","mTORC1, mTORC2","1.2109873543245979","282"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","1.2205974977185468","282"
"1373","Dabrafenib","BRAF","1.223465916061014","282"
"2039","AGK2","BAZ2A, BAZ2B","1.2244273670150587","282"
"1629","ML323","USP1, UAF1","1.2261482603059337","282"
"1782","GSK2830371A","PPM1D","1.2341391791016303","282"
"1820","123829","","1.2351278886160861","282"
"1268","XAV939","TNKS1, TNKS2","1.2474880004223112","282"
"1812","Bleomycin","dsDNA break induction","1.2477607253770593","282"
"1047","Nutlin-3a (-)","MDM2","1.2671083239689311","282"
"1813","Fludarabine","Antimetabolite","1.2823216739495191","282"
"1739","JAK_8517","JAK1, JAK2","1.2994322839396177","282"
"1815","Dacarbazine","CP11A","1.3059055279581775","282"
"1578","Leflunomide","Pyrimidine synthesis inhibitor","1.3082765409659658","282"
"1052","RO-3306","CDK1","1.3129592657053351","282"
"1836","150412","","1.3146670433476573","282"
"1086","BI-2536","PLK1, PLK2, PLK3","1.3236948303748812","282"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8","1.3416235021875373","282"
"1168","Erlotinib","EGFR","1.3453907993668168","282"
"2003","N29087-69-1","","1.3543750418223581","282"
"1046","Wee1 Inhibitor","WEE1, CHEK1","1.3545306344588874","282"
"1840","630600","","1.3571977382544973","282"
"1249","BMS-345541","IKK-1, IKK-2","1.3591613904695068","282"
"1624","I-BET-762","BRD2, BRD3, BRD4","1.3716677701714262","282"
"1928","I-BRD9","BRD9","1.3770664661744816","282"
"1779","GSK626616AC","DYRK1A","1.3837880421007394","282"
"1627","GSK343","EZH2","1.3906163537043823","282"
"1576","IWP-2","PORCN","1.4004395344646916","282"
"1924","Ipatasertib","AKT1, AKT, AKT3","1.4239597021323533","282"
"1051","Alisertib","AURKA","1.4558707223488989","282"
"1632","Ribociclib","CDK4, CDK6","1.4571523214490247","282"
"2000","N27922-53-1","","1.46928161869245","282"
"1708","CDK9_5576","CDK9","1.4723269588491568","282"
"1908","Ulixertinib","ERK1, ERK2","1.47760211685631","282"
"1910","ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1","1.4785836889693398","282"
"1778","GSK2110183B","AKT1, AKT2, AKT3","1.4830805923708801","282"
"1586","BDILV000379a","BAZ2A, BAZ2B","1.4831562483342908","282"
