Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","HPAF-II","724869","PAAD","pancreas","pancreas","-.19336972276957912",".93973406917433544",".10000000000000001",".075445222570446779","1.1248799345547102","GDSC2"
"Camptothecin","1003","MIA-PaCa-2","724870","PAAD","pancreas","pancreas","-2.9198708704764815",".82064112809524126",".10000000000000001",".10495676291536532","-.35961357969478713","GDSC2"
"Camptothecin","1003","KP-4","753572","PAAD","pancreas","pancreas","-3.2787720636112043",".8058436833047482",".10000000000000001",".086163902608968349","-.55502391132549156","GDSC2"
"Camptothecin","1003","MZ1-PC","753595","PAAD","pancreas","pancreas","-.41800052145467764",".91165023796218925",".10000000000000001",".069934203670950185","1.0025755797484892","GDSC2"
"Camptothecin","1003","CAPAN-1","753624","PAAD","pancreas","pancreas","-3.147629332062476",".78102357623869456",".10000000000000001",".096256681649634357","-.48362084788325377","GDSC2"
"Camptothecin","1003","BxPC-3","906693","PAAD","pancreas","pancreas","-.63712408819077304",".93651649925912417",".10000000000000001",".068277246812282422",".88326973829944744","GDSC2"
"Camptothecin","1003","CFPAC-1","906821","PAAD","pancreas","pancreas","-3.521542238092898",".73164633526193024",".10000000000000001",".09866637751647063","-.68720458169652598","GDSC2"
"Camptothecin","1003","HuP-T3","907285","PAAD","pancreas","pancreas","-.8289435210200965",".89968090302189319",".10000000000000001",".094980665304511769",".77883013291668857","GDSC2"
"Camptothecin","1003","HuP-T4","907286","PAAD","pancreas","pancreas","-3.9447050548713407",".71383498110661314",".10000000000000001",".12567473959824624","-.91760333194369659","GDSC2"
"Camptothecin","1003","YAPC","909904","PAAD","pancreas","pancreas","-1.4188750266091363",".86422099042728262",".10000000000000001",".083138794096953864",".45763111393409572","GDSC2"
"Camptothecin","1003","PSN1","910546","PAAD","pancreas","pancreas","-2.61416869789204",".82332388116946542",".10000000000000001",".09280272840542686","-.19316842969906498","GDSC2"
"Camptothecin","1003","AsPC-1","910702","PAAD","pancreas","pancreas","2.9334709761194824",".95410739743363393",".10000000000000001",".074715267239065894","2.8273456538507014","GDSC2"
"Camptothecin","1003","SW1990","910907","PAAD","pancreas","pancreas","-1.187091240317643",".91551770498100704",".10000000000000001",".0687370983295158",".58383004392438742","GDSC2"
"Camptothecin","1003","CAPAN-2","910915","PAAD","pancreas","pancreas","2.9366366372888821",".97941716674044788",".10000000000000001",".049348844890373465","2.8290692560865698","GDSC2"
"Camptothecin","1003","PANC-03-27","925346","PAAD","pancreas","pancreas","-1.8903360090933732",".88364311288624653",".10000000000000001",".085186590885059157",".20093554228243021","GDSC2"
"Camptothecin","1003","PANC-08-13","925347","PAAD","pancreas","pancreas","2.2314050155514864",".98395944240691779",".10000000000000001",".049094020944274792","2.4450929759396445","GDSC2"
"Camptothecin","1003","PANC-10-05","925348","PAAD","pancreas","pancreas","-1.4606616275885469",".82255353251947771",".10000000000000001",".12635661449805849",".43487963327228191","GDSC2"
"Camptothecin","1003","PA-TU-8988T","1240201","PAAD","pancreas","pancreas","-1.3988708866670594",".92256092568155179",".10000000000000001",".074009636507882864",".46852273451057269","GDSC2"
"Camptothecin","1003","SU8686","1240218","PAAD","pancreas","pancreas","1.41493470794983",".97058959891293706",".10000000000000001",".05096343403174592","2.0005507547741299","GDSC2"
"Camptothecin","1003","SUIT-2","1240219","PAAD","pancreas","pancreas","-2.7666480800799196",".7940556919346935",".10000000000000001",".074576377293593732","-.27618862358566981","GDSC2"
"Camptothecin","1003","DAN-G","1290797","PAAD","pancreas","pancreas","-1.9235386634460387",".88997630368798319",".10000000000000001",".080270229456463074",".18285774866629548","GDSC2"
"Camptothecin","1003","HPAC","1298136","PAAD","pancreas","pancreas",".56658306532880109",".93996591685720088",".10000000000000001",".088771821625871633","1.5386501565172732","GDSC2"
"Camptothecin","1003","Hs-766T","1298141","PAAD","pancreas","pancreas",".61306399575490578",".92634171783034303",".10000000000000001",".088718526074975199","1.5639575508720738","GDSC2"
"Camptothecin","1003","KP-1N","1298216","PAAD","pancreas","pancreas","-2.414150493109799",".85129099252606588",".10000000000000001",".085030235746949193","-.0842648526802946","GDSC2"
"Camptothecin","1003","KP-2","1298218","PAAD","pancreas","pancreas",".21533151541928555",".95666948965925958",".10000000000000001",".060766656102502953","1.3474048133237433","GDSC2"
"Camptothecin","1003","PANC-02-03","1298475","PAAD","pancreas","pancreas","-1.8438904443042434",".83941592645941565",".10000000000000001",".087260246746541051",".22622368116808816","GDSC2"
"Camptothecin","1003","PANC-04-03","1298476","PAAD","pancreas","pancreas",".40104395270224419",".88316322446614159",".10000000000000001",".08702038169797191","1.4485193530677976","GDSC2"
"Camptothecin","1003","PA-TU-8902","1298526","PAAD","pancreas","pancreas","-.7572397356128282",".89272810900556809",".10000000000000001",".071512157964010337",".81787057288633658","GDSC2"
"Camptothecin","1003","PL4","1298533","PAAD","pancreas","pancreas","-2.702456772634859",".8185830090137074",".10000000000000001",".11034570554214526","-.24123848991214025","GDSC2"
"Vinblastine","1004","HPAF-II","724869","PAAD","pancreas","pancreas","-.92760960103494261",".91239061251231546",".10000000000000001",".16659071682574736","1.1783152855025751","GDSC2"
"Vinblastine","1004","MIA-PaCa-2","724870","PAAD","pancreas","pancreas","-4.558100095439344",".64784821539916637",".10000000000000001",".092962453634652817","-.48998468160072839","GDSC2"
"Vinblastine","1004","KP-4","753572","PAAD","pancreas","pancreas","-5.2083738180204557",".57278269483807032",".10000000000000001",".096886160398502147","-.78880150309145269","GDSC2"
"Vinblastine","1004","CAPAN-1","753624","PAAD","pancreas","pancreas","-4.2421349909225263",".67264892471624682",".10000000000000001",".1666884505231547","-.34479091941249385","GDSC2"
"Vinblastine","1004","BxPC-3","906693","PAAD","pancreas","pancreas","-3.3384975544112931",".76372538601280304",".10000000000000001",".12846155170741955",".070452780558223863","GDSC2"
"Vinblastine","1004","CFPAC-1","906821","PAAD","pancreas","pancreas","-.988487988594282",".90547638612104209",".10000000000000001",".13062198727410107","1.1503401642017246","GDSC2"
"Vinblastine","1004","HuP-T3","907285","PAAD","pancreas","pancreas","-1.9074413910495644",".84284892134311484",".10000000000000001",".11742867318905115",".72805839994740795","GDSC2"
"Vinblastine","1004","HuP-T4","907286","PAAD","pancreas","pancreas","-1.2191260377469018",".92593575496989877",".10000000000000001",".035100928398126195","1.0443562894588685","GDSC2"
"Vinblastine","1004","YAPC","909904","PAAD","pancreas","pancreas","-.091902628670886208",".92207707723280308",".10000000000000001",".055869307407397234","1.562343260965346","GDSC2"
"Vinblastine","1004","PSN1","910546","PAAD","pancreas","pancreas","-4.2788016699698197",".66737244254778694",".10000000000000001",".096220423941071082","-.36164016321100217","GDSC2"
"Vinblastine","1004","AsPC-1","910702","PAAD","pancreas","pancreas","2.9066686756448634",".95367239592526998",".10000000000000001",".084978800514239769","2.9402607671693008","GDSC2"
"Vinblastine","1004","SW1990","910907","PAAD","pancreas","pancreas","-1.1273508523931215",".91823665221211881",".10000000000000001",".11328685326807503","1.0865292517466347","GDSC2"
"Vinblastine","1004","CAPAN-2","910915","PAAD","pancreas","pancreas","1.0041682673403254",".94949184256807706",".10000000000000001",".042710340288047016","2.0660148840082204","GDSC2"
"Vinblastine","1004","PANC-03-27","925346","PAAD","pancreas","pancreas","-2.6092997888323026",".83339715599771669",".10000000000000001",".14621766187039328",".40553714731313756","GDSC2"
"Vinblastine","1004","PANC-08-13","925347","PAAD","pancreas","pancreas","1.7353380300082255",".97874161371049306",".10000000000000001",".072418761309722968","2.4020054320859132","GDSC2"
"Vinblastine","1004","PANC-10-05","925348","PAAD","pancreas","pancreas",".42626866503618849",".90433194889276769",".10000000000000001",".090179064106666151","1.8004557566674477","GDSC2"
"Vinblastine","1004","PA-TU-8988T","1240201","PAAD","pancreas","pancreas","-4.7911165163575111",".61935037166447593",".10000000000000001",".088620547788625145","-.59706147685786137","GDSC2"
"Vinblastine","1004","SU8686","1240218","PAAD","pancreas","pancreas","-.34967056745633118",".92758039378931056",".10000000000000001",".12464991686939249","1.4438925324869638","GDSC2"
"Vinblastine","1004","SUIT-2","1240219","PAAD","pancreas","pancreas","-.52905094910279549",".92254079723867588",".10000000000000001",".064754729570163386","1.3614628207824382","GDSC2"
"Vinblastine","1004","DAN-G","1290797","PAAD","pancreas","pancreas","-2.1521371867611916",".87520211784289359",".10000000000000001",".13507664045616793",".61561464377583441","GDSC2"
"Vinblastine","1004","HPAC","1298136","PAAD","pancreas","pancreas","1.7055655461635209",".96436338697478674",".10000000000000001",".12002580416810818","2.3883242411021444","GDSC2"
"Vinblastine","1004","Hs-766T","1298141","PAAD","pancreas","pancreas","-.031613701251012594",".90536083836616377",".10000000000000001",".034669181286040796","1.5900475107867658","GDSC2"
"Vinblastine","1004","KP-1N","1298216","PAAD","pancreas","pancreas","-4.1006863512995251",".69437665390695225",".10000000000000001",".15113918504128943","-.27979177916035186","GDSC2"
"Vinblastine","1004","KP-2","1298218","PAAD","pancreas","pancreas","-1.5356677916760846",".88979761976476468",".10000000000000001",".11047125504680019",".89889754263641941","GDSC2"
"Vinblastine","1004","PANC-02-03","1298475","PAAD","pancreas","pancreas","-1.0672800094738826",".88161709080520567",".10000000000000001",".16299551603260476","1.1141332863586231","GDSC2"
"Vinblastine","1004","PANC-04-03","1298476","PAAD","pancreas","pancreas",".049058756038667252",".87017813201579419",".10000000000000001",".08969049484893174","1.6271184955613986","GDSC2"
"Vinblastine","1004","PA-TU-8902","1298526","PAAD","pancreas","pancreas","-1.463354319978772",".85807338133069955",".10000000000000001",".080246234643492856",".93212736726746959","GDSC2"
"Vinblastine","1004","PL4","1298533","PAAD","pancreas","pancreas","-2.8677123821798562",".80510838422373121",".10000000000000001",".19002512279153549",".28679018415615826","GDSC2"
"Cisplatin","1005","HPAF-II","724869","PAAD","pancreas","pancreas","6.7775695902281843",".98848153448724896","6",".058266071313165801","1.9299705512938774","GDSC2"
"Cisplatin","1005","MIA-PaCa-2","724870","PAAD","pancreas","pancreas","2.9160429664590772",".92761606715074452","8",".086009231026120792","-.16634839934772597","GDSC2"
"Cisplatin","1005","KP-4","753572","PAAD","pancreas","pancreas","3.078383104439598",".95230203093789534","8",".070594909532327138","-.078218304477069206","GDSC2"
"Cisplatin","1005","MZ1-PC","753595","PAAD","pancreas","pancreas","7.6271004253776642",".9849669348893404","8",".051440183986492083","2.3911579940830139","GDSC2"
"Cisplatin","1005","CAPAN-1","753624","PAAD","pancreas","pancreas","2.9311823731267941",".9094974941071261","8",".092605076817912926","-.15812962263292832","GDSC2"
"Cisplatin","1005","BxPC-3","906693","PAAD","pancreas","pancreas","4.0884203500211953",".9524075988046119","8",".088710848427852207",".47010375181367964","GDSC2"
"Cisplatin","1005","CFPAC-1","906821","PAAD","pancreas","pancreas","3.7212008764834676",".92611505491779744","8",".088296279405877864",".27075017577374899","GDSC2"
"Cisplatin","1005","HuP-T3","907285","PAAD","pancreas","pancreas","6.6214365896098233",".9787545156447004","8",".057296708946719739","1.8452101443599649","GDSC2"
"Cisplatin","1005","HuP-T4","907286","PAAD","pancreas","pancreas","2.564552524631404",".90417954919589849","8",".09491727376559006","-.35716310709497967","GDSC2"
"Cisplatin","1005","YAPC","909904","PAAD","pancreas","pancreas","6.785055342491539",".97759262600263863","8",".058643638301116754","1.9340343648729126","GDSC2"
"Cisplatin","1005","PSN1","910546","PAAD","pancreas","pancreas",".95604651166797838",".77423304864216635","8",".10538875926718511","-1.2303777617449476","GDSC2"
"Cisplatin","1005","AsPC-1","910702","PAAD","pancreas","pancreas","8.896709974350264",".97586802127526251","8",".062820350163136487","3.0803948728460022","GDSC2"
"Cisplatin","1005","SW1990","910907","PAAD","pancreas","pancreas","3.7562166686923608",".94369956771094299","8",".094569179465214009",".28975930763558866","GDSC2"
"Cisplatin","1005","CAPAN-2","910915","PAAD","pancreas","pancreas","7.6597743537147922",".98393949263218639","8",".047132865866058422","2.4088957910318722","GDSC2"
"Cisplatin","1005","PANC-03-27","925346","PAAD","pancreas","pancreas","3.5108998763292329",".94001703134543146","8",".068500801492949612",".15658341870711037","GDSC2"
"Cisplatin","1005","PANC-08-13","925347","PAAD","pancreas","pancreas","5.7283421734957019",".97581617949975019","8",".066895217137004762","1.3603732050810564","GDSC2"
"Cisplatin","1005","PANC-10-05","925348","PAAD","pancreas","pancreas","3.9293393999779682",".88065362415007864","8",".09260707354776139",".38374298242030841","GDSC2"
"Cisplatin","1005","PA-TU-8988T","1240201","PAAD","pancreas","pancreas","5.7587619383182336",".98967950500566482","8",".05069641299697681","1.376887277282193","GDSC2"
"Cisplatin","1005","SU8686","1240218","PAAD","pancreas","pancreas","7.3266633918121666",".98821294063273313","8",".054367924412128586","2.2280588086310278","GDSC2"
"Cisplatin","1005","SUIT-2","1240219","PAAD","pancreas","pancreas","2.9136096361940997",".88984222334320051","8",".075005093295947831","-.16766938890564934","GDSC2"
"Cisplatin","1005","DAN-G","1290797","PAAD","pancreas","pancreas","4.7363781627871591",".97637059886915667","8",".062641719309119923",".8218626219342634","GDSC2"
"Cisplatin","1005","HPAC","1298136","PAAD","pancreas","pancreas","7.1280917931295837",".98001785432178834","8",".061080981710457623","2.1202596281682524","GDSC2"
"Cisplatin","1005","Hs-766T","1298141","PAAD","pancreas","pancreas","6.6231456757668425",".96512476657847024","8",".06774431804508188","1.846137961269781","GDSC2"
