Anchor name,Anchor target,Anchor pathway,Lib name,Lib target,Lib pathway,Link
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Cisplatin,DNA crosslinker,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1005+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1011+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Olaparib,"PARP1, PARP2",Genome integrity,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1017+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,AZD7762,"CHEK1, CHEK2",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1022+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1053+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Palbociclib,"CDK4, CDK6",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1054+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1057+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1079+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Paclitaxel,Microtubule stabiliser,Mitosis,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1080+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Crizotinib,"MET, ALK, ROS1",RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1083+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1085+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Irinotecan,TOP1,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1088+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Oxaliplatin,DNA alkylating agent,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1089+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Erlotinib,EGFR,EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1168+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,MK-1775,"WEE1, PLK1",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1179+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Gemcitabine,Pyrimidine antimetabolite,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1190+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Trametinib,"MEK1, MEK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1372+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Ruxolitinib,"JAK1, JAK2","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1507+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Linsitinib,IGF1R,IGF1R signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1510+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Lapatinib,"EGFR, ERBB2",EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1558+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1561+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,SCH772984,"ERK1, ERK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1564+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1594+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,LGK974,PORCN,WNT signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1598+1073
5-Fluorouracil,Antimetabolite (DNA & RNA),Other,Galunisertib,TGFBR1,RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/2265+1073
AZD7762,"CHEK1, CHEK2",Cell cycle,Cisplatin,DNA crosslinker,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1005+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1011+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Olaparib,"PARP1, PARP2",Genome integrity,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1017+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1053+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Palbociclib,"CDK4, CDK6",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1054+1022
