drug_row	drug_col	cell_line_name	synergy_loewe
Oxaliplatin	Cisplatin	PL4	3.0083368
Irinotecan	Cisplatin	PL4	-1.6855812
Dasatinib	Cisplatin	PL4	-0.036955543
Linsitinib	Cisplatin	PL4	-1.1149122
MK-2206	Cisplatin	PL4	0.60658693
Crizotinib	Cisplatin	PL4	-0.2373769
MK-1775	Cisplatin	PL4	3.1104057
Taselisib	Cisplatin	PL4	-0.2968847
Paclitaxel	Cisplatin	PL4	1.219872
Sorafenib	Cisplatin	PL4	0.5538771
5-Fluorouracil	Cisplatin	PL4	-0.6670195
Palbociclib	Cisplatin	PL4	-1.2483371
MK-1775	Cisplatin	PL4	1.3635288
SCH772984	Cisplatin	PL4	-0.3311956
AZD7762	Navitoclax	PL4	-0.056796886
Dactolisib	Cisplatin	PL4	1.7390605
LGK974	Cisplatin	PL4	0.27757257
Ruxolitinib	Cisplatin	PL4	-0.30160338
Erlotinib	Cisplatin	PL4	-0.404202
Crizotinib	Cisplatin	PL4	-2.4672787
Dactolisib	Cisplatin	PL4	0.76960474
LGK974	Cisplatin	PL4	0.18025228
Gemcitabine	Cisplatin	PL4	-0.29668584
Sorafenib	Cisplatin	PL4	-0.74117947
Trametinib	Cisplatin	PL4	0.32945547
Navitoclax	Cisplatin	PL4	4.210444
Gemcitabine	Cisplatin	PL4	2.3065503
Paclitaxel	Cisplatin	PL4	0.0741975
Lapatinib	Cisplatin	PL4	-1.0927528
Irinotecan	Cisplatin	PL4	0.6869274
Palbociclib	Cisplatin	PL4	0.074323975
Taselisib	Cisplatin	PL4	0.3782186
Navitoclax	Cisplatin	PL4	4.57622
Oxaliplatin	Cisplatin	PL4	0.7416964
Ruxolitinib	Cisplatin	PL4	-0.4389685
AZD7762	Cisplatin	PL4	3.0290596
Olaparib	Cisplatin	PL4	-0.11528177
Linsitinib	Cisplatin	PL4	-0.5899119
Erlotinib	Cisplatin	PL4	0.2992815
Olaparib	Cisplatin	PL4	0.58036584
OSI-027	Cisplatin	PL4	1.3029746
MK-2206	Cisplatin	PL4	2.059067
SCH772984	Cisplatin	PL4	0.6222916
Galunisertib	Cisplatin	PL4	-1.2602739
OSI-027	Cisplatin	PL4	-0.41994324
Lapatinib	Cisplatin	PL4	0.15841629
Trametinib	Cisplatin	PL4	1.7428783
Dasatinib	Cisplatin	PL4	-0.122004524
5-Fluorouracil	Cisplatin	PL4	-1.5472376
Galunisertib	Cisplatin	PL4	-0.986591
AZD7762	Cisplatin	PL4	0.9946315
Erlotinib	Navitoclax	PL4	0.6724856
Paclitaxel	Navitoclax	PL4	0.8355022
Sorafenib	Navitoclax	PL4	1.735246
Irinotecan	Navitoclax	PL4	1.2351873
AZD7762	Navitoclax	PL4	-0.92808545
Trametinib	Navitoclax	PL4	1.835326
Cisplatin	Navitoclax	PL4	0.5296727
Erlotinib	Navitoclax	PL4	-0.6145573
5-Fluorouracil	Navitoclax	PL4	0.1706826
Sorafenib	Crizotinib	PL4	-0.96905905
Dactolisib	Navitoclax	PL4	1.397077
5-Fluorouracil	Navitoclax	PL4	-0.42067814
Crizotinib	Navitoclax	PL4	-0.17057642
Ruxolitinib	Navitoclax	PL4	-0.036274143
OSI-027	Navitoclax	PL4	2.7157269
MK-1775	Navitoclax	PL4	-0.11794934
OSI-027	Navitoclax	PL4	1.0980939
MK-2206	Navitoclax	PL4	0.26483017
Irinotecan	Navitoclax	PL4	1.8440087
Cisplatin	Navitoclax	PL4	0.023464762
Trametinib	Navitoclax	PL4	1.0216862
Olaparib	Navitoclax	PL4	-0.2147395
SCH772984	Navitoclax	PL4	2.3313
Taselisib	Navitoclax	PL4	2.7979825
MK-1775	Navitoclax	PL4	1.2305804
LGK974	Navitoclax	PL4	0.8172417
Gemcitabine	Navitoclax	PL4	0.42252263
Galunisertib	Navitoclax	PL4	-0.15039319
Olaparib	Navitoclax	PL4	-0.4539812
Ruxolitinib	Navitoclax	PL4	-0.326935
Oxaliplatin	Navitoclax	PL4	0.6370315
Paclitaxel	Navitoclax	PL4	0.8314955
Lapatinib	Navitoclax	PL4	2.4988918
Lapatinib	Navitoclax	PL4	0.08622907
Dasatinib	Navitoclax	PL4	0.9916375
MK-2206	Navitoclax	PL4	1.2601544
SCH772984	Navitoclax	PL4	3.5923758
Linsitinib	Navitoclax	PL4	1.2109832
Linsitinib	Navitoclax	PL4	1.3610996
Taselisib	Navitoclax	PL4	3.2580595
Crizotinib	Navitoclax	PL4	1.9462267
LGK974	Navitoclax	PL4	0.858627
Dactolisib	Navitoclax	PL4	0.68960255
Dasatinib	Navitoclax	PL4	1.5760283
Gemcitabine	Navitoclax	PL4	0.4656633
Galunisertib	Navitoclax	PL4	0.18977496
Oxaliplatin	Navitoclax	PL4	0.27203277
Palbociclib	Navitoclax	PL4	-0.89370924
Sorafenib	Navitoclax	PL4	0.35364774
Palbociclib	Navitoclax	PL4	-0.56985784
Linsitinib	Crizotinib	PL4	-0.23089318
MK-2206	Crizotinib	PL4	-0.1670441
MK-1775	Crizotinib	PL4	-1.7111292
Taselisib	Crizotinib	PL4	-1.5135463
Paclitaxel	Crizotinib	PL4	-1.2371155
Sorafenib	Crizotinib	PL4	0.5456027
5-Fluorouracil	Crizotinib	PL4	-0.6493204
Palbociclib	Crizotinib	PL4	0.90282243
MK-1775	Crizotinib	PL4	0.038182925
SCH772984	Crizotinib	PL4	-3.0560331
Dactolisib	Crizotinib	PL4	1.0230756
LGK974	Crizotinib	PL4	-0.10870303
Ruxolitinib	Crizotinib	PL4	0.34379357
